timestamps,ax,ay,az,mag
560448,0.92,0.07,0.19,9.37
560470,1.09,0.33,-0.05,11.38
560492,0.85,0.18,-0.18,8.85
560514,0.88,-0.18,-0.02,9.01
560536,0.89,-0.24,0.00,9.21
560558,0.87,0.04,0.00,8.69
560580,0.89,0.14,-0.02,9.06
560602,0.90,0.07,-0.01,9.05
560624,0.91,0.02,-0.08,9.14
560646,0.91,-0.04,-0.09,9.11
560668,0.91,0.01,-0.09,9.13
560690,0.85,0.03,-0.10,8.54
560712,0.85,-0.06,-0.04,8.51
560734,0.88,0.05,-0.02,8.80
560756,0.89,0.11,-0.01,8.93
560778,0.90,0.07,-0.05,9.09
560800,0.85,-0.06,-0.02,8.53
560822,0.86,-0.01,-0.04,8.60
560844,0.97,0.12,-0.12,9.90
560866,1.02,0.16,-0.10,10.34
560888,1.24,-0.10,-0.01,12.47
560910,1.35,-0.23,-0.02,13.73
560932,1.10,0.15,-0.19,11.23
560954,0.98,0.62,-0.16,11.72
560976,1.04,0.72,-0.41,13.26
560998,0.74,0.07,-0.53,9.12
561020,0.75,-0.30,-0.37,8.87
561042,1.04,-0.44,0.08,11.28
561064,0.93,-0.35,0.61,11.71
561086,0.94,0.02,0.47,10.54
561108,0.90,0.29,0.37,10.14
561130,0.81,0.48,0.28,9.85
561152,0.76,0.07,0.31,8.26
561174,0.74,-0.06,0.40,8.47
561196,0.80,-0.06,0.43,9.08
561218,0.73,0.06,0.46,8.70
561240,0.78,0.21,0.46,9.25
561262,0.74,0.37,0.41,9.26
561284,0.74,0.46,0.39,9.56
561306,0.89,0.44,0.40,10.66
561328,0.91,0.19,0.24,9.59
561350,0.87,-0.04,0.21,8.98
561372,0.86,-0.21,-0.13,8.92
561394,0.50,-0.25,-0.31,6.42
561416,0.53,-0.18,-0.40,6.88
561438,0.40,0.06,-0.03,4.10
561460,0.47,0.23,0.42,6.70
561482,0.53,0.38,0.71,9.62
561504,1.57,-0.19,-0.22,16.01
561526,1.87,-0.62,-0.50,20.38
561548,0.14,0.16,0.01,2.16
561570,0.83,0.77,-0.27,11.61
561592,1.12,1.94,-0.02,22.41
561614,0.87,0.54,0.19,10.42
561636,0.84,-0.25,0.63,10.79
561658,1.01,-0.92,0.27,13.96
561680,0.70,-0.24,0.15,7.59
561702,0.98,0.08,0.00,9.80
561724,0.99,0.36,-0.41,11.29
561746,0.88,-0.07,-0.19,9.00
561768,0.86,-0.04,-0.13,8.67
561790,0.88,0.12,-0.10,8.98
561812,0.90,0.11,0.03,9.08
561834,0.90,0.05,0.07,9.07
561856,0.91,-0.01,0.09,9.14
561878,0.91,0.06,0.08,9.11
561900,0.94,0.09,-0.03,9.48
561922,0.86,0.02,-0.04,8.58
561944,0.86,-0.02,-0.10,8.65
561966,0.92,0.05,-0.10,9.28
561988,0.91,0.07,-0.08,9.14
562010,0.89,-0.02,-0.07,8.98
562032,0.96,-0.04,-0.10,9.68
562054,1.01,0.08,-0.17,10.32
562076,1.26,0.04,-0.24,12.78
562098,1.24,0.12,-0.28,12.76
562120,1.21,0.36,-0.34,13.07
562142,1.18,0.41,-0.51,13.48
562164,0.70,0.00,-0.55,8.91
562186,0.79,-0.39,0.08,8.83
562208,1.19,-0.44,0.59,14.02
562230,0.94,-0.37,0.69,12.20
562252,0.81,0.16,0.43,9.29
562274,0.78,0.39,0.34,9.36
562296,0.73,0.57,0.28,9.73
562318,0.72,0.01,0.32,7.86
562340,0.77,-0.15,0.42,8.90
562362,0.78,-0.21,0.46,9.26
562384,0.75,0.02,0.42,8.64
