timestamps,ax,ay,az,mag
624050,0.89,0.08,-0.09,8.93
624072,0.89,0.08,-0.09,9.03
624094,0.89,0.08,-0.08,8.98
624116,0.88,0.09,-0.10,8.95
624138,0.89,0.08,-0.11,8.96
624160,0.89,0.08,-0.11,9.03
624182,0.91,0.07,-0.08,9.19
624204,0.89,0.09,-0.08,9.02
624226,0.90,0.09,-0.09,9.06
624248,0.89,0.09,-0.09,9.02
624270,0.89,0.08,-0.08,8.94
624292,0.89,0.07,-0.07,9.00
624314,0.89,0.07,-0.08,8.94
624336,0.89,0.08,-0.10,9.00
624358,0.88,0.08,-0.10,8.95
624380,0.91,0.07,-0.10,9.16
624402,0.89,0.09,-0.08,8.98
624424,0.89,0.08,-0.07,8.99
624446,0.89,0.04,-0.09,9.00
624468,0.87,0.03,-0.09,8.77
624490,0.89,0.09,-0.09,9.00
624512,0.89,0.12,-0.06,9.03
624534,0.89,0.07,-0.07,8.92
624556,0.87,0.04,-0.10,8.75
624578,0.83,0.06,-0.19,8.54
624600,0.88,0.11,-0.24,9.23
624622,0.95,0.05,-0.11,9.59
624644,0.88,0.02,0.04,8.81
624666,0.91,0.08,0.04,9.19
624688,0.89,0.04,-0.04,8.91
624710,0.89,0.08,-0.09,8.94
624732,0.89,0.09,-0.11,9.00
624754,0.88,0.06,-0.10,8.91
624776,0.89,0.04,-0.09,8.92
624798,0.87,0.04,-0.09,8.75
624820,0.89,0.06,-0.10,8.95
624842,0.89,0.07,-0.07,8.92
624864,0.89,0.06,-0.04,8.90
624886,0.88,0.04,-0.05,8.83
624908,0.89,0.05,-0.02,8.89
624930,0.88,0.06,-0.02,8.84
624952,0.87,0.05,-0.04,8.69
624974,0.88,0.06,-0.06,8.82
624996,0.87,0.08,-0.04,8.71
625018,0.87,0.11,-0.04,8.74
625040,0.87,0.10,-0.04,8.79
625062,0.86,0.10,-0.03,8.63
625084,0.87,0.09,0.02,8.77
625106,0.87,0.10,0.03,8.78
625128,0.86,0.09,-0.01,8.64
625150,0.87,0.08,-0.04,8.74
625172,0.87,0.10,-0.02,8.77
625194,0.87,0.13,0.05,8.81
625216,0.88,0.14,0.01,8.86
625238,0.89,0.01,-0.01,8.90
625260,0.95,-0.01,-0.00,9.53
625282,0.93,0.18,0.02,9.53
625304,1.09,0.21,0.01,11.08
625326,1.16,0.09,0.02,11.65
625348,1.13,0.40,-0.01,11.95
625370,1.19,0.64,0.01,13.50
625392,1.12,0.33,0.08,11.69
625414,1.01,0.15,-0.02,10.18
625436,0.81,0.08,-0.28,8.64
625458,0.78,-0.05,-0.43,8.90
625480,0.82,-0.27,-0.42,9.63
625502,0.83,-0.34,-0.39,9.79
625524,0.83,-0.06,0.01,8.35
625546,0.81,0.18,0.74,11.13
625568,1.30,0.27,0.41,13.87
625590,0.78,0.17,0.29,8.49
625612,0.80,0.15,0.27,8.56
625634,0.89,0.11,0.25,9.28
625656,0.85,0.15,0.23,8.93
625678,0.93,0.12,0.23,9.62
625700,0.96,0.23,0.32,10.39
625722,0.87,0.12,0.34,9.44
625744,0.84,0.06,0.26,8.80
625766,0.85,0.13,0.22,8.89
625788,0.91,0.25,0.28,9.82
