timestamps,ax,ay,az,mag
672670,0.88,-0.18,-0.06,9.00
672648,0.88,-0.19,-0.07,9.06
672692,0.88,-0.18,-0.07,9.05
672714,0.88,-0.18,-0.09,9.06
672736,0.90,-0.20,-0.11,9.24
672758,0.92,-0.18,-0.13,9.48
672780,0.95,-0.15,-0.15,9.72
672802,0.94,-0.15,-0.18,9.70
672824,0.94,-0.14,-0.19,9.69
672846,0.94,-0.09,-0.18,9.65
672868,0.98,-0.10,-0.11,9.96
672890,0.94,-0.07,-0.09,9.50
672912,1.01,-0.02,-0.06,10.09
672934,1.08,0.14,0.01,10.87
672956,0.97,-0.02,0.06,9.74
672978,0.92,0.08,0.08,9.26
673000,0.85,0.21,0.16,8.87
673022,0.82,-0.10,0.21,8.54
673044,0.84,-0.53,0.06,9.97
673066,0.85,-0.36,0.12,9.26
673088,0.72,-0.23,0.18,7.72
673110,0.80,-0.10,0.12,8.16
673132,0.74,-0.09,0.11,7.50
673154,0.71,-0.21,0.08,7.44
673176,0.74,-0.21,-0.01,7.66
673198,0.82,-0.20,-0.05,8.46
673220,0.81,-0.30,0.00,8.64
673242,0.79,-0.25,0.02,8.29
673264,0.76,-0.21,0.01,7.85
673286,0.75,-0.29,-0.17,8.21
673308,0.77,-0.40,-0.29,9.12
673330,0.73,-0.35,-0.26,8.44
673352,0.65,-0.16,-0.17,6.87
673374,0.60,-0.11,-0.02,6.09
673396,0.74,0.02,-0.34,8.15
673418,1.76,-0.58,-0.66,19.69
673440,1.87,-0.63,-0.12,19.83
673462,0.80,-1.16,0.20,14.24
673484,0.70,-0.22,0.31,7.94
673506,0.27,0.66,0.31,7.82
673528,0.58,0.25,0.26,6.78
673550,1.24,-0.10,0.01,12.41
673572,1.03,-0.07,0.01,10.30
673594,0.65,0.14,0.10,6.70
673616,0.62,0.24,0.19,6.91
673638,0.75,0.16,0.15,7.85
673660,0.91,0.14,0.13,9.27
673682,0.89,0.09,0.21,9.17
673704,0.72,0.04,0.26,7.71
673726,0.73,0.13,0.25,7.82
673748,0.83,0.20,0.19,8.72
673770,0.82,0.13,0.16,8.48
673792,0.78,0.07,0.16,7.95
673814,0.75,0.04,0.20,7.77
673836,0.77,0.02,0.15,7.89
673858,0.80,0.05,0.13,8.13
673880,0.77,0.05,0.12,7.85
673902,0.82,0.07,0.14,8.40
673924,0.76,0.13,0.19,7.96
673946,0.73,0.21,0.20,7.86
