timestamps,ax,ay,az,mag
576354,0.33,0.17,0.46,5.88
576376,0.56,0.52,0.97,12.32
576398,1.87,-0.26,-0.66,20.04
576420,0.70,-0.20,0.28,7.78
576442,0.48,0.62,0.10,7.91
576464,1.23,1.48,0.06,19.29
576486,1.03,1.49,0.01,18.08
576508,0.88,0.01,0.77,11.66
576530,0.92,-0.98,0.29,13.73
576552,0.61,-0.83,0.09,10.34
576574,0.86,-0.04,-0.05,8.59
576596,1.07,0.24,-0.48,11.97
576618,0.79,0.06,-0.48,9.29
576640,0.81,-0.06,-0.38,8.97
576662,0.90,-0.04,-0.31,9.57
576684,0.89,-0.06,-0.06,8.97
576706,0.93,0.10,0.04,9.36
576728,0.93,0.17,0.04,9.46
576750,0.92,0.01,0.01,9.24
576772,0.95,0.03,-0.05,9.56
576794,0.96,0.06,-0.10,9.67
576816,1.01,0.02,-0.13,10.16
576838,0.93,-0.04,-0.20,9.54
576860,0.93,-0.02,-0.20,9.55
576882,0.96,0.04,-0.19,9.82
576904,0.97,0.07,-0.15,9.83
576926,1.14,0.04,-0.13,11.51
576948,1.13,0.09,-0.17,11.43
576970,1.15,0.28,-0.26,12.10
576992,1.17,0.30,-0.42,12.73
577014,0.86,0.06,-0.58,10.39
577036,0.53,-0.17,-0.58,7.99
577058,0.81,-0.23,0.59,10.24
577080,1.49,-0.26,0.83,17.23
577102,0.97,-0.11,0.34,10.35
577124,0.58,0.08,0.35,6.86
577146,0.72,0.19,0.36,8.31
577168,0.81,0.27,0.26,8.94
577190,0.73,0.32,0.28,8.43
577212,0.96,0.14,0.24,9.97
577234,0.99,0.07,0.37,10.61
577256,0.83,0.12,0.26,8.82
577278,0.84,0.14,0.14,8.59
577300,0.96,0.23,0.20,10.06
577322,1.04,0.19,0.21,10.76
577344,0.98,0.07,0.15,9.89
577366,0.74,0.12,0.05,7.49
577388,0.71,0.12,-0.03,7.17
577410,0.59,-0.00,-0.10,6.02
577432,0.43,-0.12,-0.08,4.53
577454,0.37,0.04,0.29,4.73
577476,0.61,0.23,0.55,8.54
577498,0.99,0.10,0.40,10.78
577520,1.87,-0.32,-0.51,19.69
577542,0.61,-0.30,0.08,6.82
577564,0.82,0.26,-0.19,8.80
577586,1.22,0.83,-0.29,15.04
577608,0.74,1.41,0.20,16.05
577630,0.97,-0.05,0.06,9.73
577652,0.89,-0.37,0.12,9.75
577674,0.94,-0.30,-0.01,9.84
577696,0.90,0.07,-0.09,9.06
577718,0.90,0.29,-0.35,10.04
577740,0.88,-0.10,-0.26,9.25
577762,0.89,-0.01,-0.22,9.20
577784,0.88,0.02,-0.09,8.83
577806,0.88,-0.03,-0.04,8.84
577828,0.91,0.05,-0.02,9.16
577850,0.89,0.07,-0.04,8.90
577872,0.91,0.11,-0.06,9.20
577894,0.93,0.09,-0.09,9.37
577916,0.88,-0.01,-0.11,8.85
577938,0.92,0.03,-0.09,9.26
577960,0.94,0.11,-0.11,9.49
577982,0.90,0.05,-0.10,9.10
578004,0.87,0.02,-0.11,8.73
578026,0.88,0.06,-0.12,8.87
578048,0.89,0.03,-0.07,8.92
578070,0.91,0.05,-0.07,9.16
578092,0.91,0.13,-0.15,9.34
578114,1.01,0.13,-0.14,10.28
578136,1.05,0.18,-0.16,10.74
