timestamps,ax,ay,az,mag
710136,1.87,-0.38,0.12,19.17
710158,0.71,-1.49,0.24,16.66
710180,0.05,-2.00,1.33,24.04
710202,0.29,-0.02,1.11,11.48
710224,1.28,1.30,0.05,18.29
710246,0.83,1.06,0.25,13.71
710268,0.89,0.45,-0.08,9.99
710290,0.89,0.04,0.04,8.96
710312,0.86,-0.15,0.13,8.83
710334,0.76,0.18,0.12,7.93
710356,0.80,0.32,0.03,8.58
710378,0.87,0.04,0.06,8.75
710400,0.83,0.00,0.09,8.40
710422,0.77,0.18,0.15,8.02
710444,0.71,0.26,0.19,7.79
710466,0.74,0.25,0.18,8.04
710488,0.77,0.17,0.18,8.11
710510,0.79,0.11,0.15,8.14
710532,0.77,0.09,0.15,7.93
710554,0.75,0.14,0.23,7.90
710576,0.74,0.17,0.22,7.89
710598,0.70,0.14,0.24,7.52
710620,0.73,0.13,0.26,7.83
710642,0.67,0.13,0.28,7.39
710664,0.72,0.14,0.33,8.02
710686,0.67,0.18,0.29,7.50
710708,0.74,0.11,0.28,8.03
710730,0.74,0.03,0.25,7.86
710752,0.75,0.01,0.19,7.69
710774,0.79,0.19,0.09,8.22
710796,1.21,0.73,0.35,14.52
710818,0.99,0.58,0.45,12.29
710840,1.06,0.04,0.28,10.93
710862,1.40,-0.14,0.23,14.21
710884,1.24,-0.38,0.07,13.00
710906,0.93,-0.39,0.10,10.13
710928,0.95,-0.10,0.15,9.65
710950,1.00,0.11,0.39,10.84
710972,1.09,0.65,0.58,14.00
710994,0.98,0.87,0.58,14.39
711016,0.76,0.47,0.69,11.29
711038,0.71,-0.05,0.78,10.52
711060,0.59,-0.28,0.81,10.36
711082,0.41,0.06,0.70,8.16
711104,0.34,0.03,0.74,8.15
711126,0.28,-0.10,0.68,7.45
711148,0.21,-0.15,0.66,7.07
711170,0.25,-0.16,0.84,8.94
711192,0.30,-0.12,0.73,7.95
711214,0.34,0.05,0.34,4.80
711236,0.57,0.16,0.33,6.81
711258,0.69,-0.36,0.12,7.92
711280,0.35,-0.92,-0.70,12.14
711302,0.13,0.07,-0.40,4.29
711324,1.48,0.86,-0.44,17.72
711346,1.87,1.15,-0.03,21.99
711368,0.90,-0.25,0.30,9.83
711390,0.63,-1.13,0.60,14.24
711412,0.37,-0.31,1.06,11.60
711434,0.98,0.44,0.35,11.25
711456,1.11,0.55,0.42,13.06
711478,0.76,0.01,0.15,7.70
711500,1.00,-0.35,-0.00,10.64
711522,0.73,0.09,0.13,7.46
711544,0.78,0.37,0.19,8.85
711566,0.83,0.02,0.15,8.48
711588,0.86,-0.23,0.05,8.90
711610,0.86,-0.07,0.12,8.75
711632,0.84,0.10,0.14,8.57
711654,0.80,0.10,0.11,8.17
711676,0.81,0.03,0.10,8.13
711698,0.85,0.01,0.14,8.58
711720,0.89,0.01,0.11,8.94
711742,0.86,0.05,0.07,8.60
711764,0.86,0.08,0.12,8.68
711786,0.82,0.15,0.15,8.45
711808,0.80,0.08,0.20,8.28
711830,0.81,-0.04,0.21,8.39
711852,0.80,-0.08,0.25,8.41
711874,0.81,0.01,0.23,8.42
711896,0.85,0.06,0.17,8.68
711918,0.85,0.12,0.26,8.98
711940,0.79,0.12,0.32,8.59
711962,0.81,0.09,0.32,8.74
711984,0.80,0.04,0.30,8.56
712006,0.84,0.10,0.34,9.10
712028,0.84,0.08,0.32,9.01
712050,0.82,0.11,0.28,8.69
712072,0.90,0.10,0.23,9.36
712094,0.93,-0.02,0.24,9.59
712116,0.91,-0.10,0.10,9.19
712138,1.02,-0.13,-0.13,10.34
712160,0.96,-0.25,-0.46,10.90
712182,0.83,-0.24,-0.45,9.73
712204,0.69,-0.22,-0.12,7.33
712226,0.74,0.08,0.11,7.50
712248,0.74,0.25,0.25,8.20
712270,0.74,0.11,0.24,7.84
712292,0.74,-0.05,0.22,7.76
712314,0.74,-0.16,0.16,7.69
712336,0.73,-0.09,0.17,7.51
712358,0.81,-0.00,0.17,8.28
712380,0.82,-0.03,0.17,8.34
712402,0.83,-0.02,0.19,8.52
712424,0.95,0.10,0.14,9.69
712446,1.07,0.21,0.10,10.94
712468,0.96,0.14,0.10,9.76
712490,0.83,0.03,0.13,8.36
712512,0.85,0.17,0.12,8.78
712534,0.90,0.36,0.13,9.75
712556,0.84,0.31,0.05,8.96
712578,0.83,0.23,0.04,8.61
712600,0.79,0.16,0.01,8.09
712622,0.79,0.18,0.00,8.12
712644,0.86,0.29,-0.05,9.06
712666,0.88,0.32,-0.04,9.40
