timestamps,ax,ay,az,mag
692932,0.93,0.03,-0.57,10.97
692954,1.87,-0.11,-0.67,19.95
692976,1.21,-1.03,-0.30,16.15
692910,0.52,-0.28,-0.17,6.18
692998,0.45,-1.20,0.25,13.04
693020,0.59,0.36,0.44,8.22
693042,0.59,0.82,0.43,10.96
693064,0.93,0.58,0.12,11.02
693086,1.05,-0.04,0.00,10.54
693108,0.86,-0.16,-0.00,8.78
693130,0.76,-0.03,0.10,7.64
693152,0.73,0.14,0.14,7.58
693174,0.87,0.18,0.10,8.96
693196,0.86,0.10,0.09,8.68
693218,0.84,0.10,0.13,8.56
693240,0.81,0.13,0.16,8.32
693262,0.81,0.10,0.17,8.34
693284,0.80,0.11,0.16,8.24
693306,0.78,0.17,0.19,8.21
693328,0.78,0.16,0.14,8.07
693350,0.80,0.10,0.16,8.22
693372,0.78,0.08,0.18,8.02
693394,0.78,0.09,0.15,7.94
693416,0.80,0.09,0.13,8.14
693438,0.82,0.08,0.10,8.31
693460,0.82,0.12,0.08,8.33
693482,0.79,0.12,0.08,8.07
693504,0.78,0.10,0.09,7.91
693526,0.76,0.14,0.14,7.84
693548,0.80,0.12,0.18,8.25
693570,0.74,0.13,0.25,7.88
693592,0.68,0.12,0.32,7.61
693614,0.60,0.23,0.39,7.54
693636,0.62,0.24,0.43,7.94
693658,0.77,0.10,0.30,8.30
693680,0.93,-0.17,0.07,9.46
693702,1.08,0.02,-0.03,10.76
693724,1.55,0.34,0.03,15.88
693746,0.99,0.22,0.11,10.24
693768,1.25,-0.04,0.02,12.52
693790,1.45,-0.37,-0.15,15.03
693812,1.12,-0.49,-0.16,12.35
693834,0.93,-0.28,0.12,9.82
693856,1.16,0.20,0.16,11.88
693878,1.26,0.75,0.51,15.50
693900,1.19,1.09,0.61,17.22
693922,0.91,0.77,0.74,14.02
693944,0.62,0.39,0.80,10.88
693966,0.48,0.19,0.79,9.40
693988,0.49,0.13,0.69,8.57
694010,0.37,0.37,0.71,8.80
694032,0.32,0.39,0.77,9.19
694054,0.20,0.11,0.72,7.52
694076,0.13,-0.13,0.75,7.67
694098,0.10,-0.20,0.74,7.69
694120,0.12,-0.19,0.96,9.86
694142,0.31,0.05,0.83,8.84
694164,0.77,0.22,0.50,9.45
694186,0.82,-0.79,-0.18,11.48
694208,0.16,-1.23,-0.67,14.07
694230,0.36,0.27,-0.44,6.27
694252,1.18,0.96,-0.40,15.75
694274,1.87,-0.15,-0.13,18.85
694296,0.94,-1.53,-0.15,18.00
694318,-0.15,-0.69,0.37,8.02
694340,0.23,0.43,1.38,14.65
694362,0.83,1.14,-0.15,14.16
694384,0.99,0.60,0.29,11.98
694406,0.85,0.17,0.10,8.71
694428,0.84,-0.10,0.17,8.65
694450,0.77,0.13,0.24,8.20
694472,0.74,0.26,0.19,8.07
694494,0.84,0.10,0.16,8.61
694516,0.77,-0.09,0.15,7.93
694538,0.78,0.06,0.19,8.04
694560,0.79,0.16,0.22,8.35
694582,0.74,0.10,0.19,7.69
694604,0.76,0.06,0.20,7.86
694626,0.75,0.09,0.21,7.78
694648,0.75,0.13,0.22,7.96
694670,0.79,0.18,0.18,8.30
694692,0.77,0.14,0.21,8.12
694714,0.66,-0.01,0.23,6.98
694736,0.71,0.02,0.21,7.43
694758,0.79,-0.04,0.10,7.93
694780,0.96,-0.27,0.01,10.02
694802,0.97,-0.36,-0.18,10.47
694824,0.97,0.04,-0.47,10.75
694846,1.67,0.91,-0.30,19.26
694868,1.64,0.52,-0.15,17.25
694890,1.47,-0.18,0.41,15.37
694912,1.38,-0.67,0.45,15.97
694934,0.94,-0.55,0.38,11.56
694956,0.72,-0.05,0.71,10.15
694978,1.03,0.67,0.47,13.17
695000,0.98,0.74,0.58,13.57
695022,0.73,0.35,0.76,11.11
695044,0.74,0.11,0.69,10.21
695066,0.59,0.12,0.65,8.85
695088,0.43,0.14,0.65,7.94
695110,0.38,0.33,0.72,8.79
695132,0.32,0.23,0.75,8.49
695154,0.23,-0.00,0.64,6.77
695176,0.24,-0.20,0.58,6.58
695198,0.28,-0.12,0.68,7.46
695220,0.35,0.04,0.77,8.48
695242,0.34,0.23,0.79,8.88
695264,0.46,0.16,0.56,7.41
695286,0.65,-0.60,0.16,9.03
695308,0.46,-1.05,-0.63,13.08
695330,0.29,-0.16,-0.56,6.48
695352,0.50,0.63,-0.14,8.15
695374,1.87,0.87,-0.39,21.03
695396,1.66,-1.53,0.12,22.58
695418,-0.30,0.59,0.02,6.64
695440,-0.03,-0.82,1.11,13.78
695462,0.55,0.81,0.69,11.97
695484,1.11,1.20,0.26,16.52
695506,0.81,0.51,-0.01,9.55
695528,0.97,0.07,-0.06,9.70
695550,0.86,-0.10,-0.01,8.70
695572,0.68,0.25,0.16,7.43
695594,0.77,0.36,0.09,8.54
695616,0.83,0.15,0.09,8.48
695638,0.81,0.03,0.11,8.21
695660,0.80,0.18,0.13,8.30
695682,0.76,0.25,0.17,8.20
695704,0.69,0.23,0.26,7.79
695726,0.70,0.20,0.21,7.54
695748,0.78,0.17,0.16,8.15
695770,0.78,0.13,0.21,8.18
695792,0.72,0.19,0.18,7.62
695814,0.73,0.19,0.18,7.76
