time,timestamps,ax,ay,az,mag,time2
15:44:34.758,117565,-0.93,-0.60,-0.32,11.56,11708
15:44:34.759,117575,-0.94,-0.58,-0.33,11.48,11709
15:44:34.777,117585,-0.95,-0.56,-0.32,11.46,11710
15:44:34.779,117595,-0.94,-0.56,-0.28,11.26,11711
15:44:34.793,117605,-0.90,-0.57,-0.24,10.93,11712
15:44:34.799,117615,-0.89,-0.60,-0.19,10.90,11713
15:44:34.814,117625,-0.90,-0.59,-0.16,10.89,11714
15:44:34.819,117635,-0.93,-0.57,-0.13,10.93,11715
15:44:34.830,117645,-0.94,-0.52,-0.09,10.77,11716
15:44:34.839,117655,-0.94,-0.50,-0.07,10.69,11717
15:44:34.850,117665,-0.92,-0.51,-0.07,10.53,11718
15:44:34.861,117675,-0.90,-0.52,-0.09,10.49,11719
15:44:34.869,117685,-0.90,-0.55,-0.13,10.59,11720
15:44:34.887,117695,-0.91,-0.56,-0.18,10.79,11721
15:44:34.890,117705,-0.92,-0.57,-0.21,10.99,11722
15:44:34.899,117715,-0.93,-0.55,-0.26,11.09,11723
15:44:34.909,117725,-0.95,-0.54,-0.30,11.27,11724
15:44:34.919,117735,-0.96,-0.52,-0.33,11.39,11725
15:44:34.929,117745,-0.97,-0.51,-0.34,11.46,11726
15:44:34.939,117755,-0.97,-0.51,-0.35,11.52,11727
15:44:34.953,117765,-0.97,-0.50,-0.36,11.52,11728
15:44:34.961,117775,-0.97,-0.50,-0.34,11.44,11729
15:44:34.996,117785,-0.97,-0.50,-0.32,11.35,11730
15:44:34.997,117795,-0.96,-0.51,-0.31,11.34,11731
15:44:34.998,117805,-0.96,-0.51,-0.31,11.32,11732
15:44:35.000,117815,-0.96,-0.50,-0.31,11.29,11733
15:44:35.016,117825,-0.96,-0.51,-0.30,11.23,11734
15:44:35.021,117835,-0.95,-0.51,-0.32,11.28,11735
15:44:35.030,117845,-0.96,-0.51,-0.32,11.32,11736
