time,timestamps,ax,ay,az,mag,time2
15:44:32.823,115635,-1.04,-0.58,-0.14,11.95,11515
15:44:32.829,115645,-1.03,-0.56,-0.08,11.74,11516
15:44:32.840,115655,-1.03,-0.60,-0.05,11.92,11517
15:44:32.849,115665,-1.01,-0.71,-0.01,12.33,11518
15:44:32.903,115675,-0.94,-0.84,0.05,12.65,11519
15:44:32.904,115685,-0.88,-0.94,0.07,12.88,11520
15:44:32.904,115695,-0.77,-0.99,0.08,12.58,11521
15:44:32.905,115705,-0.91,-1.16,0.39,15.22,11522
15:44:32.906,115715,-0.97,-1.06,0.36,14.79,11523
15:44:32.942,115725,-0.98,-1.04,0.48,15.05,11524
15:44:32.945,115735,-1.03,-0.65,0.16,12.29,11525
15:44:32.946,115745,-1.17,-0.21,-0.12,11.93,11526
15:44:32.946,115755,-1.31,-0.08,-0.38,13.62,11527
15:44:32.975,115765,-1.39,-0.05,-0.67,15.42,11528
15:44:32.976,115775,-1.56,-0.12,-0.93,18.19,11529
15:44:32.977,115785,-1.76,-0.28,-1.04,20.58,11530
15:44:32.978,115795,-1.78,-0.21,-1.16,21.34,11531
15:44:33.009,115805,-1.54,-0.38,-1.50,21.87,11532
15:44:33.010,115815,-1.20,-0.64,-1.12,17.61,11533
15:44:33.011,115825,-0.96,-0.69,-1.10,16.14,11534
15:44:33.050,115835,-1.02,-0.41,-1.05,15.24,11535
15:44:33.051,115845,-1.02,-0.33,-1.05,15.01,11536
15:44:33.053,115855,-1.01,-0.24,-1.10,15.13,11537
15:44:33.053,115865,-0.96,-0.17,-1.13,14.91,11538
15:44:33.087,115875,-0.90,-0.11,-1.18,14.92,11539
15:44:33.089,115885,-0.79,-0.16,-1.18,14.31,11540
15:44:33.089,115895,-0.71,-0.21,-1.08,13.10,11541
15:44:33.091,115905,-0.72,-0.12,-1.09,13.14,11542
15:44:33.103,115915,-0.69,-0.13,-1.08,12.88,11543
15:44:33.110,115925,-0.69,-0.15,-1.16,13.63,11544
15:44:33.120,115935,-0.69,-0.14,-1.18,13.76,11545
15:44:33.131,115945,-0.64,-0.10,-1.14,13.09,11546
15:44:33.141,115955,-0.61,-0.09,-1.14,12.98,11547
15:44:33.149,115965,-0.61,-0.13,-1.16,13.23,11548
15:44:33.159,115975,-0.61,-0.18,-1.18,13.44,11549
15:44:33.169,115985,-0.62,-0.21,-1.16,13.35,11550
15:44:33.179,115995,-0.62,-0.26,-1.14,13.23,11551
15:44:33.195,116005,-0.67,-0.24,-1.11,13.24,11552
15:44:33.199,116015,-0.70,-0.15,-1.14,13.48,11553
15:44:33.216,116025,-0.60,-0.07,-1.09,12.45,11554
15:44:33.219,116035,-0.65,-0.15,-1.04,12.37,11555
15:44:33.236,116045,-0.72,-0.19,-1.04,12.84,11556
15:44:33.238,116055,-0.74,-0.13,-1.02,12.67,11557
15:44:33.254,116065,-0.79,-0.08,-0.99,12.68,11558
15:44:33.258,116075,-0.85,-0.09,-0.98,12.99,11559
15:44:33.269,116085,-0.87,-0.13,-0.98,13.12,11560
15:44:33.286,116095,-0.90,-0.20,-0.96,13.32,11561
15:44:33.290,116105,-0.95,-0.30,-0.91,13.45,11562
15:44:33.303,116115,-0.95,-0.38,-0.80,13.04,11563
15:44:33.308,116125,-0.88,-0.35,-0.68,11.66,11564
15:44:33.319,116135,-0.81,-0.40,-0.48,10.20,11565
15:44:33.335,116145,-0.97,-0.46,-0.48,11.79,11566
15:44:33.346,116155,-1.15,-0.52,-0.50,13.60,11567
15:44:33.349,116165,-1.13,-0.40,-0.49,12.95,11568
15:44:33.362,116175,-1.10,-0.33,-0.31,11.89,11569
15:44:33.374,116185,-0.76,-0.38,-0.22,8.75,11570
15:44:33.383,116195,-0.41,-0.32,-0.20,5.54,11571
15:44:33.389,116205,-0.41,-0.86,0.67,11.68,11572
15:44:33.400,116215,-0.06,-0.82,0.50,9.65,11573
15:44:33.409,116225,0.08,-0.75,0.71,10.35,11574
15:44:33.421,116235,-0.25,-0.42,0.52,7.13,11575
15:44:33.428,116245,-0.73,-0.05,0.18,7.52,11576
15:44:33.439,116255,-0.70,0.22,0.16,7.57,11577
15:44:33.449,116265,-1.14,0.67,0.28,13.53,11578
15:44:33.460,116275,-1.08,0.33,-0.56,12.55,11579
15:44:33.470,116285,-1.32,-0.01,-0.70,14.99,11580
15:44:33.482,116295,-2.13,-1.51,0.13,26.12,11581
15:44:33.489,116305,-2.13,-2.00,-0.41,29.51,11582
15:44:33.500,116315,-0.93,-1.91,-0.04,21.22,11583
15:44:33.510,116325,0.22,-0.90,0.17,9.44,11584
15:44:33.520,116335,-0.60,-0.91,0.07,10.92,11585
15:44:33.530,116345,-1.33,-0.20,-0.10,13.54,11586
15:44:33.540,116355,-1.91,0.20,-0.50,19.80,11587
15:44:33.551,116365,-1.78,-0.05,-0.91,19.97,11588
15:44:33.560,116375,-1.07,-1.01,-0.90,17.24,11589
15:44:33.571,116385,-0.47,-1.64,-0.66,18.24,11590
15:44:33.582,116395,-0.41,-1.55,-0.51,16.87,11591
15:44:33.589,116405,-0.69,-0.71,-0.26,10.20,11592
15:44:33.599,116415,-1.01,0.11,-0.13,10.25,11593
15:44:33.651,116425,-1.51,0.67,-0.32,16.82,11594
15:44:33.651,116435,-1.46,0.46,0.09,15.34,11595
15:44:33.652,116445,-1.24,-0.10,0.06,12.48,11596
15:44:33.654,116455,-0.97,-0.52,0.02,10.97,11597
15:44:33.655,116465,-0.73,-0.79,0.02,10.75,11598
15:44:33.692,116475,-0.70,-0.80,0.03,10.65,11599
15:44:33.693,116485,-0.80,-0.72,0.04,10.77,11600
15:44:33.694,116495,-0.92,-0.58,0.07,10.92,11601
15:44:33.695,116505,-0.96,-0.41,0.09,10.51,11602
15:44:33.733,116515,-0.94,-0.34,0.09,9.99,11603
15:44:33.734,116525,-0.94,-0.38,0.06,10.14,11604
15:44:33.735,116535,-0.95,-0.44,0.02,10.42,11605
15:44:33.736,116545,-0.97,-0.44,-0.02,10.62,11606
15:44:33.738,116555,-0.96,-0.44,-0.05,10.57,11607
15:44:33.770,116565,-0.97,-0.43,-0.09,10.67,11608
15:44:33.775,116575,-0.98,-0.43,-0.12,10.78,11609
15:44:33.777,116585,-0.98,-0.45,-0.12,10.87,11610
15:44:33.812,116595,-0.98,-0.46,-0.14,10.90,11611
15:44:33.812,116605,-0.94,-0.47,-0.14,10.60,11612
15:44:33.813,116615,-0.94,-0.48,-0.16,10.67,11613
15:44:33.815,116625,-0.92,-0.49,-0.20,10.56,11614
15:44:33.853,116635,-0.91,-0.51,-0.22,10.70,11615
15:44:33.853,116645,-0.93,-0.54,-0.23,11.04,11616
15:44:33.855,116655,-0.93,-0.53,-0.24,11.00,11617
15:44:33.856,116665,-0.87,-0.40,-0.35,10.15,11618
15:44:33.859,116675,-0.96,-0.48,-0.23,10.94,11619
15:44:33.869,116685,-0.98,-0.46,-0.25,11.12,11620
15:44:33.882,116695,-0.99,-0.46,-0.26,11.25,11621
15:44:33.891,116705,-1.00,-0.47,-0.27,11.36,11622
15:44:33.902,116715,-0.98,-0.47,-0.26,11.18,11623
15:44:33.913,116725,-0.98,-0.47,-0.25,11.17,11624
15:44:33.919,116735,-0.97,-0.49,-0.25,11.16,11625
15:44:33.930,116745,-0.98,-0.49,-0.25,11.22,11626
15:44:33.967,116755,-0.96,-0.50,-0.21,11.03,11627
15:44:33.969,116765,-0.95,-0.49,-0.18,10.87,11628
15:44:33.971,116775,-0.98,-0.47,-0.17,11.00,11629
15:44:33.971,116785,-0.98,-0.44,-0.11,10.79,11630
15:44:33.978,116795,-0.98,-0.45,-0.12,10.86,11631
15:44:33.988,116805,-0.96,-0.47,-0.10,10.72,11632
15:44:33.998,116815,-0.93,-0.49,-0.11,10.61,11633
15:44:34.016,116825,-0.91,-0.54,-0.12,10.63,11634
15:44:34.019,116835,-0.88,-0.54,-0.15,10.46,11635
15:44:34.029,116845,-0.90,-0.53,-0.15,10.60,11636
15:44:34.039,116855,-0.94,-0.51,-0.16,10.78,11637
15:44:34.057,116865,-0.95,-0.48,-0.14,10.75,11638
15:44:34.059,116875,-0.97,-0.42,-0.14,10.67,11639
15:44:34.077,116885,-1.06,-0.37,-0.09,11.29,11640
15:44:34.078,116895,-1.10,-0.39,-0.06,11.66,11641
15:44:34.092,116905,-1.05,-0.47,-0.05,11.47,11642
15:44:34.101,116915,-0.98,-0.53,-0.05,11.18,11643
15:44:34.112,116925,-0.93,-0.54,-0.07,10.73,11644
15:44:34.126,116935,-0.92,-0.56,-0.07,10.78,11645
15:44:34.129,116945,-0.98,-0.57,-0.05,11.36,11646
15:44:34.143,116955,-0.96,-0.64,-0.02,11.53,11647
15:44:34.149,116965,-0.83,-0.73,0.07,11.08,11648
15:44:34.167,116975,-0.76,-0.71,0.09,10.45,11649
15:44:34.169,116985,-0.70,-0.74,0.13,10.31,11650
15:44:34.180,116995,-0.67,-0.87,0.23,11.24,11651
15:44:34.189,117005,-0.76,-0.79,0.07,10.97,11652
15:44:34.200,117015,-0.76,-0.80,0.11,11.04,11653
15:44:34.214,117025,-0.86,-0.76,-0.02,11.47,11654
15:44:34.219,117035,-1.02,-0.73,-0.15,12.65,11655
15:44:34.229,117045,-1.13,-0.70,-0.38,13.83,11656
15:44:34.241,117055,-1.19,-0.53,-0.61,14.37,11657
15:44:34.257,117065,-1.30,-0.46,-1.01,17.09,11658
15:44:34.259,117075,-1.26,-0.29,-1.13,17.22,11659
15:44:34.272,117085,-1.13,-0.10,-1.18,16.36,11660
15:44:34.283,117095,-1.00,-0.03,-1.18,15.49,11661
15:44:34.292,117105,-0.89,0.07,-1.26,15.46,11662
15:44:34.303,117115,-0.84,-0.20,-1.12,14.16,11663
15:44:34.310,117125,-0.96,-0.23,-0.96,13.76,11664
15:44:34.319,117135,-0.96,-0.41,-1.06,14.94,11665
15:44:34.337,117145,-0.90,-0.34,-0.95,13.52,11666
15:44:34.340,117155,-0.84,-0.22,-0.93,12.73,11667
15:44:34.353,117165,-0.84,-0.19,-0.96,12.85,11668
15:44:34.362,117175,-0.89,-0.19,-0.98,13.39,11669
15:44:34.369,117185,-0.93,-0.15,-0.97,13.50,11670
15:44:34.410,117195,-0.99,-0.14,-0.94,13.77,11671
15:44:34.411,117205,-1.02,-0.18,-0.93,13.96,11672
15:44:34.411,117215,-1.03,-0.22,-0.91,13.92,11673
15:44:34.412,117225,-1.03,-0.24,-0.88,13.76,11674
15:44:34.451,117235,-1.02,-0.25,-0.87,13.61,11675
15:44:34.451,117245,-1.00,-0.22,-0.85,13.32,11676
15:44:34.453,117255,-1.00,-0.23,-0.86,13.40,11677
15:44:34.454,117265,-0.98,-0.23,-0.83,13.06,11678
15:44:34.493,117275,-0.96,-0.29,-0.84,13.09,11679
15:44:34.493,117285,-0.93,-0.31,-0.82,12.79,11680
15:44:34.494,117295,-0.89,-0.31,-0.77,12.12,11681
15:44:34.495,117305,-0.83,-0.35,-0.70,11.38,11682
15:44:34.533,117315,-0.78,-0.38,-0.62,10.67,11683
15:44:34.534,117325,-0.77,-0.41,-0.60,10.61,11684
15:44:34.535,117335,-0.81,-0.45,-0.49,10.47,11685
15:44:34.536,117345,-0.77,-0.48,-0.43,10.05,11686
15:44:34.573,117355,-0.64,-0.43,-0.43,8.84,11687
15:44:34.573,117365,-0.58,-0.19,-0.30,6.79,11688
15:44:34.575,117375,-0.47,-0.08,-0.21,5.26,11689
15:44:34.576,117385,-0.57,-0.31,-0.45,7.86,11690
15:44:34.579,117395,-0.73,-0.40,-0.45,9.44,11691
15:44:34.610,117405,-0.97,-0.63,-0.57,12.88,11692
15:44:34.611,117415,-1.33,-0.79,-0.63,16.76,11693
15:44:34.612,117425,-1.50,-0.88,-0.41,17.87,11694
15:44:34.619,117435,-1.30,-0.76,-0.34,15.43,11695
15:44:34.634,117445,-0.76,-0.39,-0.08,8.64,11696
15:44:34.638,117455,-0.75,-0.48,-0.26,9.30,11697
15:44:34.656,117465,-0.91,-0.65,-0.49,12.17,11698
15:44:34.659,117475,-1.08,-0.64,-0.56,13.72,11699
15:44:34.671,117485,-1.06,-0.44,-0.43,12.23,11700
15:44:34.685,117495,-0.98,-0.37,-0.33,10.95,11701
15:44:34.689,117505,-0.87,-0.42,-0.30,10.09,11702
15:44:34.700,117515,-1.02,-0.45,-0.28,11.45,11703
15:44:34.710,117525,-0.94,-0.52,-0.32,11.22,11704
15:44:34.720,117535,-0.92,-0.52,-0.28,10.91,11705
15:44:34.729,117545,-0.89,-0.58,-0.31,11.06,11706
15:44:34.739,117555,-0.92,-0.57,-0.29,11.22,11707
