timestamps,ax,ay,az,y
2181887,-1.18,-0.19,-0.68,13.77
2181909,-1.20,-0.15,-0.61,13.55
2181931,-1.31,-0.09,-0.54,14.22
2181953,-1.17,-0.12,-0.40,12.44
2181975,-1.05,-0.03,-0.34,11.05
2181997,-1.05,0.03,-0.26,10.80
2182019,-0.88,0.04,-0.24,9.15
2182041,-0.64,-0.16,-0.19,6.84
2182063,-0.70,-0.24,-0.08,7.50
2182085,-0.70,-0.10,-0.13,7.20
2182107,-0.77,-0.07,-0.15,7.92
2182129,-0.89,-0.10,-0.17,9.15
2182151,-1.01,-0.21,-0.10,10.38
2182173,-1.28,-0.40,0.86,15.90
2182195,-1.87,-0.32,1.14,22.16
2182217,-0.69,0.33,-0.34,8.42
2182239,-1.28,0.62,-0.14,14.27
2182261,-1.41,-0.09,-0.29,14.39
2182283,-1.05,-0.35,-0.41,11.87
2182305,-1.00,-0.23,-0.48,11.35
2182327,-1.30,-0.46,-0.17,13.88
2182349,-1.02,-0.18,-0.23,10.66
2182371,-1.23,0.15,-0.18,12.54
2182393,-1.17,-0.06,-0.08,11.76
2182415,-0.99,-0.42,-0.10,10.83
2182437,-1.05,-0.41,-0.11,11.39
2182459,-1.05,-0.25,-0.13,10.85
2182481,-1.08,-0.07,-0.18,10.96
2182503,-1.13,0.01,-0.16,11.42
2182525,-1.08,-0.24,-0.13,11.11
2182547,-1.08,-0.23,-0.20,11.19
2182569,-1.08,-0.08,-0.18,10.97
2182591,-1.09,-0.30,-0.16,11.43
2182613,-1.07,-0.33,-0.21,11.37
2182635,-1.07,-0.22,-0.10,11.01
2182657,-1.03,-0.18,-0.07,10.49
2182679,-1.05,-0.18,-0.11,10.71
2182701,-1.08,-0.24,-0.10,11.11
2182723,-1.06,-0.08,-0.09,10.68
2182745,-1.12,-0.02,-0.11,11.28
2182767,-1.03,-0.33,-0.11,10.90
2182789,-0.98,-0.50,-0.01,11.01
2182811,-0.96,-0.36,-0.07,10.30
2182833,-1.04,-0.24,-0.09,10.74
2182855,-1.03,-0.22,-0.08,10.59
2182877,-1.01,-0.19,-0.13,10.34
2182899,-1.12,-0.20,-0.21,11.51
2182921,-1.12,-0.16,-0.28,11.63
2182943,-1.11,-0.19,-0.29,11.62
2182965,-1.03,-0.36,-0.27,11.23
2182987,-1.03,-0.35,-0.30,11.30
2183009,-1.11,-0.22,-0.32,11.79
2183031,-1.12,-0.21,-0.32,11.85
2183053,-1.10,-0.22,-0.26,11.48
2183075,-1.13,-0.25,-0.26,11.86
2183097,-1.33,-0.29,-0.21,13.82
2183119,-1.20,-0.14,-0.21,12.27
2183141,-1.27,-0.18,-0.22,13.02
2183163,-1.36,-0.14,-0.26,13.91
2183185,-1.38,0.03,-0.20,13.89
2183207,-1.28,0.06,-0.06,12.88
2183229,-1.17,0.08,0.12,11.76
2183251,-0.96,-0.14,-0.06,9.73
2183273,-0.98,-0.25,-0.71,12.37
2183295,-1.18,-0.24,-0.67,13.78
2183317,-1.37,0.09,-0.48,14.51
2183339,-1.15,-0.22,-0.42,12.46
2183361,-1.08,-0.50,-0.25,12.11
2183383,-1.02,-0.58,-0.33,12.14
2183405,-0.96,-0.50,-0.43,11.65
2183427,-0.97,-0.31,-0.58,11.71
2183449,-0.97,-0.18,-0.68,11.99
2183471,-0.94,-0.20,-0.73,12.05
2183493,-1.06,-0.36,-0.74,13.41
2183515,-1.04,-0.42,-0.80,13.75
2183537,-1.12,-0.35,-0.83,14.39
2183559,-1.14,-0.25,-0.81,14.16
2183581,-1.12,-0.22,-0.79,13.87
2183603,-1.16,-0.25,-0.74,13.94
2183625,-1.15,-0.22,-0.70,13.61
2183647,-1.09,-0.14,-0.67,12.87
2183669,-1.13,-0.22,-0.61,13.06
2183691,-1.14,-0.22,-0.49,12.59
2183713,-1.10,-0.22,-0.42,11.96
2183735,-1.09,-0.07,-0.40,11.66
2183757,-0.95,0.02,-0.44,10.52
2183779,-0.92,-0.03,-0.32,9.71
2183801,-0.88,-0.11,-0.22,9.11
2183823,-0.82,-0.07,-0.19,8.43
2183845,-0.73,-0.04,-0.16,7.47
2183867,-0.70,-0.14,-0.14,7.28
2183889,-0.81,-0.14,-0.18,8.39
2183911,-0.90,-0.11,-0.23,9.30
2183933,-0.95,-0.24,-0.16,9.94
2183955,-1.55,-0.27,1.78,23.74
2183977,-1.88,-0.49,0.82,21.10
2183999,-0.65,0.25,-0.72,10.02
2184021,-1.54,0.77,0.03,17.22
2184043,-1.27,-0.54,-0.26,14.06
2184065,-1.00,-0.20,-0.37,10.89
2184087,-1.16,0.13,-0.57,13.03
2184109,-1.26,-0.21,-0.22,12.92
2184131,-0.97,-0.41,-0.19,10.74
2184153,-1.22,-0.23,-0.03,12.41
2184175,-1.08,-0.27,-0.14,11.22
2184197,-1.06,-0.25,-0.11,10.96
2184219,-1.01,-0.44,-0.08,11.07
2184241,-0.99,-0.35,-0.14,10.65
2184263,-1.10,-0.15,-0.08,11.14
2184285,-1.04,-0.29,-0.05,10.76
2184307,-1.02,-0.16,-0.08,10.37
2184329,-1.09,-0.03,-0.14,10.98
2184351,-1.08,-0.11,-0.15,10.99
2184373,-1.05,-0.19,-0.19,10.88
2184395,-1.07,-0.21,-0.16,11.01
2184417,-1.10,-0.14,-0.17,11.23
2184439,-1.07,-0.07,-0.18,10.93
2184461,-1.03,-0.36,-0.16,11.03
2184483,-1.06,-0.19,-0.15,10.85
2184505,-1.12,0.04,-0.17,11.35
2184527,-1.08,-0.30,-0.26,11.49
2184549,-1.09,-0.25,-0.20,11.37
2184571,-1.06,-0.33,-0.22,11.28
2184593,-1.04,-0.32,-0.25,11.12
2184615,-1.04,-0.37,-0.20,11.21
2184637,-1.00,-0.36,-0.23,10.90
2184659,-1.11,-0.19,-0.28,11.57
2184681,-1.05,-0.12,-0.28,10.90
2184703,-1.01,-0.28,-0.20,10.69
2184725,-1.03,-0.30,-0.21,10.95
2184747,-1.09,-0.26,-0.35,11.74
2184769,-1.07,-0.25,-0.31,11.37
2184791,-1.06,-0.33,-0.34,11.60
2184813,-1.12,-0.22,-0.40,12.06
2184835,-1.14,-0.18,-0.36,12.05
2184857,-1.11,-0.22,-0.35,11.81
2184879,-1.20,-0.32,-0.31,12.82
2184901,-1.33,-0.20,-0.24,13.67
2184923,-1.21,-0.13,-0.25,12.47
2184945,-1.32,-0.17,-0.31,13.62
2184967,-1.29,-0.08,-0.24,13.16
2184989,-1.29,0.08,-0.06,12.91
2185011,-1.23,0.12,0.14,12.42
2185033,-0.96,-0.22,-0.61,11.60
2185055,-0.83,-0.48,-0.95,13.52
2185077,-1.19,-0.40,-0.43,13.25
2185099,-1.25,0.15,-0.10,12.67
2185121,-1.10,0.07,-0.14,11.11
2185143,-1.12,-0.31,-0.12,11.64
2185165,-1.12,-0.36,-0.24,12.01
2185187,-1.17,-0.41,-0.47,13.26
2185209,-1.18,-0.43,-0.53,13.60
2185231,-1.08,-0.43,-0.50,12.60
2185253,-1.16,-0.39,-0.65,13.86
2185275,-1.21,-0.27,-0.74,14.41
2185297,-1.15,-0.19,-0.74,13.81
2185319,-1.16,-0.24,-0.71,13.81
2185341,-1.16,-0.26,-0.69,13.77
2185363,-1.17,-0.24,-0.69,13.80
2185385,-1.18,-0.19,-0.66,13.62
2185407,-1.14,-0.19,-0.62,13.06
2185429,-1.16,-0.17,-0.55,12.97
2185451,-1.17,-0.24,-0.42,12.69
2185473,-1.12,-0.23,-0.40,12.15
2185495,-1.09,-0.08,-0.35,11.43
2185517,-0.99,-0.03,-0.32,10.43
2185539,-0.94,-0.01,-0.27,9.80
2185561,-0.85,-0.06,-0.24,8.89
2185583,-0.77,-0.12,-0.20,8.00
2185605,-0.76,-0.10,-0.20,7.90
2185627,-0.80,-0.08,-0.18,8.25
2185649,-0.86,-0.04,-0.18,8.74
2185671,-0.90,-0.08,-0.25,9.37
2185693,-0.92,-0.18,-0.27,9.74
2185715,-1.00,-0.24,-0.30,10.74
2185737,-1.08,-0.18,0.15,11.01
2185759,-2.13,0.11,1.69,27.17
2185781,-1.13,0.08,0.05,11.33
2185803,-0.69,0.72,-0.15,10.05
2185825,-1.36,0.30,-0.07,13.96
2185847,-1.40,-0.82,-0.19,16.36
2185869,-0.92,-0.49,-0.13,10.54
2185891,-0.98,0.16,-0.65,11.87
2185913,-1.27,0.13,-0.23,12.95
2185935,-1.11,-0.28,-0.26,11.75
2185957,-1.12,-0.47,-0.12,12.20
2185979,-1.04,-0.09,-0.10,10.48
2186001,-1.11,-0.08,-0.13,11.25
2186023,-1.09,-0.29,-0.17,11.43
2186045,-1.08,-0.20,-0.15,11.13
2186067,-1.09,-0.16,-0.12,11.05
2186089,-1.09,-0.19,-0.23,11.33
2186111,-1.08,-0.12,-0.20,11.09
2186133,-1.10,-0.21,-0.09,11.23
2186155,-1.08,-0.24,-0.17,11.17
2186177,-1.07,-0.14,-0.19,10.96
2186199,-1.08,-0.19,-0.12,11.00
2186221,-1.07,-0.28,-0.20,11.27
2186243,-1.08,-0.17,-0.23,11.16
2186265,-1.07,-0.21,-0.09,10.95
2186287,-1.03,-0.26,-0.08,10.70
2186309,-1.03,-0.19,-0.15,10.61
2186331,-1.04,-0.11,-0.12,10.51
2186353,-1.07,-0.19,-0.16,10.96
2186375,-1.12,-0.15,-0.29,11.65
2186397,-1.14,0.05,-0.41,12.09
2186419,-1.16,0.09,-0.40,12.29
2186441,-1.17,-0.61,-0.33,13.61
2186463,-1.09,-0.51,-0.25,12.23
2186485,-1.08,-0.05,-0.31,11.23
2186507,-1.20,-0.05,-0.34,12.48
2186529,-1.17,-0.05,-0.25,12.00
2186551,-1.07,-0.05,-0.23,10.95
2186573,-0.99,-0.05,-0.21,10.13
2186595,-0.95,-0.17,-0.16,9.83
2186617,-0.99,-0.16,-0.19,10.19
2186639,-1.03,-0.10,-0.27,10.69
2186661,-1.09,-0.05,-0.31,11.37
2186683,-1.08,-0.08,-0.33,11.35
2186705,-1.11,-0.14,-0.37,11.79
2186727,-1.16,-0.11,-0.40,12.29
2186749,-1.10,-0.06,-0.39,11.72
2186771,-1.07,-0.06,-0.37,11.30
2186793,-1.09,-0.08,-0.37,11.49
2186815,-1.09,-0.07,-0.37,11.49
2186837,-1.04,-0.08,-0.37,11.10
