y,timestamps
11.05,113494
10.42,113516
11.10,113538
11.59,113559
12.47,113581
13.61,113603
13.82,113625
15.26,113647
16.82,113669
18.36,113691
19.05,113713
16.76,113735
17.80,113757
19.56,113779
17.61,113801
11.66,113823
10.50,113845
11.14,113867
10.93,113889
10.81,113911
11.71,113933
10.89,113955
9.62,113977
11.64,113999
20.51,114021
17.55,114043
14.35,114065
12.94,114087
11.22,114109
7.03,114131
6.65,114153
7.11,114175
8.84,114197
20.66,114219
22.10,114241
10.43,114263
14.44,114285
14.77,114307
17.49,114329
14.96,114351
12.42,114373
14.41,114395
15.44,114417
13.66,114439
12.05,114461
11.66,114483
11.76,114505
11.15,114527
9.56,114549
10.00,114571
10.72,114593
10.89,114615
10.96,114637
11.06,114659
10.86,114681
11.05,114703
11.69,114725
12.23,114747
12.13,114769
12.29,114791
13.43,114813
14.60,114835
16.24,114857
17.03,114879
17.98,114901
19.31,114923
18.64,114945
16.02,114967
23.03,114989
12.04,115010
10.00,115032
12.56,115054
11.02,115075
10.50,115097
10.98,115119
11.68,115141
11.02,115163
11.52,115185
14.09,115207
15.87,115229
16.44,115250
14.68,115272
11.33,115294
7.57,115315
1.85,115337
7.71,115359
10.66,115380
18.72,115402
22.27,115424
11.52,115445
16.16,115467
14.23,115489
15.22,115511
16.15,115533
12.69,115555
12.20,115577
13.56,115599
14.74,115620
14.12,115642
11.42,115664
11.52,115686
10.80,115708
10.34,115730
10.70,115752
10.49,115774
10.30,115796
10.85,115818
11.31,115840
13.39,115862
13.29,115884
13.61,115906
13.67,115928
12.41,115950
12.65,115972
12.78,115994
11.10,116016
11.04,116038
12.62,116060
16.05,116082
20.73,116104
17.51,116126
19.75,116148
20.96,116170
19.90,116192
16.30,116214
16.17,116236
12.43,116258
9.97,116280
14.03,116302
13.64,116324
11.40,116346
13.34,116368
15.59,116390
15.34,116412
13.58,116434
12.69,116456
11.15,116478
13.12,116500
11.28,116522
10.12,116544
13.51,116566
13.98,116588
10.88,116610
8.76,116632
7.93,116654
9.29,116676
11.43,116698
25.56,116720
10.54,116742
10.72,116764
12.71,116786
13.06,116808
13.02,116830
12.91,116852
14.67,116874
14.68,116896
12.47,116918
11.45,116940
12.19,116962
12.86,116984
11.68,117006
11.44,117028
11.49,117050
11.60,117072
11.91,117094
11.75,117116
11.98,117138
11.32,117160
10.77,117182
11.33,117204
11.30,117226
11.31,117248
12.01,117270
12.29,117292
12.52,117314
