y,timestamps
18.32,288164
21.68,288186
11.99,288208
12.55,288230
10.89,288252
10.34,288274
9.00,288296
11.33,288318
11.66,288340
11.02,288362
11.39,288384
10.80,288406
11.01,288428
10.91,288450
11.05,288472
10.77,288494
10.91,288516
10.93,288538
10.62,288560
10.56,288582
10.77,288604
10.69,288626
10.48,288648
10.62,288670
10.58,288692
9.85,288714
10.08,288736
9.49,288758
10.32,288780
10.45,288802
10.35,288824
10.60,288846
10.87,288868
11.10,288890
11.07,288912
11.34,288934
12.71,288956
13.13,288978
13.63,289000
16.13,289022
16.44,289044
13.16,289066
15.48,289088
14.52,289110
11.29,289132
10.18,289154
9.44,289176
9.29,289198
7.92,289220
7.16,289242
7.34,289264
6.58,289286
7.93,289308
8.65,289330
9.13,289352
10.16,289374
9.75,289395
10.37,289417
11.41,289439
12.83,289461
13.03,289483
10.50,289505
9.08,289527
7.42,289549
6.37,289571
6.98,289593
8.44,289615
9.54,289637
12.94,289659
22.41,289681
10.85,289703
12.01,289725
10.89,289747
11.07,289769
9.66,289791
11.10,289813
11.74,289835
10.49,289857
10.83,289879
11.90,289901
11.18,289923
10.73,289945
10.76,289967
11.09,289989
10.74,290011
10.30,290033
10.50,290055
10.52,290077
10.49,290099
10.34,290121
10.17,290143
10.53,290165
10.69,290187
10.11,290209
10.26,290231
10.00,290253
9.82,290275
10.13,290297
10.81,290319
10.77,290341
10.43,290363
10.98,290385
11.34,290407
11.46,290429
13.76,290451
14.49,290473
16.34,290495
18.52,290517
16.13,290539
15.23,290561
15.86,290583
13.10,290605
9.87,290627
8.41,290649
8.20,290671
6.38,290693
6.08,290715
6.75,290737
7.38,290759
7.25,290781
8.86,290803
10.08,290825
10.78,290847
12.12,290869
12.16,290891
13.37,290913
12.13,290935
9.87,290957
7.40,290979
5.78,291001
8.02,291023
9.17,291045
7.57,291067
8.77,291089
8.80,291111
22.27,291133
20.62,291155
11.97,291177
12.85,291199
13.53,291221
11.37,291243
8.51,291265
11.03,291287
10.68,291309
10.39,291331
12.39,291353
11.32,291375
10.58,291397
10.91,291419
10.84,291441
10.91,291463
10.98,291485
10.73,291507
10.31,291529
10.44,291551
11.28,291573
10.28,291595
10.60,291617
10.77,291639
10.59,291661
10.23,291683
10.22,291705
10.17,291727
10.08,291749
10.53,291771
10.30,291793
10.00,291815
10.21,291837
10.38,291859
10.95,291881
10.58,291903
10.40,291925
11.66,291947
13.94,291969
14.93,291991
17.39,292013
17.94,292035
14.16,292057
14.87,292079
15.57,292101
12.47,292123
10.29,292145
8.12,292167
8.42,292189
6.73,292211
5.35,292233
7.18,292255
7.77,292277
7.06,292299
8.56,292321
9.68,292343
11.55,292365
12.20,292387
12.22,292409
13.68,292431
13.52,292453
8.07,292475
7.75,292497
7.47,292519
7.74,292541
7.47,292563
8.16,292585
9.46,292607
9.12,292629
17.94,292651
22.48,292673
9.18,292695
15.41,292717
13.00,292739
12.13,292761
10.24,292783
9.20,292805
10.24,292827
10.83,292849
12.24,292871
12.15,292892
10.69,292914
10.79,292936
10.43,292958
10.89,292980
11.05,293002
10.74,293024
10.52,293046
10.41,293068
11.23,293090
10.53,293112
10.30,293134
10.89,293156
10.32,293178
10.29,293200
10.20,293222
10.22,293244
10.35,293266
10.18,293287
10.58,293309
10.90,293331
10.71,293353
10.07,293375
10.81,293397
11.17,293419
10.57,293441
10.87,293463
12.97,293485
14.94,293507
15.45,293529
16.01,293551
12.89,293573
14.67,293595
14.70,293617
13.68,293639
10.67,293661
9.49,293683
8.46,293705
5.37,293727
6.14,293749
7.02,293771
7.41,293793
7.66,293815
8.10,293837
10.11,293859
11.91,293881
11.38,293903
11.00,293925
12.28,293947
12.40,293969
9.71,293991
8.67,294013
7.95,294035
7.48,294057
8.20,294079
8.55,294100
8.55,294122
9.18,294144
17.69,294166
19.17,294188
9.76,294210
13.99,294232
12.29,294254
10.24,294276
10.86,294298
11.52,294320
10.10,294342
11.54,294364
13.14,294386
11.32,294408
10.47,294430
10.86,294452
10.57,294474
10.70,294496
10.94,294518
10.75,294540
10.13,294562
10.37,294584
10.88,294606
10.90,294628
10.19,294650
10.33,294672
10.49,294694
9.99,294716
10.51,294738
10.53,294760
9.88,294782
9.85,294804
10.24,294826
10.86,294848
11.12,294870
11.08,294892
10.55,294914
10.90,294936
11.24,294958
11.51,294980
14.82,295002
15.39,295024
16.14,295046
14.28,295068
14.57,295090
15.42,295112
11.22,295134
12.23,295156
9.73,295178
9.61,295200
9.53,295222
8.05,295244
6.63,295266
6.14,295288
6.58,295310
7.02,295332
8.01,295354
8.45,295376
9.90,295398
11.22,295420
12.14,295442
11.67,295464
11.74,295486
14.56,295508
10.54,295530
7.77,295552
8.79,295574
7.08,295596
6.74,295618
6.99,295640
7.51,295662
14.04,295684
22.73,295706
