y,timestamps
12.24,208100
12.51,208121
12.80,208143
14.18,208165
17.30,208187
22.42,208209
23.26,208231
24.71,208253
21.41,208275
20.46,208296
11.55,208318
11.92,208340
12.84,208362
11.40,208384
10.48,208406
12.03,208428
13.21,208450
14.33,208472
14.07,208494
10.57,208516
15.00,208538
17.64,208560
16.73,208582
18.53,208604
14.36,208626
8.59,208648
2.77,208669
7.34,208691
19.97,208713
26.91,208735
8.74,208757
14.49,208779
17.27,208801
14.76,208823
15.50,208844
15.47,208866
14.97,208888
13.58,208909
11.77,208931
11.63,208953
11.77,208975
13.58,208997
12.03,209019
10.75,209041
9.72,209063
10.36,209084
9.38,209106
9.37,209128
9.53,209149
9.40,209171
11.75,209193
18.41,209215
22.08,209237
20.03,209259
18.85,209281
20.90,209303
17.16,209325
16.08,209347
13.52,209369
9.04,209391
8.54,209413
10.21,209435
11.62,209457
10.98,209479
11.69,209501
13.76,209523
15.71,209545
17.99,209567
20.37,209589
12.31,209611
8.24,209633
6.99,209655
4.62,209677
11.11,209699
14.52,209721
25.46,209743
13.97,209765
12.82,209787
13.59,209809
14.92,209831
17.01,209853
13.29,209875
13.03,209897
14.23,209919
14.31,209941
12.99,209963
11.43,209985
11.68,210007
11.17,210029
11.45,210051
10.97,210073
10.88,210095
10.92,210117
10.30,210139
10.08,210161
9.97,210183
11.50,210205
12.97,210227
13.52,210249
12.69,210271
13.54,210293
13.30,210315
14.50,210337
14.34,210359
15.82,210381
13.79,210403
18.40,210425
18.69,210447
20.02,210469
20.74,210491
14.94,210513
11.64,210535
11.50,210557
10.17,210579
10.81,210601
11.93,210623
11.88,210645
10.06,210667
10.87,210689
12.43,210711
18.18,210733
20.63,210755
14.55,210777
14.13,210799
9.50,210821
4.63,210843
4.22,210865
11.23,210887
22.76,210909
21.34,210931
13.53,210953
13.67,210975
14.72,210997
17.57,211019
14.81,211041
13.60,211063
15.26,211085
13.15,211107
11.68,211129
11.10,211151
11.22,211173
11.38,211195
10.71,211217
10.37,211239
11.52,211261
11.35,211283
11.34,211305
11.63,211327
11.27,211349
11.38,211371
11.88,211393
10.83,211415
10.81,211437
11.70,211459
15.65,211481
20.11,211503
17.68,211525
14.93,211547
17.30,211569
19.15,211591
19.80,211613
13.60,211635
10.92,211657
11.06,211679
10.73,211701
11.43,211723
12.77,211745
12.30,211767
11.86,211789
14.40,211811
13.87,211833
14.52,211855
15.58,211877
15.80,211899
13.58,211921
13.08,211943
11.93,211965
5.21,211987
2.51,212009
6.98,212031
12.43,212053
21.74,212075
12.82,212097
13.21,212119
12.15,212141
13.54,212163
15.38,212185
13.98,212207
12.53,212229
13.43,212251
12.80,212273
12.07,212295
11.53,212317
11.10,212339
11.84,212361
11.37,212383
10.58,212405
10.98,212427
10.75,212449
11.14,212471
11.16,212493
10.32,212515
10.10,212537
10.15,212559
10.61,212581
10.89,212603
11.68,212625
11.95,212647
14.49,212669
15.59,212691
16.59,212713
18.02,212735
16.76,212757
14.07,212779
17.31,212801
19.01,212823
17.51,212845
13.55,212867
10.17,212889
9.22,212911
10.18,212933
10.42,212955
11.92,212977
11.39,212999
11.35,213021
12.55,213043
17.50,213065
16.80,213087
17.09,213109
15.21,213131
10.42,213153
9.27,213175
8.87,213197
7.35,213219
7.01,213241
9.21,213263
15.39,213285
18.82,213307
10.28,213329
14.42,213351
11.49,213373
12.74,213395
14.68,213417
13.39,213438
12.10,213460
13.29,213482
12.35,213504
11.46,213526
11.15,213548
10.77,213570
10.86,213592
10.94,213614
10.70,213636
11.41,213658
10.88,213680
10.26,213701
11.21,213723
10.83,213745
10.73,213766
10.58,213788
10.98,213810
11.49,213831
11.49,213853
12.51,213875
13.74,213897
13.50,213919
15.07,213941
15.29,213963
15.91,213985
16.99,214007
16.32,214029
18.39,214051
17.70,214073
20.41,214095
16.80,214117
11.11,214139
9.99,214161
10.37,214183
10.68,214205
10.39,214227
10.44,214249
12.38,214271
10.09,214293
9.37,214315
14.31,214337
20.79,214359
18.40,214381
12.70,214403
12.36,214425
6.53,214447
5.17,214469
7.12,214491
11.43,214513
19.45,214535
15.01,214557
13.66,214579
14.57,214601
13.38,214623
14.80,214645
15.24,214667
11.83,214689
12.09,214711
14.48,214733
13.61,214755
12.34,214777
11.55,214799
10.95,214821
10.82,214843
10.33,214865
10.44,214887
10.83,214909
11.08,214931
11.12,214953
11.23,214975
10.80,214997
10.38,215019
11.23,215041
12.39,215063
11.84,215085
12.45,215107
14.88,215129
17.04,215151
17.65,215173
17.74,215195
15.31,215217
17.73,215239
22.39,215261
20.13,215283
17.39,215305
10.66,215327
10.64,215349
12.66,215371
10.36,215393
9.75,215415
10.99,215437
11.26,215459
9.03,215481
14.95,215503
20.33,215525
18.38,215547
15.15,215569
11.87,215591
11.69,215613
4.54,215635
3.52,215657
8.10,215679
11.44,215701
21.25,215723
15.94,215744
10.93,215766
18.18,215788
12.77,215810
13.05,215832
14.77,215854
13.27,215876
12.88,215898
14.72,215920
13.08,215942
