y,timestamps
5,342960
19.54,342982
21.01,343004
12.05,343026
14.54,343048
11.58,343070
10.94,343092
13.56,343114
12.21,343136
13.17,343158
11.35,343180
11.51,343202
13.27,343224
12.42,343246
11.64,343268
11.71,343290
10.89,343312
10.50,343334
10.24,343356
10.24,343378
10.48,343400
10.84,343422
11.07,343444
10.60,343466
10.82,343488
10.29,343510
10.82,343532
11.23,343554
11.24,343576
11.73,343598
12.63,343620
13.50,343642
16.25,343664
19.33,343686
20.84,343708
20.13,343730
15.11,343752
19.98,343774
20.32,343796
15.84,343818
12.49,343840
13.28,343862
9.32,343884
9.55,343906
10.94,343928
11.40,343950
10.73,343972
9.04,343994
10.06,344016
14.23,344038
15.43,344060
15.55,344082
16.58,344104
16.87,344126
17.46,344148
14.43,344170
12.75,344192
7.29,344214
9.26,344236
12.74,344258
13.18,344280
14.90,344302
23.30,344324
9.78,344346
13.07,344368
13.77,344390
8.79,344412
11.02,344434
10.04,344456
13.44,344478
10.47,344500
11.92,344522
12.00,344544
12.02,344566
12.13,344588
12.03,344610
11.29,344632
10.93,344654
10.78,344676
10.27,344698
9.93,344720
10.55,344742
10.90,344764
10.70,344786
11.02,344808
11.02,344830
10.70,344852
10.26,344874
10.96,344896
12.24,344918
11.40,344940
11.56,344962
12.56,344984
13.61,345006
16.13,345028
16.37,345050
18.65,345072
17.20,345094
12.42,345116
19.21,345138
23.14,345160
14.50,345182
12.64,345204
10.74,345226
12.48,345248
11.70,345270
10.21,345292
10.58,345314
9.21,345336
9.47,345358
10.03,345380
12.22,345402
13.83,345424
13.77,345446
15.46,345468
16.50,345490
14.06,345512
14.00,345534
12.33,345556
8.62,345578
4.47,345600
6.82,345622
10.71,345644
17.71,345666
21.45,345688
6.83,345710
13.68,345732
9.99,345754
9.87,345776
10.70,345798
11.17,345820
10.98,345842
10.73,345864
11.47,345886
11.73,345908
11.60,345930
11.38,345952
11.01,345974
11.54,345996
11.71,346018
11.43,346040
11.20,346062
10.78,346084
10.33,346106
10.60,346128
11.04,346150
10.69,346172
10.79,346194
10.16,346216
10.33,346238
9.98,346260
10.00,346282
10.46,346304
10.23,346326
10.69,346348
11.58,346370
15.52,346392
16.73,346414
15.72,346436
17.79,346458
16.81,346480
14.54,346502
17.92,346524
16.65,346546
13.58,346568
12.18,346590
10.45,346612
11.68,346634
10.98,346656
10.58,346678
10.04,346700
10.38,346722
10.29,346744
11.11,346766
11.89,346788
11.94,346810
13.21,346832
13.14,346854
14.04,346876
14.58,346898
14.22,346920
15.13,346942
10.23,346964
6.60,346986
4.57,347008
8.89,347030
10.14,347052
11.69,347074
19.72,347096
22.86,347118
8.75,347140
15.91,347162
10.19,347184
9.97,347206
9.19,347228
11.37,347250
12.10,347272
11.01,347294
10.69,347316
