timestamps,ax,ay,az,y
2136149,-1.13,-0.18,-0.84,14.22
2136171,-1.13,-0.40,-0.78,14.35
2136193,-1.18,-0.37,-0.78,14.60
2136215,-1.22,-0.22,-0.77,14.61
2136237,-1.14,-0.21,-0.72,13.67
2136259,-1.15,-0.12,-0.66,13.35
2136281,-1.13,-0.03,-0.59,12.74
2136303,-1.12,-0.08,-0.45,12.10
2136325,-1.04,-0.15,-0.38,11.18
2136347,-1.01,-0.12,-0.33,10.72
2136369,-0.96,0.01,-0.24,9.87
2136391,-0.91,0.09,-0.19,9.35
2136413,-0.89,0.00,-0.14,8.97
2136435,-0.80,-0.07,-0.15,8.17
2136457,-0.80,-0.02,-0.17,8.16
2136479,-0.84,-0.06,-0.15,8.58
2136501,-0.84,-0.15,-0.13,8.67
2136523,-0.95,-0.20,-0.21,9.92
2136545,-0.94,-0.16,-0.31,10.00
2136567,-1.31,-0.19,0.89,15.94
2136589,-1.88,-0.09,0.81,20.54
2136611,-0.90,0.04,0.04,8.99
2136633,-1.12,-0.10,-0.01,11.21
2136655,-1.23,-0.48,-0.17,13.30
2136677,-1.09,-0.13,-0.46,11.92
2136699,-1.06,0.35,-0.49,12.23
2136721,-1.17,-0.51,-0.26,13.04
2136743,-1.12,-0.35,-0.15,11.82
2136765,-1.21,0.11,-0.26,12.41
2136787,-1.17,0.10,-0.21,11.89
2136809,-1.07,-0.18,-0.18,11.02
2136831,-1.11,-0.27,-0.16,11.52
2136853,-1.11,-0.20,-0.12,11.29
2136875,-1.12,-0.23,-0.13,11.49
2136897,-1.08,-0.07,-0.17,10.97
2136919,-1.19,-0.01,-0.15,11.98
2136941,-1.11,-0.19,-0.21,11.41
2136963,-1.09,-0.17,-0.20,11.19
2136985,-1.05,-0.36,-0.14,11.17
2137007,-1.00,-0.31,-0.14,10.52
2137029,-0.99,-0.24,-0.16,10.29
2137051,-1.00,-0.28,-0.14,10.51
2137073,-1.03,-0.29,-0.14,10.74
2137095,-1.00,-0.58,-0.12,11.64
2137117,-0.98,-0.46,-0.07,10.80
2137139,-1.06,0.06,-0.17,10.81
2137161,-1.18,0.02,-0.19,11.94
2137183,-1.12,-0.05,-0.19,11.34
2137205,-1.08,-0.26,-0.16,11.25
2137227,-1.05,-0.29,-0.19,11.02
2137249,-1.07,-0.22,-0.14,11.00
2137271,-1.07,-0.27,-0.18,11.16
2137293,-1.06,-0.21,-0.26,11.16
2137315,-1.06,-0.26,-0.35,11.45
2137337,-1.11,-0.15,-0.42,11.93
2137359,-1.12,-0.14,-0.43,12.10
2137381,-1.09,-0.23,-0.46,12.05
2137403,-1.07,-0.29,-0.39,11.77
2137425,-1.07,-0.21,-0.34,11.40
2137447,-1.07,-0.21,-0.28,11.22
2137469,-1.08,-0.19,-0.33,11.42
2137491,-1.18,-0.35,-0.36,12.82
2137513,-1.42,-0.25,-0.31,14.76
2137535,-1.28,0.01,-0.26,13.05
2137557,-1.36,-0.06,-0.11,13.65
2137579,-1.34,-0.04,0.08,13.41
2137601,-1.13,-0.16,0.36,12.02
2137623,-1.04,-0.39,-0.07,11.16
2137645,-1.06,-0.34,-0.70,13.14
2137667,-1.37,-0.31,-0.79,16.13
2137689,-1.35,0.21,-0.55,14.72
2137711,-1.12,-0.03,-0.10,11.26
2137733,-0.95,-0.14,-0.10,9.63
2137755,-1.02,-0.21,-0.20,10.60
2137777,-1.11,-0.26,-0.32,11.87
2137799,-1.11,-0.24,-0.53,12.51
2137821,-1.18,-0.34,-0.52,13.35
2137843,-1.16,-0.45,-0.61,13.83
2137865,-1.20,-0.40,-0.62,14.08
2137887,-1.21,-0.23,-0.60,13.68
2137909,-1.22,-0.17,-0.66,13.91
2137931,-1.28,-0.28,-0.64,14.59
2137953,-1.30,-0.29,-0.60,14.61
2137975,-1.25,-0.25,-0.62,14.15
2137997,-1.18,-0.18,-0.62,13.42
2138019,-1.17,-0.10,-0.56,13.02
2138041,-1.07,-0.11,-0.60,12.32
2138063,-1.04,-0.25,-0.43,11.50
2138085,-1.00,-0.13,-0.37,10.76
2138107,-1.01,0.00,-0.35,10.68
2138129,-0.99,-0.02,-0.31,10.33
2138151,-0.86,-0.08,-0.33,9.28
2138173,-0.86,-0.09,-0.28,9.07
2138195,-0.90,-0.12,-0.22,9.30
2138217,-0.91,-0.05,-0.19,9.36
2138239,-0.92,-0.04,-0.19,9.42
2138261,-0.89,-0.13,-0.21,9.21
2138283,-0.89,-0.19,-0.36,9.81
2138305,-0.99,-0.18,-0.18,10.19
2138327,-1.43,-0.03,1.15,18.34
2138349,-1.77,0.10,0.67,18.99
2138371,-0.91,0.33,-0.10,9.72
2138393,-1.26,0.30,-0.09,12.97
2138415,-1.25,-0.42,-0.23,13.40
2138437,-1.01,-0.60,-0.48,12.67
2138459,-1.10,-0.11,-0.50,12.10
2138481,-1.29,0.02,-0.25,13.11
2138503,-1.14,-0.20,-0.12,11.60
2138525,-1.11,-0.04,-0.09,11.11
2138547,-1.06,-0.06,-0.11,10.63
2138569,-1.03,-0.34,-0.08,10.83
2138591,-1.07,-0.32,-0.09,11.20
2138613,-1.06,-0.16,-0.13,10.82
2138635,-1.12,-0.00,-0.19,11.37
2138657,-1.14,-0.08,-0.25,11.68
2138679,-1.10,-0.23,-0.18,11.41
2138701,-1.09,-0.22,-0.21,11.28
2138723,-1.10,-0.14,-0.16,11.19
2138745,-1.03,-0.30,-0.09,10.77
2138767,-1.00,-0.37,-0.10,10.75
2138789,-1.04,-0.20,-0.07,10.66
2138811,-1.04,-0.19,-0.08,10.59
2138833,-1.06,-0.16,-0.16,10.84
2138855,-1.11,-0.09,-0.10,11.17
2138877,-1.05,-0.23,-0.13,10.86
2138899,-1.08,-0.24,-0.12,11.16
2138921,-1.04,-0.24,-0.12,10.77
2138943,-1.00,-0.28,-0.11,10.42
2138965,-1.04,-0.29,-0.14,10.84
2138987,-1.03,-0.25,-0.20,10.81
