y,timestamps
8.52,427555
9.90,427577
11.05,427599
23.83,427621
11.35,427643
11.59,427665
13.26,427687
9.15,427709
10.91,427731
11.52,427753
10.84,427775
11.19,427797
10.54,427819
11.57,427841
12.36,427863
11.37,427885
11.11,427907
11.04,427929
11.15,427951
11.06,427973
11.24,427995
11.23,428017
10.91,428039
10.60,428061
10.89,428083
10.94,428105
10.39,428127
10.92,428149
10.69,428171
10.62,428193
10.56,428215
11.25,428237
11.61,428259
11.39,428281
12.53,428303
13.80,428325
16.27,428347
18.96,428369
18.48,428391
15.36,428413
16.76,428435
25.20,428457
19.29,428479
14.12,428501
8.75,428523
8.96,428545
9.65,428567
10.18,428589
10.44,428611
10.71,428633
10.58,428655
9.70,428677
11.43,428699
13.14,428721
13.43,428743
13.37,428765
13.87,428787
15.18,428809
15.14,428831
14.61,428853
12.64,428875
8.66,428897
5.87,428919
8.74,428941
13.14,428963
23.47,428985
5.54,429007
14.35,429029
9.13,429051
9.17,429073
11.39,429095
13.52,429117
11.10,429139
11.58,429161
13.51,429183
14.64,429205
12.75,429227
11.89,429249
12.03,429271
11.91,429293
10.83,429315
10.75,429337
10.05,429359
10.09,429381
10.85,429403
10.10,429425
10.25,429447
10.66,429469
10.57,429491
9.78,429513
11.23,429535
11.15,429557
11.52,429579
11.84,429601
13.90,429623
18.43,429645
19.49,429667
18.51,429689
16.92,429711
21.10,429733
20.97,429755
15.35,429777
15.39,429799
9.60,429821
10.68,429843
11.65,429865
11.24,429887
10.94,429909
10.90,429931
11.05,429953
13.32,429975
14.47,429997
13.64,430019
13.83,430041
15.23,430063
15.84,430085
13.10,430107
10.72,430129
9.72,430151
9.26,430173
6.67,430195
9.24,430216
20.31,430238
19.72,430260
7.49,430281
11.69,430303
11.90,430325
9.75,430346
10.37,430368
13.08,430390
12.70,430412
12.38,430434
13.10,430456
13.04,430478
13.03,430500
12.22,430522
11.86,430544
11.21,430566
10.89,430588
10.47,430610
10.54,430631
10.55,430653
10.37,430675
10.50,430696
10.36,430718
10.29,430740
10.10,430761
10.59,430783
11.48,430805
10.67,430827
10.63,430849
11.59,430871
12.91,430893
12.42,430915
15.15,430937
19.82,430959
20.02,430981
18.78,431003
16.86,431025
21.37,431047
17.43,431069
13.11,431091
11.78,431113
9.18,431135
10.80,431157
10.34,431179
9.61,431201
9.54,431223
10.41,431245
10.94,431267
10.83,431289
11.59,431311
12.54,431333
13.68,431355
15.20,431377
16.76,431399
18.54,431421
14.41,431443
9.91,431465
8.99,431487
7.82,431509
11.92,431531
23.65,431553
10.48,431575
10.91,431597
14.22,431619
15.48,431641
14.28,431663
10.07,431685
12.15,431707
14.17,431729
12.62,431751
11.42,431773
12.01,431795
12.93,431817
12.21,431839
10.75,431861
11.67,431883
11.21,431905
10.83,431927
10.42,431949
10.32,431971
10.05,431993
10.38,432015
10.67,432037
10.98,432059
10.77,432081
10.94,432103
11.48,432125
11.17,432147
12.49,432169
15.02,432191
18.21,432213
18.21,432235
20.31,432257
15.26,432279
15.84,432301
19.85,432323
17.20,432345
12.09,432367
11.50,432389
8.17,432411
11.01,432433
10.32,432455
11.03,432477
10.51,432499
9.56,432521
9.98,432543
11.23,432565
12.26,432587
15.70,432609
14.33,432631
16.43,432653
15.97,432675
15.60,432697
13.05,432719
9.31,432741
4.10,432763
5.67,432785
10.34,432807
14.17,432829
21.84,432851
8.10,432873
11.46,432895
12.28,432917
11.16,432939
9.88,432961
14.07,432983
13.26,433005
11.54,433027
11.67,433049
13.82,433071
12.87,433093
12.21,433115
11.82,433137
11.44,433159
10.99,433181
10.75,433203
10.67,433225
10.52,433247
10.57,433269
10.66,433291
10.70,433313
10.97,433335
10.72,433357
10.42,433379
10.72,433401
11.15,433423
11.31,433445
11.86,433467
13.41,433489
13.27,433511
14.74,433533
18.55,433555
20.05,433577
18.28,433599
14.21,433621
17.00,433643
20.82,433665
14.13,433687
14.47,433709
11.72,433731
8.92,433753
10.66,433775
11.39,433797
10.39,433819
9.45,433841
9.21,433863
11.22,433885
14.27,433907
13.89,433929
13.28,433951
14.47,433973
14.36,433995
13.95,434017
15.20,434039
11.57,434061
8.34,434083
6.65,434105
6.84,434127
9.68,434149
11.10,434171
13.97,434193
20.92,434215
10.00,434237
11.97,434259
10.88,434281
10.64,434303
10.69,434325
9.98,434347
12.41,434369
10.86,434391
10.86,434413
11.96,434435
11.74,434457
11.48,434479
10.98,434501
10.46,434523
11.22,434545
11.12,434567
10.93,434589
11.47,434611
10.91,434633
10.97,434655
10.75,434677
10.90,434699
10.26,434721
10.34,434743
10.30,434765
10.90,434787
12.16,434809
11.49,434831
11.59,434853
12.76,434875
14.00,434897
16.96,434919
16.47,434941
16.33,434963
12.96,434985
20.25,435007
18.59,435029
14.99,435051
12.05,435073
9.33,435095
11.44,435117
13.66,435139
9.98,435161
10.69,435183
13.13,435205
12.97,435227
14.36,435249
12.08,435271
12.25,435293
12.86,435315
