y,timestamps
9.98,326323
10.02,326344
10.04,326366
11.87,326388
21.51,326409
13.10,326431
9.86,326453
10.88,326474
14.46,326496
15.13,326518
16.10,326540
13.57,326562
12.02,326584
11.52,326606
11.73,326628
11.53,326649
11.17,326671
10.96,326693
11.32,326714
11.01,326736
10.46,326758
10.21,326780
10.66,326802
10.70,326824
11.22,326846
12.03,326868
11.52,326889
11.57,326911
12.78,326933
12.51,326955
12.87,326977
13.42,326999
17.76,327021
17.87,327043
18.29,327064
16.54,327086
18.16,327108
18.87,327130
19.28,327152
17.35,327174
14.76,327196
13.47,327218
11.91,327240
11.06,327262
10.53,327284
10.27,327306
9.83,327328
11.07,327350
11.58,327372
14.81,327394
18.14,327416
19.32,327438
12.80,327460
14.17,327482
6.00,327504
8.68,327526
22.65,327548
14.71,327570
12.43,327592
20.88,327614
16.83,327636
10.22,327658
10.87,327680
10.81,327702
13.28,327724
10.83,327746
10.70,327768
10.39,327790
10.36,327812
10.63,327834
10.83,327856
10.62,327878
10.69,327900
11.19,327922
11.37,327944
10.56,327966
10.21,327988
11.20,328010
12.04,328032
12.25,328054
11.67,328076
12.08,328098
16.55,328120
21.47,328142
20.28,328164
18.36,328186
20.61,328208
23.99,328230
22.37,328252
18.28,328274
15.05,328296
12.77,328318
11.34,328340
10.28,328362
10.58,328384
10.52,328406
9.81,328428
10.06,328450
11.49,328472
11.54,328494
13.21,328516
19.25,328538
15.80,328560
13.74,328582
8.01,328604
5.53,328626
7.81,328648
27.98,328670
11.29,328692
13.56,328714
23.10,328736
19.61,328758
12.77,328780
12.53,328802
16.27,328824
12.13,328846
10.86,328868
11.45,328890
11.09,328912
11.23,328934
11.49,328956
11.22,328978
11.30,329000
11.17,329022
9.76,329044
9.72,329066
10.79,329088
11.55,329110
11.23,329132
11.25,329154
12.53,329176
12.78,329198
11.84,329220
13.82,329242
17.03,329264
18.96,329286
18.69,329308
14.79,329330
16.69,329352
19.80,329374
19.38,329396
16.97,329418
16.03,329440
15.25,329462
13.60,329484
12.27,329506
11.64,329528
11.39,329550
11.19,329572
10.76,329594
11.35,329616
12.97,329638
14.99,329660
17.20,329682
17.51,329704
14.62,329726
12.39,329748
11.88,329770
4.74,329792
15.73,329814
25.94,329836
16.58,329858
25.78,329880
10.44,329902
12.51,329924
9.03,329946
11.37,329968
12.52,329990
11.95,330012
10.33,330034
10.75,330056
10.88,330078
11.19,330100
11.87,330122
11.64,330144
11.60,330166
11.63,330188
11.31,330210
11.24,330232
11.10,330254
12.15,330276
12.16,330298
11.41,330320
11.48,330342
16.42,330364
18.80,330386
18.74,330408
18.44,330430
17.91,330452
19.68,330474
18.77,330496
15.97,330518
14.51,330540
14.10,330562
13.40,330584
11.98,330606
11.06,330628
10.84,330650
11.35,330672
11.50,330694
12.48,330716
14.10,330738
16.81,330760
19.43,330782
14.81,330804
10.62,330826
11.55,330848
5.23,330870
9.43,330892
25.23,330914
14.06,330936
13.88,330958
27.30,330980
10.69,331002
14.15,331024
12.15,331046
15.79,331068
13.95,331090
11.94,331112
11.32,331134
10.51,331156
10.95,331178
10.81,331200
11.39,331222
11.42,331244
11.44,331266
11.86,331288
11.64,331310
11.53,331332
11.19,331354
11.91,331376
11.79,331398
11.51,331420
11.19,331442
15.00,331464
19.38,331486
19.78,331508
