timestamps,ax,ay,az,y
747268,-1.09,-0.06,-0.28,11.27
747290,-1.03,-0.15,-0.15,10.56
747312,-1.01,-0.14,-0.17,10.39
747334,-1.07,-0.07,-0.23,10.97
747356,-1.08,-0.05,-0.24,11.11
747378,-1.08,-0.09,-0.27,11.19
747400,-1.13,-0.01,-0.37,11.90
747422,-1.10,-0.08,-0.35,11.54
747444,-1.07,-0.04,-0.36,11.31
747466,-1.08,0.02,-0.37,11.42
747488,-1.08,-0.04,-0.34,11.35
747510,-1.06,-0.13,-0.32,11.17
747532,-1.17,-0.03,-0.42,12.38
747554,-1.04,-0.02,-0.35,11.00
747576,-1.02,-0.13,-0.28,10.64
747598,-1.08,-0.08,-0.31,11.23
747620,-1.11,-0.01,-0.32,11.53
747642,-1.11,0.00,-0.40,11.82
747664,-1.22,0.13,-0.48,13.22
747686,-1.35,0.21,-0.57,14.78
747708,-1.36,0.03,-0.51,14.50
747730,-1.26,0.15,-0.41,13.34
747752,-1.21,0.13,-0.33,12.57
747774,-1.26,0.00,-0.30,12.96
747796,-1.27,0.13,-0.16,12.81
747818,-1.33,0.14,0.18,13.47
747840,-1.13,0.00,0.22,11.51
747862,-1.11,-0.40,-0.56,13.02
747884,-1.34,-0.45,-0.79,16.20
747906,-1.39,0.26,-0.91,16.84
747928,-1.29,0.39,-0.35,13.95
747950,-0.93,0.14,-0.33,9.99
747972,-0.98,-0.02,-0.46,10.85
747994,-0.98,-0.18,-0.47,11.02
748016,-0.99,-0.29,-0.59,11.87
748038,-0.99,-0.30,-0.72,12.63
748060,-1.01,-0.13,-0.75,12.61
748082,-0.94,0.03,-0.86,12.79
748104,-1.04,0.16,-0.90,13.86
748126,-1.09,0.22,-0.95,14.65
748148,-1.14,0.11,-0.93,14.79
748170,-1.15,-0.15,-0.91,14.75
748192,-1.10,-0.14,-0.88,14.18
748214,-1.10,0.05,-0.88,14.09
748236,-1.09,0.18,-0.84,13.84
748258,-1.06,0.10,-0.79,13.23
748280,-1.15,0.06,-0.63,13.14
748302,-1.11,0.08,-0.53,12.36
748324,-1.07,0.15,-0.40,11.54
748346,-1.03,0.14,-0.31,10.85
748368,-0.93,0.15,-0.33,9.96
748390,-0.97,0.05,-0.23,10.00
748412,-0.89,0.05,-0.18,9.11
748434,-0.80,0.08,-0.24,8.42
748456,-0.84,0.06,-0.19,8.68
748478,-0.83,0.06,-0.20,8.52
748500,-0.91,-0.01,-0.18,9.28
748522,-0.91,0.06,-0.26,9.49
748544,-0.88,0.01,-0.36,9.53
748566,-1.61,0.13,1.73,23.65
748588,-1.86,-0.15,0.33,18.98
748610,-0.85,0.34,-0.43,10.07
748632,-1.53,0.21,-0.13,15.44
748654,-1.21,-0.31,-0.38,13.04
748676,-0.86,-0.33,-0.57,10.87
748698,-1.16,0.35,-0.45,12.93
748720,-1.22,0.44,-0.26,13.27
748742,-1.26,-0.22,-0.32,13.19
748764,-1.15,-0.08,-0.38,12.14
748786,-1.15,0.23,-0.40,12.36
748808,-1.17,-0.05,-0.37,12.28
748830,-1.08,-0.05,-0.23,11.09
748852,-1.07,-0.21,-0.22,11.12
748874,-1.10,-0.07,-0.23,11.21
748896,-1.11,0.03,-0.18,11.24
748918,-1.10,-0.07,-0.27,11.37
748940,-1.12,-0.19,-0.17,11.46
748962,-1.01,-0.21,-0.05,10.33
748984,-1.03,-0.30,-0.18,10.86
749006,-1.06,-0.11,-0.22,10.87
749028,-1.04,-0.12,-0.28,10.80
749050,-1.15,0.00,-0.41,12.22
749072,-1.16,0.03,-0.49,12.57
749094,-1.09,-0.07,-0.31,11.39
749116,-1.11,-0.07,-0.32,11.55
749138,-1.12,-0.02,-0.33,11.65
749160,-1.08,-0.09,-0.17,11.01
749182,-1.03,-0.17,-0.23,10.72
749204,-1.08,-0.13,-0.26,11.16
749226,-1.12,-0.09,-0.21,11.44
749248,-1.06,-0.16,-0.31,11.19
749270,-1.05,-0.25,-0.28,11.18
749292,-1.04,-0.05,-0.31,10.92
749314,-1.01,-0.16,-0.34,10.76
749336,-0.93,-0.34,-0.29,10.28
