y,timestamps
11.95,118541
10.91,118563
11.27,118585
11.65,118607
10.58,118629
12.84,118651
12.51,118673
12.37,118695
12.51,118717
12.83,118739
11.99,118761
11.81,118783
12.19,118805
11.45,118827
10.68,118849
9.60,118871
8.58,118893
8.35,118915
8.82,118937
9.09,118959
8.95,118981
9.80,119003
11.15,119025
14.85,119047
16.08,119069
19.29,119091
12.32,119113
9.42,119135
10.61,119157
10.47,119179
12.07,119201
10.83,119223
9.73,119245
11.29,119267
10.52,119289
10.87,119311
10.65,119333
10.42,119355
10.02,119377
10.19,119399
10.28,119421
9.90,119443
10.18,119465
10.25,119487
10.19,119509
10.57,119531
10.14,119553
10.29,119575
10.30,119597
10.31,119619
10.26,119641
10.64,119663
10.22,119685
10.46,119707
10.25,119729
10.55,119751
12.05,119773
12.69,119795
13.66,119817
14.49,119839
15.90,119861
16.30,119883
17.47,119905
18.03,119927
17.55,119949
18.99,119971
12.14,119993
6.53,120015
9.44,120037
14.14,120059
9.43,120081
7.13,120103
5.80,120125
6.82,120147
11.27,120169
12.16,120191
14.15,120213
18.29,120235
18.85,120257
21.28,120279
29.57,120301
25.87,120323
21.51,120345
21.95,120367
21.33,120389
15.44,120411
18.65,120433
19.11,120455
14.17,120477
13.44,120499
13.52,120521
14.92,120543
9.46,120565
9.82,120587
11.83,120609
10.37,120631
10.59,120653
10.48,120675
10.60,120697
10.44,120719
10.49,120741
10.41,120763
10.55,120785
10.25,120807
10.58,120829
10.34,120851
10.79,120873
10.64,120895
11.87,120917
12.24,120939
12.54,120961
13.50,120983
14.06,121005
15.11,121027
15.72,121049
17.04,121071
18.07,121093
23.50,121115
19.64,121137
15.84,121159
12.69,121181
8.09,121203
8.31,121225
4.42,121247
6.07,121269
8.50,121291
7.88,121313
6.46,121335
9.87,121357
22.47,121379
13.94,121401
16.41,121423
20.86,121445
22.81,121467
24.04,121489
22.60,121511
24.29,121533
22.52,121555
21.50,121577
22.07,121599
17.79,121621
15.63,121643
29.49,121665
22.05,121687
9.78,121709
8.30,121731
22.20,121753
11.80,121775
9.13,121797
11.17,121819
10.57,121841
11.09,121863
10.29,121885
9.78,121907
10.74,121929
9.96,121951
9.47,121973
10.34,121995
10.18,122017
10.08,122039
11.07,122061
10.89,122083
11.97,122105
12.32,122127
13.53,122149
13.70,122171
14.95,122193
16.87,122215
17.43,122237
20.79,122259
22.85,122281
20.02,122303
14.76,122325
6.11,122347
8.41,122369
9.43,122391
5.75,122413
5.89,122435
6.76,122457
8.78,122479
5.87,122501
6.17,122523
8.49,122545
12.15,122567
15.74,122589
18.15,122611
19.11,122633
24.02,122655
23.40,122677
21.00,122699
21.31,122721
22.68,122743
18.40,122765
16.76,122787
22.49,122809
19.05,122831
10.53,122853
16.62,122875
14.33,122897
8.62,122919
9.79,122941
11.30,122963
11.31,122985
9.83,123007
10.21,123029
10.68,123051
10.27,123073
10.96,123095
10.42,123117
11.07,123139
11.39,123161
11.26,123183
10.48,123205
11.04,123227
11.35,123249
12.17,123271
13.13,123293
13.50,123315
14.05,123337
17.74,123359
19.33,123381
18.45,123403
21.35,123425
18.15,123447
11.86,123469
8.15,123491
9.85,123513
6.33,123535
4.22,123557
7.64,123579
6.28,123601
6.50,123623
8.99,123645
11.22,123667
11.55,123689
14.28,123711
18.65,123733
16.95,123755
18.50,123777
24.45,123799
26.47,123821
18.44,123843
21.19,123865
22.03,123887
17.96,123909
22.20,123931
16.75,123953
10.80,123975
14.38,123997
9.56,124019
10.86,124041
10.67,124063
11.38,124085
11.01,124107
10.31,124129
10.81,124151
11.60,124173
10.72,124195
10.35,124217
11.00,124239
9.62,124261
11.02,124283
11.01,124305
11.19,124327
11.31,124349
10.69,124371
12.18,124393
12.47,124415
13.15,124437
13.30,124459
15.02,124481
15.35,124503
16.70,124525
17.18,124547
16.40,124569
15.83,124591
13.10,124613
9.53,124635
11.13,124657
8.14,124679
7.18,124701
9.15,124723
8.77,124745
6.93,124767
8.62,124789
7.67,124811
10.27,124833
10.70,124855
14.56,124877
18.58,124899
16.91,124921
20.08,124943
21.74,124965
21.28,124987
15.59,125009
20.07,125031
24.23,125053
16.33,125075
19.87,125097
16.05,125119
19.57,125141
14.10,125163
14.20,125185
12.89,125207
10.86,125229
9.66,125251
11.97,125273
10.68,125295
10.68,125317
10.70,125339
11.22,125361
10.59,125383
10.57,125405
10.67,125427
9.22,125449
9.93,125471
10.72,125493
10.57,125515
11.42,125537
10.47,125559
11.17,125581
11.36,125603
11.14,125625
13.40,125647
13.59,125669
13.75,125691
18.12,125713
17.34,125735
19.36,125757
19.62,125779
19.34,125801
15.76,125823
10.72,125845
10.65,125867
9.20,125889
7.11,125911
4.13,125933
6.95,125955
5.65,125977
5.18,125998
5.83,126020
8.62,126042
11.95,126064
11.84,126086
19.36,126108
21.49,126130
21.16,126152
23.72,126174
27.69,126196
22.08,126218
23.04,126240
20.74,126262
26.16,126284
19.01,126306
16.00,126328
14.12,126350
15.60,126372
9.41,126394
10.55,126416
10.51,126438
10.75,126460
11.65,126482
9.86,126504
10.51,126526
11.20,126548
10.27,126570
11.13,126592
10.52,126614
10.46,126636
10.90,126658
11.12,126680
11.07,126702
11.46,126724
12.41,126746
12.34,126768
13.00,126790
13.34,126812
15.74,126834
16.83,126856
17.54,126878
20.34,126900
21.11,126922
15.82,126944
11.80,126966
10.35,126988
8.07,127010
4.63,127032
6.18,127054
4.86,127076
4.80,127098
5.02,127120
12.16,127142
10.14,127164
15.80,127186
16.83,127208
17.52,127230
16.18,127252
15.93,127274
15.97,127296
27.59,127318
16.01,127340
15.42,127362
21.57,127384
19.99,127406
15.93,127428
20.95,127450
15.52,127472
18.07,127494
12.99,127516
14.94,127538
14.40,127560
13.01,127582
9.09,127604
10.66,127626
10.89,127648
10.38,127670
10.98,127692
10.57,127714
9.87,127736
10.33,127758
10.36,127780
10.14,127802
10.61,127824
10.47,127846
10.38,127868
10.83,127890
10.73,127912
10.65,127934
11.09,127956
11.87,127978
11.94,128000
13.73,128022
13.58,128044
15.91,128066
17.25,128088
18.05,128110
18.21,128132
18.68,128154
16.88,128176
14.87,128198
12.97,128220
8.25,128242
9.59,128264
3.63,128286
4.74,128308
5.50,128330
4.73,128352
6.36,128374
7.44,128396
11.12,128418
13.69,128440
16.06,128462
23.99,128484
22.14,128506
23.37,128528
26.49,128550
18.61,128572
21.04,128594
22.36,128616
15.91,128638
19.19,128660
16.99,128682
18.49,128704
10.80,128726
14.09,128748
16.88,128770
9.87,128792
9.40,128814
10.94,128836
10.91,128858
10.34,128880
10.50,128902
10.62,128924
10.25,128946
10.71,128968
10.45,128990
10.62,129012
10.74,129034
10.86,129056
10.36,129078
10.45,129100
10.52,129122
10.65,129144
10.93,129166
11.25,129188
11.36,129210
12.10,129232
13.07,129254
14.73,129276
15.79,129298
16.87,129320
18.28,129342
18.28,129364
19.88,129386
17.74,129408
11.37,129430
10.98,129452
9.28,129474
7.58,129496
5.24,129518
9.24,129540
5.40,129562
5.38,129584
7.70,129605
11.09,129627
12.60,129649
15.58,129670
21.49,129692
20.51,129714
22.99,129735
28.42,129757
24.33,129779
21.81,129801
21.19,129823
20.06,129845
14.84,129867
23.40,129889
17.73,129910
10.43,129932
16.72,129954
12.27,129975
10.50,129997
9.97,130019
10.74,130040
11.56,130062
10.03,130084
10.35,130106
10.69,130128
10.81,130150
11.00,130172
10.09,130194
10.72,130216
10.69,130238
10.29,130260
10.80,130282
10.20,130304
10.56,130326
11.03,130348
10.68,130370
10.80,130392
11.39,130414
11.94,130436
12.87,130458
13.60,130480
14.54,130502
16.08,130524
17.56,130546
19.20,130568
18.70,130590
18.11,130612
14.14,130634
7.50,130656
4.64,130678
8.90,130700
6.73,130722
8.41,130744
8.60,130766
6.64,130788
8.01,130810
10.47,130832
12.26,130854
13.31,130876
17.20,130898
17.90,130920
16.72,130942
20.60,130964
24.94,130986
23.11,131008
21.09,131030
20.83,131052
17.03,131074
18.06,131096
16.22,131118
14.88,131140
10.67,131162
14.51,131184
15.72,131206
9.85,131228
9.23,131250
11.45,131272
10.84,131294
10.57,131316
10.81,131338
10.90,131360
10.55,131382
11.33,131404
10.34,131426
10.86,131448
11.44,131470
10.73,131492
10.82,131514
10.75,131536
10.45,131558
11.02,131580
10.98,131602
10.54,131624
11.19,131646
11.53,131668
10.48,131690
11.25,131712
11.06,131734
11.35,131756
11.83,131778
12.43,131800
12.88,131822
13.99,131844
13.04,131866
11.30,131888
13.31,131910
13.03,131932
13.88,131954
15.31,131976
17.55,131998
17.74,132020
14.69,132042
12.13,132064
9.95,132086
9.63,132108
7.22,132130
7.68,132152
5.38,132174
5.78,132196
7.77,132218
8.63,132240
9.67,132262
10.35,132284
10.74,132306
13.08,132328
16.66,132350
19.77,132372
21.04,132394
23.11,132416
21.16,132438
24.25,132460
22.14,132482
22.03,132504
20.10,132526
16.01,132548
23.43,132570
28.56,132592
9.89,132614
9.96,132636
16.36,132658
10.89,132680
10.11,132702
11.49,132724
10.45,132746
10.67,132768
10.29,132790
10.46,132812
10.50,132834
10.02,132856
10.13,132878
10.69,132900
10.07,132922
9.83,132944
10.21,132966
10.40,132988
10.87,133010
10.76,133032
11.36,133054
11.68,133076
11.86,133098
12.70,133120
13.74,133142
16.65,133164
15.20,133186
19.09,133208
21.98,133230
22.19,133252
17.70,133274
13.06,133296
9.12,133318
11.41,133340
7.61,133362
7.49,133384
6.83,133406
7.73,133428
7.65,133450
9.82,133472
11.34,133494
13.09,133516
16.57,133538
18.76,133560
20.51,133582
21.18,133604
18.11,133626
15.56,133648
22.33,133670
21.53,133692
18.03,133714
12.41,133736
14.53,133758
28.26,133780
15.95,133802
11.22,133824
13.20,133846
13.13,133868
10.80,133890
11.13,133912
10.76,133934
10.73,133956
10.66,133978
11.39,134000
10.42,134022
10.52,134044
10.03,134066
10.37,134088
10.86,134110
10.51,134132
10.52,134154
11.18,134176
10.91,134198
11.19,134220
11.22,134242
11.81,134264
12.93,134286
12.96,134308
15.04,134330
17.11,134352
18.90,134374
18.94,134396
19.89,134418
17.02,134440
13.25,134462
11.42,134484
9.38,134506
8.99,134528
5.50,134550
6.95,134572
5.46,134594
4.55,134616
5.55,134638
9.90,134660
11.42,134682
13.98,134704
19.02,134726
19.93,134748
18.62,134770
24.17,134792
24.62,134814
22.40,134836
20.53,134858
20.19,134880
23.84,134902
22.92,134924
9.53,134946
18.50,134968
14.57,134990
9.48,135012
11.22,135034
14.24,135056
10.65,135078
11.24,135100
12.79,135122
10.32,135144
11.59,135166
10.81,135188
11.22,135210
11.00,135232
11.17,135254
10.83,135276
10.84,135298
10.56,135320
10.58,135342
10.32,135364
