y,timestamps
10.69,173736
10.46,173758
10.56,173780
10.89,173802
11.48,173824
11.83,173846
14.04,173868
14.51,173890
16.54,173912
18.27,173934
19.64,173956
18.19,173978
19.88,174000
19.07,174022
14.60,174044
11.64,174066
11.53,174088
10.00,174110
5.06,174132
7.50,174154
7.62,174176
4.61,174198
7.20,174220
11.53,174242
13.37,174264
15.38,174286
21.39,174308
22.95,174330
28.55,174352
30.00,174374
21.61,174396
21.61,174418
21.79,174440
20.13,174462
21.98,174484
26.05,174506
12.47,174528
12.82,174550
18.28,174572
12.02,174594
8.95,174616
11.51,174638
10.77,174660
10.83,174682
10.82,174704
10.41,174726
10.84,174748
11.11,174770
10.33,174792
10.79,174814
11.11,174836
11.00,174858
10.66,174880
11.81,174902
11.68,174924
13.19,174946
13.36,174968
13.48,174990
14.94,175011
17.83,175033
16.52,175055
20.47,175076
20.51,175098
18.48,175120
14.79,175142
12.71,175164
8.75,175186
8.17,175208
5.48,175230
6.30,175252
5.08,175274
6.08,175296
10.57,175318
8.90,175340
10.60,175362
13.90,175384
16.60,175406
19.14,175428
20.95,175450
26.21,175472
23.87,175494
21.69,175516
21.06,175538
21.72,175560
12.55,175582
21.50,175604
19.68,175626
13.55,175648
11.73,175670
14.70,175691
13.66,175713
9.55,175735
11.21,175756
10.24,175778
10.88,175800
10.53,175822
10.45,175844
10.46,175866
10.61,175888
10.54,175910
10.29,175931
10.66,175953
10.44,175975
10.63,175997
10.85,176019
10.53,176041
10.39,176063
10.49,176085
11.19,176107
11.64,176129
13.23,176151
13.15,176173
15.13,176195
15.94,176217
17.24,176239
18.27,176261
18.94,176283
20.46,176305
17.32,176327
11.61,176349
8.80,176371
10.09,176393
7.68,176415
5.33,176437
8.51,176459
8.38,176481
6.62,176503
12.07,176525
11.39,176547
9.28,176569
13.05,176591
14.52,176613
18.13,176635
20.48,176657
27.18,176679
29.76,176701
22.52,176723
20.74,176745
22.03,176767
14.02,176789
20.84,176811
20.71,176833
16.39,176855
11.52,176877
14.11,176899
13.79,176921
9.62,176943
11.16,176965
10.65,176987
11.03,177009
10.74,177031
10.66,177053
10.38,177075
10.58,177097
9.94,177119
10.32,177141
10.56,177163
10.26,177185
