timestamps,ax,ay,az,y
2082931,-1.10,-0.24,-0.22,11.46
2082953,-1.12,-0.20,-0.20,11.57
2082975,-1.07,-0.36,-0.19,11.48
2082997,-1.13,-0.04,-0.25,11.52
2083019,-1.12,-0.09,-0.24,11.53
2083041,-1.04,-0.25,-0.19,10.88
2083063,-1.02,-0.27,-0.04,10.57
2083085,-1.03,-0.25,-0.07,10.61
2083107,-1.02,-0.24,-0.04,10.47
2083129,-0.92,-0.43,0.09,10.16
2083151,-0.95,-0.22,-0.13,9.85
2083173,-1.27,0.37,-0.28,13.54
2083195,-1.12,-0.15,-0.24,11.58
2083217,-1.13,-0.30,-0.20,11.84
2083239,-1.02,-0.32,-0.19,10.88
2083261,-1.01,-0.30,-0.12,10.63
2083283,-1.01,-0.22,-0.10,10.39
2083305,-0.95,-0.43,-0.04,10.44
2083327,-1.03,-0.11,-0.24,10.61
2083349,-1.23,0.02,-0.25,12.53
2083371,-1.07,-0.26,-0.29,11.41
2083393,-1.03,-0.33,-0.26,11.14
2083415,-0.99,-0.33,-0.27,10.80
2083437,-1.04,-0.27,-0.27,11.05
2083459,-1.05,-0.26,-0.25,11.14
2083481,-1.11,-0.14,-0.36,11.73
2083503,-1.12,-0.17,-0.36,11.94
2083525,-1.10,-0.20,-0.39,11.87
2083547,-1.13,-0.18,-0.42,12.17
2083569,-1.08,-0.24,-0.43,11.89
2083591,-1.08,-0.31,-0.38,11.83
2083613,-1.09,-0.19,-0.42,11.85
2083635,-1.22,-0.46,-0.44,13.78
2083657,-1.25,-0.17,-0.34,13.05
2083679,-1.14,-0.13,-0.41,12.18
2083701,-1.31,-0.10,-0.45,13.88
2083723,-1.28,-0.12,-0.47,13.74
2083745,-1.27,-0.11,-0.34,13.16
2083767,-1.07,-0.18,-0.02,10.85
2083789,-0.91,-0.29,0.13,9.69
2083811,-0.98,-0.27,-0.17,10.29
2083833,-1.14,-0.14,-0.43,12.26
2083855,-1.16,-0.10,-0.75,13.90
2083877,-1.30,-0.07,-0.41,13.63
2083899,-1.32,0.03,-0.40,13.83
2083921,-1.20,-0.17,-0.34,12.61
2083943,-0.97,-0.27,-0.49,11.21
2083965,-1.01,-0.38,-0.50,11.90
2083987,-1.01,-0.41,-0.53,12.10
2084009,-1.02,-0.32,-0.58,12.14
2084031,-0.99,-0.28,-0.70,12.49
2084053,-1.02,-0.30,-0.67,12.58
2084075,-0.98,-0.26,-0.72,12.50
2084097,-1.07,-0.27,-0.74,13.30
2084119,-1.09,-0.35,-0.75,13.68
2084141,-1.09,-0.33,-0.73,13.50
2084163,-1.11,-0.35,-0.71,13.59
2084185,-1.17,-0.33,-0.69,13.93
2084207,-1.13,-0.33,-0.63,13.31
2084229,-1.20,-0.29,-0.58,13.68
2084251,-1.24,-0.20,-0.53,13.67
2084273,-1.17,-0.22,-0.42,12.61
2084295,-1.16,-0.12,-0.44,12.48
2084317,-1.11,-0.09,-0.39,11.82
2084339,-1.21,-0.15,-0.35,12.67
