y,timestamps
12.04,167635
11.85,167657
11.56,167679
14.52,167701
19.78,167723
20.74,167745
16.01,167767
13.96,167789
8.22,167811
1.84,167833
5.85,167855
19.61,167877
25.51,167899
14.29,167921
13.19,167943
14.19,167965
19.15,167987
15.71,168009
12.25,168031
15.52,168053
13.63,168075
11.89,168097
11.42,168119
11.45,168141
11.12,168163
9.99,168185
10.05,168207
11.36,168229
11.85,168251
11.47,168273
11.66,168295
10.82,168317
11.26,168339
12.14,168361
11.28,168383
11.46,168405
12.05,168427
14.11,168449
17.46,168470
18.73,168492
15.51,168514
17.81,168535
18.28,168557
18.79,168579
21.12,168600
16.15,168622
11.22,168644
10.56,168666
10.21,168688
10.79,168710
10.67,168732
11.83,168754
11.76,168776
12.49,168798
14.78,168820
17.65,168842
19.53,168864
15.53,168886
13.29,168908
10.72,168930
4.19,168952
3.63,168974
8.15,168996
19.33,169018
20.93,169040
14.35,169062
13.81,169084
13.49,169106
15.91,169128
16.19,169150
12.60,169172
14.63,169194
13.39,169216
12.28,169238
12.75,169260
12.18,169282
11.67,169304
10.99,169326
9.21,169348
10.85,169370
10.94,169392
11.67,169414
11.08,169436
10.71,169458
11.12,169480
10.61,169502
11.47,169524
11.75,169546
11.26,169568
11.43,169590
13.28,169612
16.59,169634
18.52,169656
17.06,169678
17.63,169700
18.96,169722
17.14,169744
23.42,169766
15.02,169788
10.79,169810
10.15,169832
11.81,169854
10.02,169876
11.24,169898
13.18,169920
11.26,169942
11.90,169964
14.70,169986
17.12,170008
17.09,170030
17.15,170052
14.38,170074
12.40,170096
6.39,170118
4.18,170140
6.19,170162
10.31,170184
15.87,170206
22.45,170228
8.03,170250
13.82,170272
12.83,170294
12.62,170316
13.06,170338
15.44,170360
11.82,170382
13.21,170404
13.21,170426
11.94,170448
11.16,170470
11.06,170492
12.47,170514
11.82,170536
10.66,170558
10.93,170580
11.00,170602
11.37,170624
11.19,170646
11.07,170668
10.80,170690
10.76,170712
11.17,170734
11.86,170756
11.75,170778
11.61,170800
12.44,170822
14.10,170844
14.37,170866
14.19,170888
16.15,170910
15.72,170932
16.50,170954
16.18,170976
21.67,170998
16.55,171020
12.28,171042
10.43,171064
10.61,171086
9.32,171108
10.17,171130
11.90,171152
12.37,171174
11.29,171196
11.44,171218
13.86,171240
18.95,171262
16.90,171284
15.74,171306
12.31,171328
11.80,171350
8.88,171372
6.33,171394
7.01,171416
12.27,171438
22.08,171460
11.94,171482
12.31,171504
12.44,171526
13.25,171548
14.65,171570
13.36,171592
12.37,171614
13.12,171636
12.61,171658
11.49,171680
11.39,171702
10.87,171724
10.84,171746
10.89,171768
10.47,171790
11.02,171812
11.42,171834
10.74,171856
10.58,171878
10.81,171900
10.62,171922
10.83,171944
9.65,171966
9.95,171988
11.47,172010
14.92,172032
