y,timestamps
11.65,272479
11.16,272501
11.19,272523
11.41,272545
11.63,272567
12.37,272589
12.63,272611
12.82,272633
12.26,272655
12.01,272677
12.00,272699
14.43,272721
13.67,272743
14.95,272765
15.27,272787
17.07,272809
17.16,272831
17.65,272853
15.93,272875
14.09,272897
12.65,272919
12.85,272941
13.06,272963
12.94,272985
12.29,273007
11.78,273029
11.64,273051
11.66,273073
11.87,273095
11.49,273117
12.29,273139
15.31,273161
18.30,273183
16.29,273205
11.54,273227
12.32,273249
7.99,273271
6.27,273293
19.28,273315
20.73,273337
13.71,273359
24.65,273381
16.30,273403
11.91,273425
12.74,273447
9.38,273469
14.52,273491
11.35,273513
12.56,273535
10.80,273557
11.80,273579
11.03,273601
11.55,273623
11.77,273645
11.54,273667
11.01,273689
10.84,273711
10.86,273733
11.42,273755
11.96,273777
12.20,273799
12.14,273821
12.08,273843
12.30,273865
12.00,273887
13.11,273909
14.38,273931
15.31,273953
15.31,273975
16.36,273997
18.09,274019
19.04,274041
18.66,274063
16.51,274085
13.44,274107
12.90,274129
12.53,274151
11.80,274173
11.53,274195
11.56,274217
11.37,274239
10.52,274261
11.41,274283
12.30,274305
13.32,274327
14.91,274349
16.05,274371
14.52,274393
13.67,274415
8.08,274437
4.54,274459
10.35,274481
23.41,274503
11.03,274525
14.51,274547
26.42,274569
11.61,274591
12.46,274613
8.44,274635
13.13,274657
13.24,274679
11.03,274701
10.41,274723
10.15,274745
10.33,274767
10.74,274789
11.11,274811
11.03,274833
11.00,274855
10.78,274877
11.08,274899
11.11,274921
11.30,274943
11.04,274965
11.98,274987
12.47,275009
12.27,275031
12.16,275053
12.39,275075
15.98,275097
15.11,275119
17.89,275141
16.15,275163
17.47,275185
18.33,275207
18.68,275229
17.45,275251
14.66,275273
13.91,275295
13.03,275317
13.03,275339
12.17,275361
12.04,275383
11.58,275405
11.23,275427
11.73,275449
11.42,275471
11.64,275493
15.49,275515
17.97,275537
14.84,275559
12.17,275581
10.81,275603
8.42,275625
9.42,275647
21.79,275669
20.61,275691
9.64,275713
19.64,275735
22.66,275757
12.86,275779
13.82,275801
9.55,275823
14.55,275845
11.97,275867
11.41,275889
10.72,275911
11.39,275933
10.61,275955
10.89,275977
11.24,275999
11.15,276021
11.14,276043
10.90,276065
10.68,276087
10.55,276109
10.95,276131
11.39,276153
11.58,276175
11.69,276197
11.90,276219
11.89,276241
11.76,276263
11.87,276285
14.14,276307
14.06,276329
14.34,276351
16.14,276373
15.93,276395
15.48,276417
16.16,276439
17.35,276461
17.17,276483
15.53,276505
14.25,276527
13.38,276549
12.54,276571
12.29,276593
11.90,276615
11.79,276637
11.38,276659
11.31,276681
11.66,276703
12.74,276725
15.70,276747
18.28,276769
15.86,276791
11.97,276813
11.41,276835
6.34,276857
7.37,276879
17.74,276901
24.47,276923
14.88,276945
23.66,276967
22.27,276989
12.76,277011
13.12,277033
9.49,277055
14.47,277077
12.33,277099
11.15,277121
10.33,277143
11.34,277165
10.69,277187
11.51,277209
11.41,277231
11.29,277253
11.15,277275
11.01,277297
10.68,277319
10.86,277341
11.24,277363
11.53,277385
11.47,277407
11.71,277429
11.72,277451
11.49,277473
11.60,277495
13.15,277516
13.27,277538
13.82,277560
17.26,277582
14.75,277604
16.22,277626
17.55,277648
19.43,277670
16.36,277692
14.02,277714
14.04,277736
13.94,277758
13.42,277780
12.39,277802
11.83,277824
11.51,277846
11.80,277868
11.11,277890
10.56,277912
11.28,277934
12.33,277956
15.23,277978
16.78,278000
15.71,278022
12.74,278044
12.56,278066
12.29,278088
5.62,278110
11.95,278132
26.21,278154
11.76,278176
10.74,278198
18.67,278220
16.25,278242
13.60,278264
12.57,278286
10.34,278308
17.76,278330
11.79,278352
10.73,278374
10.21,278396
10.99,278418
11.39,278440
11.35,278462
11.26,278484
10.98,278506
11.01,278528
11.17,278550
11.25,278572
11.24,278594
11.37,278616
11.80,278638
12.24,278660
12.34,278682
11.86,278704
11.66,278726
12.30,278748
