timestamps,ax,ay,az,mag
8178,0.92,-0.13,-0.19,9.45
158200,0.90,0.07,-0.05,9.09
158222,0.89,-0.16,-0.10,9.14
158244,0.93,0.04,-0.06,9.30
158266,0.90,-0.00,-0.05,9.05
158288,0.91,-0.05,-0.10,9.19
158310,0.89,-0.13,-0.12,9.03
158332,0.91,-0.13,-0.14,9.29
158354,0.88,-0.09,-0.13,8.94
158376,0.89,-0.08,-0.15,9.02
158398,0.88,-0.03,-0.16,8.97
158420,0.90,-0.01,-0.16,9.11
158442,0.89,0.00,-0.16,9.00
158464,0.88,-0.03,-0.05,8.78
158486,0.88,-0.06,0.02,8.84
158508,0.89,-0.04,-0.02,8.90
158530,0.89,-0.07,0.01,8.96
158552,0.90,-0.14,0.05,9.16
158574,0.89,-0.05,-0.05,8.92
158596,0.85,-0.04,-0.10,8.60
158618,0.87,-0.07,-0.08,8.79
158640,0.90,-0.13,-0.00,9.06
158662,0.86,-0.10,-0.02,8.69
158684,0.85,-0.09,0.00,8.51
158706,0.88,-0.07,0.04,8.80
158728,0.89,-0.11,0.06,9.02
158750,0.83,-0.09,0.08,8.39
158772,0.86,-0.09,0.07,8.68
158794,0.89,-0.14,0.05,8.99
158816,0.85,-0.12,-0.02,8.59
158838,0.87,-0.07,-0.01,8.71
158860,0.92,0.03,0.05,9.24
158882,0.96,0.15,-0.02,9.71
158904,0.91,0.14,-0.18,9.37
158926,0.95,0.14,-0.27,9.93
158948,1.02,0.23,-0.16,10.58
158970,1.02,0.12,0.06,10.29
158992,0.95,0.02,0.18,9.71
159014,0.87,-0.02,0.25,9.04
159036,0.92,-0.12,0.20,9.45
159058,1.02,-0.21,0.18,10.61
159080,0.92,-0.04,0.17,9.33
159102,0.85,0.12,0.19,8.76
159124,0.85,0.04,0.21,8.78
159146,0.88,-0.11,0.18,9.06
159168,0.90,-0.19,0.20,9.46
159190,0.93,-0.15,0.17,9.60
159212,0.84,-0.03,0.13,8.49
159234,0.79,0.05,0.16,8.06
159256,0.82,0.17,0.18,8.59
159278,0.83,0.10,0.19,8.55
159300,0.78,0.01,0.14,7.92
159322,0.70,-0.08,0.14,7.24
159344,0.73,-0.14,0.13,7.55
159366,0.77,-0.08,0.13,7.85
159388,0.72,-0.03,0.06,7.26
159410,0.70,-0.02,0.03,7.06
159432,0.76,0.01,0.03,7.58
159454,0.74,-0.01,0.02,7.38
159476,0.72,-0.02,0.08,7.22
159498,0.88,0.05,-0.06,8.85
159520,1.27,0.21,-0.38,13.37
159542,1.00,0.28,-0.21,10.58
159564,0.79,0.29,-0.18,8.61
159586,0.94,0.32,-0.22,10.19
159608,0.91,0.28,-0.14,9.65
159630,0.84,0.13,-0.22,8.81
159652,0.95,-0.10,-0.29,9.95
159674,0.94,-0.24,-0.21,9.90
159696,0.87,-0.13,-0.14,8.95
159718,0.90,0.04,-0.12,9.04
159740,0.88,0.10,-0.05,8.92
159762,0.87,0.15,0.02,8.86
159784,0.88,0.05,0.04,8.84
159806,0.92,-0.09,0.02,9.29
159828,0.87,-0.24,-0.08,9.07
159850,0.91,-0.24,-0.06,9.39
159872,0.86,-0.09,-0.03,8.70
159894,0.89,-0.04,0.01,8.91
159916,0.91,-0.10,0.05,9.20
159938,0.89,-0.03,0.01,8.94
159960,0.90,-0.09,0.01,9.06
159982,0.87,-0.15,0.05,8.86
160004,0.88,-0.15,0.05,8.94
160026,0.89,-0.18,0.08,9.07
160048,0.88,-0.13,0.08,8.89
160070,0.86,-0.03,-0.02,8.64
160092,0.90,-0.15,-0.08,9.13
160114,0.88,-0.15,-0.03,8.95
160136,0.85,-0.05,-0.07,8.51
160158,0.87,-0.09,-0.15,8.91
160180,0.89,-0.12,-0.08,8.97
160202,0.88,-0.07,-0.05,8.86
160224,0.87,-0.07,-0.08,8.72
160246,0.88,-0.05,-0.03,8.82
160268,0.88,-0.04,0.03,8.78
160290,0.85,-0.05,-0.06,8.55
160312,0.82,-0.05,-0.15,8.40
160334,0.85,-0.08,-0.18,8.74
160356,0.88,-0.03,-0.26,9.23
160378,1.04,0.01,-0.56,11.81
160400,1.19,0.27,-0.59,13.57
160422,1.29,0.42,-0.43,14.27
160444,1.44,0.36,-0.05,14.87
160466,1.29,0.13,0.24,13.19
160488,1.00,-0.18,0.50,11.35
160510,0.66,-0.38,0.56,9.47
160532,0.75,-0.57,0.34,9.98
160554,0.87,-0.28,0.31,9.61
160576,0.60,-0.17,0.42,7.49
160598,0.61,-0.07,0.42,7.46
160620,0.60,-0.23,0.39,7.53
160642,0.60,-0.23,0.41,7.61
160664,0.70,-0.04,0.36,7.92
160686,0.81,-0.01,0.32,8.67
160708,0.90,0.05,0.33,9.60
160730,0.86,0.06,0.22,8.91
160752,0.74,0.06,0.23,7.79
160774,0.57,0.02,0.16,5.93
