timestamps,ax,ay,az,mag
395096,0.99,-0.63,0.00,11.70
395118,0.94,-0.38,-0.11,10.21
395140,0.80,-0.02,-0.09,8.00
395162,0.91,0.16,0.08,9.25
395184,1.01,0.05,0.18,10.27
395206,0.83,-0.17,0.12,8.59
395228,0.81,-0.22,0.14,8.52
395250,0.85,-0.27,0.14,9.07
395272,0.86,-0.19,0.15,8.96
395294,0.84,-0.13,0.07,8.53
395316,0.86,-0.14,0.02,8.76
395338,0.87,-0.16,0.02,8.82
395360,0.83,-0.20,-0.03,8.51
395382,0.83,-0.18,-0.01,8.50
395404,0.82,-0.17,-0.01,8.37
395426,0.82,-0.15,-0.02,8.30
395448,0.85,-0.10,-0.04,8.59
395470,0.85,-0.09,0.11,8.59
395492,0.81,-0.18,0.15,8.41
395514,0.94,-0.19,0.14,9.67
395536,0.99,-0.21,0.16,10.22
395558,0.86,-0.20,0.11,8.87
395580,0.84,-0.25,0.17,8.91
395602,0.82,-0.28,0.10,8.77
395624,1.00,-0.29,-0.02,10.38
395646,1.07,-0.40,-0.02,11.40
395668,0.96,-0.39,-0.00,10.34
395690,0.79,-0.16,0.12,8.17
395712,0.66,0.03,0.36,7.48
395734,0.61,0.01,0.43,7.42
395756,0.81,-0.20,0.27,8.78
395778,0.86,-0.21,0.33,9.46
395800,0.76,0.04,0.31,8.21
395822,0.76,0.17,0.28,8.23
395844,0.77,-0.18,0.34,8.58
395866,0.75,-0.48,0.33,9.50
395888,0.64,-0.31,0.35,7.96
395910,0.70,-0.10,0.40,8.12
395932,0.75,0.08,0.30,8.13
395954,0.69,0.15,0.15,7.28
395976,0.61,-0.17,0.26,6.84
395998,0.50,-0.45,0.27,7.30
396020,0.52,-0.11,0.29,6.06
396042,0.82,0.18,0.14,8.53
396064,1.60,-0.19,-0.33,16.46
396086,0.83,-0.48,0.38,10.34
396108,0.41,-0.51,0.03,6.56
396130,0.77,-0.57,-0.02,9.58
396152,1.05,-0.33,0.10,11.01
396174,0.81,-0.04,-0.05,8.15
396196,0.86,0.12,0.03,8.73
396218,1.00,0.05,0.12,10.05
396240,0.82,-0.24,0.08,8.62
396262,0.79,-0.35,0.09,8.68
396284,0.87,-0.16,0.15,8.94
396306,0.89,-0.06,0.12,9.01
396328,0.86,-0.14,0.07,8.73
396350,0.84,-0.19,-0.03,8.62
396372,0.83,-0.18,-0.07,8.55
396394,0.85,-0.22,-0.09,8.78
396416,0.80,-0.31,-0.23,8.90
396438,0.78,-0.36,-0.28,8.99
396460,0.83,-0.33,-0.28,9.37
396482,1.23,-0.26,-0.09,12.59
396504,1.44,-0.67,-0.35,16.28
396526,0.91,-0.82,-0.44,12.99
396548,0.95,-0.54,0.13,11.05
396570,0.83,-0.09,0.59,10.23
396592,0.73,0.09,0.68,10.03
396614,0.71,-0.06,0.47,8.53
396636,0.58,-0.05,0.39,7.02
396658,0.54,0.14,0.38,6.74
396680,0.74,0.15,0.52,9.11
396702,0.71,-0.14,0.57,9.17
396724,0.50,-0.14,0.46,6.88
396746,0.46,0.27,0.37,6.49
396768,0.52,0.10,0.40,6.57
396790,0.49,-0.44,0.34,7.40
396812,0.57,-0.32,-0.07,6.58
396834,1.67,-0.29,-0.56,17.81
396856,1.05,-0.32,0.21,11.21
396878,0.48,-0.06,0.01,4.87
396900,0.60,-0.09,0.05,6.10
396922,1.08,-0.40,0.27,11.84
396944,0.77,-0.51,0.04,9.22
396966,0.68,-0.18,0.01,7.00
396988,0.96,-0.06,0.09,9.67
397010,0.88,-0.11,0.08,8.91
397032,0.80,-0.11,0.06,8.09
397054,0.88,-0.09,0.16,9.01
397076,0.86,-0.04,0.26,9.03
397098,0.84,-0.20,0.23,8.91
397120,0.85,-0.25,0.18,9.02
397142,0.87,-0.12,0.09,8.86
397164,0.84,-0.10,0.02,8.50
397186,0.86,-0.22,0.02,8.93
397208,0.84,-0.27,-0.04,8.85
397230,0.84,-0.22,-0.04,8.68
397252,0.87,-0.12,-0.02,8.78
397274,0.84,-0.13,0.05,8.54
397296,0.81,-0.16,0.03,8.23
397318,0.81,-0.08,0.10,8.19
397340,0.83,-0.03,0.20,8.58
397362,0.90,-0.05,0.17,9.14
397384,0.88,-0.21,0.17,9.19
397406,0.75,-0.22,0.03,7.85
397428,0.89,-0.27,-0.08,9.30
397450,0.99,-0.21,-0.15,10.23
397472,0.98,-0.19,-0.20,10.19
397494,0.76,-0.14,0.02,7.71
397516,0.65,-0.11,0.31,7.34
397538,0.75,-0.19,0.35,8.52
397560,0.83,-0.41,0.20,9.52
397582,0.91,-0.47,0.32,10.71
397604,0.89,-0.13,0.42,9.95
397626,0.82,-0.01,0.39,9.11
397648,0.80,-0.21,0.38,9.07
397670,0.75,-0.28,0.34,8.66
397692,0.64,-0.15,0.28,7.16
397714,0.72,-0.10,0.29,7.79
397736,0.78,-0.10,0.26,8.28
397758,0.76,-0.12,0.17,7.84
397780,0.73,-0.17,0.13,7.60
397802,0.74,-0.23,0.17,7.96
397824,0.74,-0.28,0.20,8.14
397846,0.76,-0.26,0.20,8.24
397868,0.76,-0.23,0.22,8.19
397890,0.74,-0.17,0.19,7.85
397912,0.77,-0.13,0.16,7.95
397934,0.78,-0.19,0.15,8.14
397956,0.70,-0.21,0.16,7.43
397978,0.72,-0.20,0.18,7.63
398000,0.59,-0.08,0.21,6.33
398022,0.53,-0.09,0.34,6.35
398044,1.19,-0.26,-0.14,12.23
398066,1.33,-0.67,-0.03,14.85
398088,0.58,-0.16,0.08,6.06
398110,0.63,0.15,0.15,6.69
398132,1.05,-0.19,0.13,10.75
398154,0.80,-0.40,0.05,8.98
398176,0.75,-0.20,0.05,7.78
398198,0.89,-0.09,0.01,8.99
398220,0.92,-0.05,0.02,9.24
398242,0.81,-0.10,0.09,8.25
398264,0.83,-0.16,0.19,8.69
398286,0.85,-0.27,0.15,9.01
398308,0.83,-0.23,0.07,8.65
398330,0.84,-0.07,0.10,8.50
398352,0.85,-0.04,0.09,8.55
398374,0.85,-0.14,0.04,8.64
398396,0.84,-0.14,0.12,8.62
398418,0.81,-0.19,0.10,8.41
398440,0.81,-0.21,0.07,8.37
398462,0.85,-0.18,0.10,8.79
398484,0.86,-0.12,0.13,8.74
398506,0.82,-0.11,0.16,8.45
398528,0.85,-0.09,0.18,8.76
398550,0.85,-0.06,0.20,8.71
398572,0.84,-0.14,0.21,8.71
398594,0.82,-0.16,0.17,8.57
398616,0.83,-0.12,0.14,8.47
398638,0.84,-0.15,0.08,8.56
398660,0.88,-0.15,-0.13,9.04
398682,0.83,-0.13,-0.23,8.74
398704,0.81,-0.23,-0.18,8.64
398726,0.78,-0.30,-0.22,8.66
398748,0.80,-0.35,-0.28,9.13
398770,0.99,-0.30,-0.19,10.50
398792,1.19,-0.30,-0.04,12.24
398814,1.08,-0.41,-0.10,11.55
398836,1.20,-0.50,-0.25,13.21
398858,1.10,-0.31,0.11,11.53
398880,0.65,-0.02,0.77,10.07
398902,0.47,0.06,0.83,9.57
398924,0.60,0.07,0.46,7.56
398946,0.83,0.06,0.45,9.42
398968,0.67,-0.08,0.36,7.66
398990,0.71,-0.21,0.29,7.99
399012,0.94,-0.41,0.36,10.83
399034,0.83,-0.44,0.31,9.89
399056,0.88,-0.31,0.17,9.48
399078,0.78,-0.16,0.19,8.23
399100,0.60,-0.05,0.45,7.52
399122,0.44,-0.08,0.37,5.75
399144,0.40,-0.16,0.29,5.22
399166,0.41,-0.31,0.12,5.26
399188,0.61,-0.10,-0.07,6.18
399210,0.77,0.26,-0.17,8.32
399232,1.23,-0.33,-0.15,12.83
399254,0.72,-0.78,-0.01,10.61
399276,0.30,-0.41,-0.29,5.91
399298,1.02,-0.08,0.12,10.30
399320,1.25,0.31,0.45,13.66
399342,0.83,0.20,0.10,8.55
399364,0.81,-0.30,0.07,8.72
399386,0.95,-0.33,0.16,10.22
399408,0.86,0.01,0.00,8.57
399430,0.84,-0.17,0.07,8.63
399452,0.84,-0.36,-0.02,9.13
399474,0.84,-0.25,-0.09,8.85
399496,0.88,-0.10,-0.16,9.03
399518,0.87,-0.05,-0.15,8.80
399540,0.85,-0.16,-0.01,8.63
399562,0.83,-0.23,-0.06,8.60
399584,0.82,-0.19,-0.02,8.46
399606,0.85,-0.19,0.13,8.82
399628,0.84,-0.22,0.20,8.95
399650,0.86,-0.21,0.17,8.98
399672,0.87,-0.12,0.15,8.91
399694,0.88,-0.10,0.14,8.95
399716,0.84,-0.09,0.14,8.54
399738,0.87,-0.12,0.15,8.90
399760,0.87,-0.14,0.14,8.91
399782,0.82,-0.15,0.09,8.42
399804,0.82,-0.19,0.10,8.47
399826,0.84,-0.21,0.06,8.64
399848,0.82,-0.18,0.03,8.42
399870,0.81,-0.19,0.01,8.36
399892,0.79,-0.21,-0.01,8.21
399914,0.79,-0.23,-0.02,8.21
399936,0.84,-0.17,0.01,8.55
399958,0.91,-0.18,0.05,9.29
399980,0.93,-0.24,0.10,9.62
400002,0.88,-0.26,0.11,9.23
400024,0.85,-0.26,0.12,9.02
400046,0.84,-0.26,0.24,9.11
400068,0.85,-0.32,0.28,9.55
400090,0.93,-0.15,0.27,9.80
400112,0.87,0.01,0.27,9.12
400134,0.75,-0.23,0.20,8.08
400156,0.75,-0.43,0.19,8.88
400178,0.75,-0.21,0.23,8.14
400200,0.72,-0.14,0.20,7.63
400222,0.69,-0.14,0.13,7.17
400244,0.67,-0.23,0.13,7.16
400266,0.66,-0.32,0.15,7.47
400288,0.67,-0.32,0.16,7.61
400310,0.76,-0.09,0.20,7.85
400332,0.92,-0.02,0.13,9.25
400354,0.92,-0.17,0.08,9.39
400376,0.83,-0.27,0.03,8.77
400398,0.84,-0.36,0.12,9.26
400420,0.81,-0.27,0.11,8.64
400442,0.84,-0.21,0.08,8.72
400464,0.86,-0.24,0.07,8.98
400486,0.82,-0.23,0.07,8.58
400508,0.82,-0.22,0.03,8.55
400530,0.85,-0.22,0.03,8.83
400552,0.85,-0.20,0.02,8.77
400574,0.84,-0.20,0.04,8.61
400596,0.86,-0.18,0.06,8.86
400618,0.85,-0.19,0.04,8.74
400640,0.84,-0.20,0.03,8.62
400662,0.83,-0.24,0.03,8.70
400684,0.83,-0.27,0.00,8.69
