timestamps,ax,ay,az,mag
456410,0.84,-0.27,-0.07,8.86
456432,0.81,-0.33,-0.16,8.85
456454,0.76,-0.34,-0.22,8.58
456476,0.85,-0.29,-0.16,9.10
456498,0.99,-0.23,-0.10,10.25
456520,1.15,-0.29,-0.07,11.89
456542,1.06,-0.33,-0.02,11.14
456564,0.87,-0.38,0.14,9.58
456586,0.91,-0.45,0.30,10.63
456608,0.95,-0.45,0.27,10.88
456630,0.85,-0.29,0.22,9.26
456652,0.82,-0.25,0.15,8.67
456674,0.87,-0.34,0.13,9.42
456696,0.81,-0.37,0.11,9.00
456718,0.82,-0.39,0.09,9.09
456740,0.84,-0.37,0.08,9.18
456762,0.81,-0.39,0.05,9.01
456784,0.77,-0.39,0.03,8.59
456806,0.78,-0.36,0.02,8.59
456828,0.81,-0.33,-0.01,8.74
456850,0.75,-0.28,-0.06,8.06
456872,0.75,-0.29,-0.11,8.08
456894,0.73,-0.31,-0.12,7.97
456916,0.64,-0.28,-0.13,7.07
456938,0.58,-0.25,-0.09,6.35
456960,0.57,-0.25,-0.02,6.19
456982,0.62,-0.15,0.14,6.58
457004,0.61,-0.06,0.24,6.61
457026,0.61,-0.03,0.25,6.57
457048,1.87,-0.76,-0.90,22.12
457070,1.23,-0.32,0.09,12.78
457092,0.50,-0.02,0.21,5.45
457114,0.61,0.17,0.13,6.44
457136,1.29,-0.09,0.49,13.86
457158,0.88,-0.43,0.23,10.06
457180,0.48,-0.74,-0.11,8.87
457202,0.86,-0.51,0.06,10.04
457224,1.02,0.09,0.07,10.25
457246,0.90,0.23,-0.08,9.36
457268,0.82,-0.18,-0.09,8.41
457290,0.85,-0.42,-0.05,9.52
457312,0.83,-0.23,-0.04,8.64
457334,0.83,-0.13,-0.08,8.45
457356,0.85,-0.22,-0.03,8.82
457378,0.81,-0.27,-0.06,8.60
457400,0.85,-0.16,-0.00,8.67
457422,0.86,-0.16,0.01,8.72
457444,0.81,-0.22,-0.01,8.39
457466,0.83,-0.27,0.07,8.74
457488,0.90,-0.19,0.10,9.31
457510,0.93,-0.18,0.03,9.43
457532,0.93,-0.32,-0.10,9.88
457554,0.86,-0.27,-0.10,9.05
457576,0.87,-0.25,-0.17,9.23
457598,0.90,-0.19,-0.07,9.20
457620,1.00,-0.27,0.18,10.54
457642,0.95,-0.50,0.20,10.90
457664,1.27,-0.65,0.02,14.28
457686,1.54,-0.71,-0.77,18.59
457708,1.29,-0.26,-0.59,14.46
457730,1.24,0.06,0.18,12.54
457752,1.50,0.18,0.78,16.96
457774,1.55,0.28,0.72,17.29
457796,0.68,0.18,0.95,11.86
457818,0.34,-0.12,0.84,9.13
457840,0.26,-0.50,0.69,8.89
457862,-0.02,-0.51,0.68,8.51
457884,0.09,-0.33,0.41,5.35
457906,0.20,-0.24,0.68,7.48
457928,0.17,-0.14,0.71,7.43
457950,0.23,-0.22,0.71,7.82
457972,0.42,-0.28,0.80,9.44
457994,0.35,-0.05,0.75,8.33
458016,0.48,-0.03,0.76,9.01
458038,0.77,-0.08,0.77,10.93
458060,0.82,0.07,0.63,10.36
458082,0.86,-0.16,0.32,9.29
458104,0.79,-0.45,-0.08,9.07
458126,0.41,-0.42,0.31,6.59
458148,0.31,-0.68,-0.60,9.57
458170,0.05,-0.20,-0.59,6.23
458192,0.34,0.03,0.15,3.79
458214,0.86,-0.19,0.10,8.88
458236,1.87,-0.76,-0.05,20.23
458258,0.41,0.15,-0.13,4.55
458280,0.22,0.16,0.16,3.19
458302,1.13,-0.04,0.96,14.81
458324,1.18,-0.33,0.48,13.14
