timestamps,ax,ay,az,mag
217556,0.85,-0.05,-0.11,8.58
217578,0.86,-0.04,-0.10,8.65
217600,0.88,-0.13,-0.03,8.94
217622,0.85,-0.08,0.02,8.53
217644,0.83,-0.12,-0.01,8.42
217666,0.87,-0.12,0.02,8.81
217688,0.87,-0.08,0.02,8.69
217710,0.84,-0.09,-0.02,8.40
217732,0.86,-0.09,0.03,8.61
217754,0.85,-0.08,0.05,8.57
217776,0.93,-0.20,-0.00,9.57
217798,0.86,-0.09,-0.09,8.71
217820,0.98,-0.03,-0.11,9.86
217842,1.04,0.03,-0.17,10.54
217864,1.05,0.10,-0.21,10.71
217886,1.07,0.18,-0.24,11.12
217908,1.12,0.29,-0.25,11.81
217930,1.16,0.34,-0.19,12.20
217952,1.21,0.16,-0.18,12.33
217974,1.15,-0.10,-0.21,11.77
217996,1.09,0.01,0.31,11.36
218018,0.94,-0.09,0.68,11.62
218040,1.13,-0.22,0.43,12.33
218062,1.00,-0.12,0.50,11.26
218084,0.75,-0.14,0.55,9.41
218106,0.79,-0.11,0.52,9.48
218128,0.76,-0.12,0.57,9.55
218150,0.60,-0.11,0.58,8.46
218172,0.49,0.01,0.58,7.61
218194,0.51,0.03,0.53,7.38
218216,0.70,0.04,0.54,8.86
218238,0.78,0.09,0.37,8.70
218260,0.64,0.07,0.27,6.99
218282,0.76,0.10,0.41,8.68
218304,0.77,0.06,0.11,7.85
218326,0.61,0.06,0.14,6.29
218348,0.79,0.01,0.13,8.02
218370,0.84,-0.00,-0.06,8.44
218392,0.57,0.42,-0.29,7.67
218414,0.44,0.53,-0.35,7.76
218436,0.58,0.16,-0.28,6.67
218458,0.68,-0.02,-0.05,6.82
218480,0.74,0.23,0.23,8.10
218502,1.53,0.63,-0.39,16.97
218524,1.47,0.86,-0.32,17.33
218546,1.04,0.01,-0.24,10.72
218568,1.15,-0.71,-0.06,13.54
218590,0.74,-0.55,-0.01,9.24
218612,0.77,-0.02,-0.05,7.75
218634,0.96,0.11,-0.09,9.70
218656,0.91,0.10,-0.13,9.21
218678,0.89,-0.22,-0.28,9.62
218700,0.89,-0.26,-0.26,9.62
218722,0.85,-0.07,-0.36,9.25
218744,0.86,-0.04,-0.33,9.19
218766,0.89,-0.06,-0.22,9.20
218788,0.89,-0.08,-0.08,8.99
218810,0.88,-0.06,-0.03,8.86
218832,0.87,-0.07,-0.04,8.72
218854,0.89,-0.07,-0.05,8.91
218876,0.89,-0.02,-0.06,8.92
218898,0.85,-0.09,-0.11,8.61
218920,0.89,-0.13,-0.11,9.08
218942,0.86,-0.07,-0.12,8.73
218964,0.85,-0.01,-0.15,8.62
218986,0.88,-0.07,-0.16,8.95
219008,0.87,-0.10,-0.08,8.76
219030,0.85,-0.03,-0.05,8.52
219052,0.84,-0.06,-0.05,8.45
219074,0.93,-0.06,0.04,9.32
