timestamps,ax,ay,az,mag
248048,0.90,0.01,0.10,9.02
248070,0.90,0.03,0.14,9.15
248092,0.85,-0.07,0.09,8.60
248114,0.87,-0.14,0.03,8.85
248136,0.87,-0.10,-0.05,8.73
248158,0.86,-0.00,-0.13,8.74
248180,0.85,0.04,-0.17,8.64
248202,0.81,-0.00,-0.20,8.37
248224,0.87,-0.08,-0.22,9.01
248246,0.84,-0.12,-0.15,8.65
248268,0.83,-0.10,-0.07,8.40
248290,0.85,-0.14,0.02,8.60
248312,0.80,-0.17,0.03,8.23
248334,0.84,-0.14,0.11,8.64
248356,0.87,-0.16,0.20,9.06
248378,0.88,-0.16,0.21,9.22
248400,0.88,-0.15,0.07,8.92
248422,0.96,-0.08,-0.08,9.69
248444,0.92,0.04,-0.25,9.53
248466,1.00,0.05,-0.26,10.38
248488,1.10,0.07,-0.37,11.65
248510,1.09,0.18,-0.45,11.94
248532,1.16,0.38,-0.38,12.77
248554,1.21,0.47,-0.16,13.10
248576,1.27,0.28,-0.03,13.01
248598,1.20,-0.07,-0.06,12.00
248620,1.07,-0.15,0.47,11.82
248642,1.07,-0.30,0.65,12.86
248664,1.20,-0.27,0.37,12.80
248686,0.96,-0.01,0.48,10.76
248708,0.74,-0.02,0.52,9.02
248730,0.66,-0.13,0.54,8.66
248752,0.64,-0.09,0.60,8.81
248774,0.66,-0.15,0.64,9.28
248796,0.55,-0.20,0.60,8.39
248818,0.50,-0.11,0.45,6.79
248840,0.56,-0.03,0.49,7.42
248862,0.72,0.13,0.49,8.83
248884,0.84,0.18,0.42,9.58
248906,0.80,0.08,0.31,8.67
248928,0.79,-0.05,0.21,8.20
248950,0.79,-0.18,0.14,8.20
248972,0.60,0.08,-0.04,6.01
248994,0.43,0.43,-0.32,6.90
249016,0.43,0.14,-0.39,6.01
249038,0.46,-0.10,-0.16,4.94
249060,0.53,0.09,0.07,5.40
249082,1.69,0.37,-0.62,18.35
249104,1.82,0.35,-0.04,18.57
249126,0.72,-0.19,-0.17,7.65
249148,1.01,-0.14,-0.04,10.16
249170,1.04,0.19,0.19,10.78
249192,0.69,0.01,0.08,6.91
249214,0.90,0.03,-0.05,9.07
249236,1.08,0.13,-0.04,10.89
249258,0.90,0.25,-0.11,9.37
249280,0.89,0.07,-0.13,9.01
249302,0.86,-0.35,-0.18,9.45
249324,0.89,-0.33,-0.17,9.67
249346,0.91,-0.07,-0.13,9.21
249368,0.90,0.02,-0.17,9.14
249390,0.87,-0.08,-0.16,8.86
249412,0.87,-0.11,-0.12,8.84
249434,0.87,-0.02,-0.14,8.85
249456,0.86,-0.08,-0.17,8.79
249478,0.85,-0.09,-0.19,8.73
