timestamps,ax,ay,az,mag
276054,0.88,0.02,-0.09,8.85
276076,0.90,-0.06,-0.06,9.01
276098,0.87,-0.06,-0.10,8.79
276120,0.86,-0.06,-0.12,8.75
276142,0.87,-0.10,-0.17,8.89
276164,0.90,-0.12,-0.20,9.27
276186,0.87,-0.26,-0.17,9.26
276208,0.88,-0.22,-0.10,9.11
276230,0.91,-0.08,-0.00,9.14
276252,0.92,-0.00,0.07,9.18
276274,0.91,-0.09,0.14,9.22
276296,0.85,-0.17,0.10,8.69
276318,0.88,-0.15,0.05,8.94
276340,0.89,-0.07,-0.02,8.88
276362,0.88,-0.05,-0.09,8.86
276384,0.89,-0.03,-0.12,8.96
276406,0.85,0.04,-0.10,8.57
276428,0.87,0.02,-0.13,8.77
276450,0.90,-0.07,-0.14,9.11
276472,0.84,-0.14,-0.14,8.59
276494,0.90,-0.14,-0.09,9.20
276516,0.84,-0.21,-0.14,8.77
276538,0.84,-0.14,-0.15,8.61
276560,0.86,-0.15,-0.15,8.88
276582,0.86,-0.08,-0.10,8.68
276604,0.85,-0.07,-0.03,8.49
276626,0.87,-0.10,-0.03,8.74
276648,0.94,-0.06,-0.07,9.43
276670,0.95,0.01,-0.16,9.66
276692,1.06,0.09,-0.21,10.82
276714,1.15,0.15,-0.29,11.93
276736,1.10,0.16,-0.30,11.56
276758,1.10,0.19,-0.26,11.45
276780,1.19,0.09,-0.09,11.99
276802,1.23,-0.09,-0.18,12.44
276824,1.07,-0.21,0.02,10.95
276846,0.98,-0.13,0.46,10.88
276868,0.89,-0.17,0.68,11.37
276890,1.09,0.00,0.41,11.65
276912,0.92,0.14,0.45,10.38
276934,0.70,-0.00,0.45,8.32
276956,0.72,-0.17,0.45,8.60
276978,0.72,-0.23,0.49,8.99
277000,0.69,-0.23,0.39,8.28
277022,0.65,-0.08,0.41,7.71
277044,0.63,0.11,0.43,7.71
277066,0.72,0.17,0.40,8.40
277088,0.82,0.12,0.36,9.09
277110,0.80,-0.03,0.27,8.48
277132,0.80,-0.17,0.26,8.54
277154,0.85,-0.05,0.25,8.90
277176,0.79,0.15,0.14,8.22
277198,0.61,0.10,0.00,6.20
277220,0.52,-0.02,0.09,5.24
277242,0.49,0.18,-0.15,5.49
277264,0.50,0.17,-0.14,5.50
277286,0.63,-0.01,-0.00,6.30
277308,1.65,0.41,-0.53,17.77
277330,1.57,0.42,-0.24,16.43
277352,0.56,0.03,0.08,5.69
277374,0.99,0.09,0.25,10.21
277396,1.01,-0.13,0.33,10.74
277418,1.02,-0.07,0.14,10.30
277440,0.89,0.15,-0.07,9.03
277462,0.94,-0.16,0.02,9.55
277484,0.79,-0.61,-0.07,10.05
277506,0.93,-0.12,-0.05,9.35
277528,0.90,0.06,-0.15,9.17
277550,0.90,-0.07,-0.23,9.29
277572,0.89,-0.08,-0.28,9.33
277594,0.84,-0.05,-0.34,9.07
277616,0.82,-0.15,-0.35,9.04
277638,0.89,-0.17,-0.26,9.37
277660,0.86,-0.09,-0.21,8.92
277682,0.84,-0.07,-0.23,8.72
277704,0.83,-0.07,-0.14,8.46
277726,0.85,-0.09,0.06,8.53
277748,0.84,-0.09,0.08,8.50
277770,0.88,-0.12,0.13,8.93
277792,0.95,-0.11,0.21,9.78
277814,0.91,-0.08,0.11,9.21
277836,0.91,-0.16,-0.07,9.23
277858,0.94,-0.09,-0.16,9.57
277880,1.03,-0.21,-0.32,11.01
277902,1.21,0.03,-0.55,13.32
277924,1.09,0.28,-0.75,13.54
277946,1.13,0.41,-0.68,13.81
277968,1.45,0.34,-0.12,14.97
277990,1.52,0.04,0.02,15.24
278012,1.13,-0.00,0.43,12.05
278034,0.95,-0.30,0.79,12.73
278056,1.09,-0.44,0.64,13.35
278078,0.88,-0.38,0.45,10.60
278100,0.63,-0.23,0.53,8.51
278122,0.56,-0.14,0.60,8.31
278144,0.54,-0.14,0.56,7.89
278166,0.55,-0.14,0.65,8.64
278188,0.54,0.02,0.58,7.91
278210,0.45,0.18,0.60,7.67
278232,0.55,0.29,0.56,8.35
278254,0.79,0.25,0.58,10.05
278276,0.81,-0.07,0.49,9.49
278298,0.61,-0.11,0.54,8.27
278320,0.83,0.18,0.43,9.49
278342,0.80,0.05,0.21,8.29
278364,0.57,0.02,0.31,6.46
278386,0.36,0.18,-0.44,5.95
278408,0.34,0.10,-0.33,4.86
278430,0.52,-0.09,-0.11,5.42
278452,1.83,0.32,-0.48,19.21
278474,1.42,0.50,-0.27,15.33
278496,0.48,0.51,-0.29,7.57
278518,1.20,-0.16,0.23,12.30
278540,0.81,-0.42,0.13,9.22
278562,0.78,-0.08,0.10,7.87
278584,1.04,0.23,0.05,10.69
278606,0.90,0.02,-0.01,9.00
278628,0.86,-0.51,0.04,10.00
278650,0.78,-0.54,0.05,9.50
278672,1.00,0.04,0.12,10.09
278694,0.97,0.18,0.05,9.87
278716,0.89,-0.12,-0.00,8.96
278738,0.88,-0.18,-0.12,9.05
278760,0.87,-0.12,-0.17,8.94
278782,0.84,-0.14,-0.13,8.66
278804,0.88,-0.16,-0.14,9.08
278826,0.86,-0.17,-0.18,8.94
278848,0.85,-0.13,-0.12,8.63
