timestamps,ax,ay,az,mag
427150,0.81,-0.15,0.03,8.26
427172,0.84,-0.21,0.01,8.67
427194,0.85,-0.22,0.01,8.77
427216,0.83,-0.21,0.01,8.58
427238,0.81,-0.19,-0.02,8.33
427260,0.77,-0.17,0.03,7.89
427282,0.78,-0.15,0.08,7.94
427304,0.84,-0.19,0.06,8.65
427326,0.98,-0.38,0.03,10.57
427348,0.96,-0.50,-0.14,10.92
427370,1.04,-0.36,-0.07,11.04
427392,0.95,-0.22,0.17,9.88
427414,0.73,-0.01,0.39,8.31
427436,0.69,-0.02,0.31,7.56
427458,0.78,-0.48,0.26,9.50
427480,0.88,-0.70,0.34,11.82
427502,0.92,-0.07,0.35,9.91
427524,0.92,0.26,0.32,10.05
427546,0.80,0.20,0.27,8.64
427568,0.71,-0.31,0.31,8.35
427590,0.67,-0.60,0.29,9.43
427612,0.63,-0.29,0.31,7.63
427634,0.59,-0.08,0.35,6.95
427656,0.57,-0.06,0.34,6.67
427678,0.57,-0.09,0.37,6.86
427700,0.56,-0.09,0.40,6.92
427722,0.49,-0.05,0.38,6.23
427744,0.54,0.01,0.34,6.34
427766,0.54,0.08,0.35,6.48
427788,0.56,-0.11,0.37,6.80
427810,1.53,-0.68,-0.26,16.94
427832,1.38,-0.92,-0.15,16.66
427854,0.66,-0.46,0.34,8.70
427876,0.28,0.06,0.33,4.32
427898,0.73,-0.00,0.22,7.59
427920,1.53,-0.32,0.13,15.67
427942,0.85,-0.03,-0.06,8.56
427964,0.53,-0.07,-0.18,5.63
427986,0.85,-0.25,-0.07,8.90
428008,0.98,-0.32,-0.04,10.37
428030,0.78,-0.25,-0.08,8.19
428052,0.78,-0.12,0.00,7.94
428074,0.90,-0.07,0.11,9.13
428096,0.87,-0.17,0.14,9.00
428118,0.80,-0.19,0.08,8.20
428140,0.84,-0.15,0.10,8.64
428162,0.78,-0.21,0.07,8.08
428184,0.80,-0.23,0.10,8.37
428206,0.84,-0.16,0.20,8.76
428228,0.81,-0.20,0.05,8.37
428250,0.79,-0.11,0.03,7.99
428272,0.82,-0.13,0.06,8.36
428294,0.80,-0.19,0.01,8.18
428316,0.75,-0.25,-0.09,7.90
428338,0.84,-0.15,0.05,8.53
428360,1.18,-0.27,0.18,12.22
428382,1.21,-0.50,-0.05,13.14
428404,1.16,-0.54,-0.10,12.82
428426,1.19,-0.54,0.05,13.11
428448,0.80,-0.16,0.34,8.83
428470,0.48,0.11,0.65,8.18
428492,0.54,-0.06,0.37,6.59
428514,0.69,-0.50,0.34,9.23
428536,0.79,-0.48,0.46,10.34
