timestamps,ax,ay,az,mag
65558,0.98,0.02,-0.05,9.85
65580,0.98,-0.04,-0.10,9.83
65602,0.86,-0.26,-0.11,9.05
65624,0.86,-0.25,-0.14,9.04
65646,0.94,0.05,-0.09,9.50
65668,0.90,0.19,-0.07,9.24
65690,0.87,0.02,-0.16,8.82
65712,0.88,-0.19,-0.18,9.19
65734,0.88,-0.36,-0.03,9.54
65756,0.89,-0.28,-0.02,9.39
65778,0.89,-0.14,-0.03,8.97
65800,0.87,-0.12,0.00,8.76
65822,0.87,-0.07,-0.07,8.78
65844,0.89,-0.08,-0.11,8.96
65866,0.85,-0.09,-0.10,8.62
65888,0.87,-0.12,-0.04,8.79
65910,0.86,-0.11,0.01,8.63
65932,0.86,-0.15,0.04,8.76
65954,0.87,-0.17,0.03,8.89
65976,0.86,-0.14,0.01,8.69
65998,0.87,-0.16,0.02,8.82
66020,0.87,-0.19,0.02,8.93
66042,0.86,-0.17,-0.01,8.74
66064,0.85,-0.18,0.01,8.66
66086,0.85,-0.12,-0.03,8.56
66108,0.84,-0.09,-0.06,8.43
66130,0.87,-0.16,-0.00,8.87
66152,0.83,-0.12,0.01,8.35
66174,0.84,-0.11,-0.02,8.45
66196,0.93,-0.16,-0.00,9.44
66218,0.95,-0.06,-0.02,9.56
66240,1.00,0.09,-0.10,10.04
66262,1.11,0.14,-0.16,11.34
66284,1.20,0.11,-0.09,12.13
66306,1.14,0.02,0.15,11.47
66328,1.01,-0.04,0.27,10.43
66350,0.92,-0.16,0.32,9.92
66372,0.71,-0.24,0.40,8.44
66394,0.80,-0.34,0.24,9.03
66416,0.77,-0.26,0.31,8.64
66438,0.68,-0.15,0.30,7.62
66460,0.76,-0.18,0.30,8.39
66482,0.77,-0.31,0.24,8.67
66504,0.77,-0.20,0.24,8.36
66526,0.80,-0.14,0.24,8.43
66548,0.79,-0.02,0.25,8.30
66570,0.78,0.06,0.26,8.27
66592,0.70,0.04,0.20,7.24
66614,0.73,-0.07,0.13,7.47
66636,0.81,-0.14,0.09,8.23
66658,0.73,-0.14,0.02,7.46
66680,0.65,-0.11,-0.02,6.60
66702,0.70,-0.08,0.05,7.04
66724,0.68,-0.09,0.03,6.87
66746,0.71,-0.09,-0.00,7.16
66768,1.15,0.09,-0.26,11.79
66790,1.21,0.38,-0.16,12.74
66812,0.78,0.15,-0.28,8.46
66834,0.88,0.12,-0.18,9.05
66856,0.94,0.14,-0.06,9.54
66878,0.84,0.09,-0.07,8.48
66900,0.89,0.01,-0.10,8.91
66922,0.91,-0.00,-0.12,9.18
66944,0.91,-0.07,-0.25,9.49
66966,0.89,-0.21,-0.20,9.35
66988,0.86,-0.26,-0.12,9.01
67010,0.91,-0.11,-0.02,9.19
67032,0.91,-0.03,0.04,9.14
67054,0.85,-0.03,-0.02,8.49
67076,0.87,-0.06,-0.05,8.74
67098,0.88,-0.12,-0.10,8.89
67120,0.90,-0.16,-0.12,9.19
67142,0.87,-0.18,-0.08,8.90
67164,0.86,-0.20,-0.05,8.89
67186,0.87,-0.21,0.08,8.99
67208,0.87,-0.21,0.11,8.98
67230,0.89,-0.20,0.09,9.14
67252,0.85,-0.11,0.05,8.58
67274,0.87,-0.10,0.09,8.76
67296,0.86,-0.15,0.02,8.70
67318,0.85,-0.17,0.02,8.68
67340,0.86,-0.22,0.07,8.93
67362,0.85,-0.18,0.05,8.76
67384,0.85,-0.18,0.04,8.72
67406,0.85,-0.14,0.09,8.65
67428,0.85,-0.17,0.05,8.73
67450,0.85,-0.16,0.03,8.62
67472,0.84,-0.20,0.04,8.66
67494,0.86,-0.23,0.06,8.88
67516,0.86,-0.22,0.11,8.98
67538,0.85,-0.20,0.18,8.88
67560,0.81,-0.18,0.14,8.42
67582,0.84,-0.18,0.13,8.70
67604,0.83,-0.18,0.13,8.59
67626,0.86,-0.17,0.08,8.83
67648,0.86,-0.15,0.09,8.75
67670,0.81,-0.12,0.10,8.20
67692,0.84,-0.10,0.06,8.44
67714,0.86,-0.10,0.06,8.71
67736,0.89,-0.09,0.08,8.99
67758,0.87,-0.03,0.06,8.78
67780,0.86,0.02,0.02,8.65
67802,0.86,-0.01,0.04,8.62
67824,0.85,-0.04,0.16,8.64
67846,0.83,-0.04,0.16,8.47
67868,0.89,-0.02,0.16,8.99
67890,0.93,-0.02,0.16,9.46
67912,0.87,-0.02,0.24,9.00
67934,0.80,-0.10,0.32,8.68
67956,0.74,-0.15,0.38,8.47
67978,0.72,-0.20,0.37,8.33
68000,0.80,-0.21,0.29,8.81
