time,timestamps,ax,ay,az,mag
18:24:38.675,36064,-0.15,-0.93,0.34,1.00
18:24:38.693,36078,-0.13,-0.83,0.41,0.93
18:24:38.702,36092,-0.09,-0.85,0.39,0.94
18:24:38.722,36106,-0.04,-0.89,0.38,0.97
18:24:38.729,36120,-0.03,-0.84,0.38,0.92
18:24:38.745,36134,-0.04,-0.76,0.38,0.86
18:24:38.759,36148,-0.09,-0.71,0.42,0.83
18:24:38.780,36162,-0.16,-0.68,0.45,0.83
18:24:38.785,36176,-0.23,-0.65,0.44,0.82
18:24:38.799,36190,-0.28,-0.61,0.47,0.82
18:24:38.819,36204,-0.31,-0.59,0.47,0.82
18:24:38.827,36218,-0.34,-0.62,0.46,0.84
18:24:38.839,36232,-0.34,-0.73,0.41,0.90
18:24:38.856,36246,-0.31,-0.89,0.33,1.00
18:24:38.870,36260,-0.27,-0.97,0.31,1.05
18:24:38.886,36274,-0.26,-0.99,0.26,1.05
18:24:38.898,36288,-0.34,-0.85,0.21,0.94
18:24:38.950,36302,-0.49,-0.65,0.13,0.82
18:24:38.951,36316,-0.62,-0.60,0.05,0.86
18:24:38.952,36330,-0.67,-0.82,0.04,1.06
18:24:38.953,36344,-0.69,-0.94,0.01,1.17
18:24:38.991,36358,-0.65,-0.89,-0.11,1.11
18:24:38.992,36372,-0.72,-0.65,-0.15,0.99
18:24:38.995,36386,-0.84,-0.46,-0.17,0.97
18:24:39.032,36400,-0.88,-0.25,-0.16,0.93
18:24:39.034,36414,-0.89,-0.11,-0.26,0.93
18:24:39.036,36428,-0.84,-0.48,-0.13,0.98
18:24:39.076,36442,-0.67,-0.55,-0.30,0.92
18:24:39.076,36456,-0.57,-0.71,-0.33,0.97
18:24:39.079,36470,-0.56,-0.79,-0.25,1.00
18:24:39.116,36484,-1.35,-0.90,-0.30,1.65
18:24:39.117,36498,-2.04,-1.19,-0.18,2.37
18:24:39.121,36512,-1.02,-0.83,0.41,1.38
18:24:39.150,36526,-0.82,-0.17,0.25,0.87
18:24:39.151,36540,-1.45,0.29,0.03,1.48
18:24:39.180,36554,-0.84,-0.74,0.09,1.12
18:24:39.182,36568,-0.51,-1.18,0.02,1.28
18:24:39.191,36582,-0.50,-1.03,-0.37,1.20
18:24:39.207,36596,-0.78,-0.77,-0.26,1.13
18:24:39.222,36610,-0.84,-0.61,-0.27,1.07
18:24:39.235,36624,-0.68,-0.55,-0.38,0.95
18:24:39.250,36638,-0.72,-0.74,-0.28,1.07
18:24:39.261,36652,-0.80,-0.83,-0.20,1.17
18:24:39.275,36666,-0.77,-0.75,-0.22,1.10
18:24:39.292,36680,-0.72,-0.79,-0.28,1.10
18:24:39.306,36694,-0.68,-0.86,-0.28,1.13
18:24:39.316,36708,-0.62,-0.92,-0.28,1.14
18:24:39.335,36722,-0.64,-0.91,-0.24,1.14
18:24:39.345,36736,-0.72,-0.86,-0.19,1.14
18:24:39.358,36750,-0.75,-0.77,-0.19,1.09
18:24:39.374,36764,-0.80,-0.71,-0.21,1.09
18:24:39.394,36778,-0.83,-0.67,-0.21,1.08
18:24:39.403,36792,-0.84,-0.64,-0.22,1.08
18:24:39.415,36806,-0.83,-0.62,-0.27,1.07
18:24:39.432,36820,-0.83,-0.58,-0.32,1.06
18:24:39.442,36834,-0.88,-0.54,-0.29,1.07
18:24:39.460,36848,-0.88,-0.57,-0.25,1.08
18:24:39.470,36862,-0.83,-0.64,-0.20,1.07
18:24:39.486,36876,-0.79,-0.73,-0.11,1.08
18:24:39.506,36890,-0.78,-0.77,-0.04,1.10
18:24:39.512,36904,-0.76,-0.79,-0.08,1.10
18:24:39.528,36918,-0.75,-0.77,-0.11,1.08
18:24:39.545,36932,-0.76,-0.76,-0.15,1.09
18:24:39.555,36946,-0.82,-0.77,-0.18,1.14
18:24:39.574,36960,-0.79,-0.76,-0.22,1.12
18:24:39.582,36974,-0.75,-0.72,-0.22,1.07
18:24:39.627,36988,-0.80,-0.75,-0.21,1.12
18:24:39.628,37002,-0.85,-0.76,-0.19,1.15
18:24:39.629,37016,-0.89,-0.73,-0.17,1.16
18:24:39.668,37030,-0.89,-0.73,-0.19,1.16
18:24:39.670,37044,-0.85,-0.75,-0.21,1.15
18:24:39.671,37058,-0.79,-0.74,-0.20,1.10
18:24:39.701,37072,-0.74,-0.75,-0.21,1.07
18:24:39.703,37086,-0.75,-0.77,-0.21,1.10
18:24:39.742,37100,-0.81,-0.76,-0.21,1.13
18:24:39.743,37114,-0.83,-0.89,-0.36,1.27
18:24:39.748,37128,-0.96,-0.88,-0.39,1.36
18:24:39.784,37142,-1.11,-0.69,-0.40,1.37
18:24:39.785,37156,-1.14,-0.52,-0.35,1.30
18:24:39.829,37170,-1.27,-0.47,-0.27,1.38
18:24:39.830,37184,-1.71,-0.40,-0.34,1.79
18:24:39.831,37198,-1.93,-0.33,-0.26,1.98
18:24:39.845,37212,-1.49,-0.53,-0.24,1.60
18:24:39.847,37226,-1.05,-0.66,-0.43,1.32
18:24:39.848,37240,-0.71,-1.06,0.03,1.28
18:24:39.867,37254,-0.57,-1.40,0.44,1.58
18:24:39.878,37268,-0.51,-1.71,0.35,1.82
18:24:39.897,37282,-0.23,-1.89,0.13,1.91
18:24:39.909,37296,0.13,-2.00,-0.03,2.01
18:24:39.926,37310,0.11,-1.18,0.17,1.20
18:24:39.936,37324,-0.21,-0.90,0.38,1.00
18:24:39.951,37338,-0.43,-0.81,0.61,1.10
18:24:39.989,37352,-0.46,-0.74,0.56,1.04
18:24:40.002,37366,-0.21,-0.83,0.45,0.97
18:24:40.003,37380,-0.04,-0.83,0.35,0.90
18:24:40.005,37394,0.13,-0.72,0.30,0.79
18:24:40.021,37408,0.12,-0.67,0.27,0.73
18:24:40.030,37422,0.17,-0.83,0.29,0.90
18:24:40.047,37436,0.17,-0.87,0.24,0.92
18:24:40.059,37450,0.20,-0.80,0.21,0.85
18:24:40.080,37464,0.12,-0.72,0.25,0.78
18:24:40.086,37478,0.04,-0.70,0.29,0.76
18:24:40.105,37492,-0.08,-0.70,0.38,0.80
18:24:40.115,37506,-0.16,-0.67,0.45,0.82
18:24:40.131,37520,-0.18,-0.65,0.52,0.85
18:24:40.143,37534,-0.22,-0.74,0.48,0.91
18:24:40.159,37548,-0.18,-0.97,0.40,1.06
18:24:40.176,37562,-0.18,-1.16,0.24,1.20
18:24:40.185,37576,-0.15,-1.17,0.08,1.18
18:24:40.206,37590,-0.34,-1.03,-0.19,1.10
18:24:40.212,37604,-0.79,-0.80,-0.02,1.12
18:24:40.226,37618,-1.04,-0.79,0.02,1.31
18:24:40.242,37632,-0.93,-0.85,-0.02,1.26
18:24:40.268,37646,-0.80,-0.63,-0.20,1.03
18:24:40.269,37660,-0.75,-0.35,-0.51,0.97
18:24:40.282,37674,-0.76,0.14,-0.21,0.80
18:24:40.326,37688,-0.65,0.07,-0.72,0.97
18:24:40.326,37702,-0.73,-0.17,-0.27,0.80
18:24:40.329,37716,-0.36,-0.29,-0.13,0.48
18:24:40.364,37730,-0.33,-0.81,0.12,0.89
18:24:40.364,37744,-0.84,-1.19,0.03,1.45
18:24:40.368,37758,-2.13,-1.39,-0.45,2.58
18:24:40.405,37772,-1.17,-1.49,-0.02,1.89
18:24:40.406,37786,-0.56,-0.38,-0.12,0.69
18:24:40.409,37800,-0.68,-0.61,-0.29,0.95
18:24:40.447,37814,-0.26,-1.10,0.37,1.19
18:24:40.448,37828,-0.24,-1.28,0.27,1.33
18:24:40.451,37842,-0.94,-0.80,-0.59,1.37
18:24:40.487,37856,-0.89,-0.60,-0.09,1.08
18:24:40.488,37870,-0.87,-0.47,-0.04,0.98
18:24:40.492,37884,-0.40,-1.16,-0.15,1.24
18:24:40.529,37898,-0.27,-1.55,-0.44,1.63
18:24:40.530,37912,-0.29,-1.23,-0.83,1.52
18:24:40.534,37926,-0.68,-0.75,-0.43,1.10
18:24:40.555,37940,-0.82,-0.73,-0.09,1.10
18:24:40.562,37954,-0.89,-0.63,-0.07,1.09
18:24:40.582,37968,-0.72,-0.76,-0.23,1.07
18:24:40.597,37982,-0.66,-0.87,-0.31,1.14
18:24:40.610,37996,-0.66,-0.83,-0.33,1.11
18:24:40.619,38010,-0.75,-0.73,-0.23,1.07
18:24:40.642,38024,-0.80,-0.68,-0.17,1.06
18:24:40.646,38038,-0.78,-0.69,-0.16,1.05
18:24:40.661,38052,-0.77,-0.70,-0.19,1.07
18:24:40.674,38066,-0.78,-0.68,-0.22,1.06
18:24:40.688,38080,-0.77,-0.70,-0.24,1.07
18:24:40.707,38094,-0.74,-0.72,-0.28,1.07
18:24:40.716,38108,-0.73,-0.73,-0.30,1.07
18:24:40.732,38122,-0.74,-0.75,-0.25,1.08
18:24:40.746,38136,-0.74,-0.78,-0.20,1.10
18:24:40.758,38150,-0.72,-0.78,-0.19,1.07
18:24:40.781,38164,-0.69,-0.80,-0.20,1.08
18:24:40.786,38178,-0.72,-0.80,-0.21,1.09
18:24:40.802,38192,-0.74,-0.80,-0.21,1.11
18:24:40.820,38206,-0.81,-0.82,-0.29,1.19
18:24:40.831,38220,-0.81,-0.82,-0.35,1.20
18:24:40.848,38234,-0.84,-0.74,-0.28,1.15
18:24:40.856,38248,-0.86,-0.73,-0.25,1.15
18:24:40.872,38262,-0.83,-0.75,-0.24,1.15
18:24:40.889,38276,-0.76,-0.78,-0.21,1.11
18:24:40.899,38290,-0.78,-0.84,-0.15,1.15
18:24:40.921,38304,-0.79,-0.87,-0.15,1.18
18:24:40.927,38318,-0.78,-0.85,-0.15,1.16
18:24:40.944,38332,-0.79,-0.80,-0.19,1.14
18:24:40.959,38346,-0.81,-0.95,-0.38,1.31
18:24:40.969,38360,-0.94,-0.98,-0.33,1.40
18:24:40.982,38374,-1.11,-0.73,-0.34,1.37
18:24:41.000,38388,-1.13,-0.59,-0.32,1.31
18:24:41.011,38402,-1.41,-0.49,-0.40,1.54
18:24:41.065,38416,-2.00,-0.32,-0.47,2.08
18:24:41.065,38430,-1.70,-0.53,-0.24,1.80
18:24:41.066,38444,-1.40,-0.54,-0.40,1.55
18:24:41.068,38458,-1.00,-0.74,-0.47,1.33
18:24:41.100,38472,-0.66,-1.23,0.09,1.40
18:24:41.100,38486,-0.46,-1.65,0.38,1.75
18:24:41.134,38500,-0.34,-2.00,0.21,2.04
18:24:41.135,38514,0.00,-2.00,-0.18,2.01
18:24:41.138,38528,0.38,-1.88,-0.19,1.93
18:24:41.174,38542,0.09,-1.15,0.49,1.26
18:24:41.176,38556,-0.10,-0.98,0.55,1.13
18:24:41.180,38570,-0.56,-0.75,0.62,1.12
18:24:41.215,38584,-0.52,-0.75,0.60,1.09
18:24:41.216,38598,-0.31,-0.81,0.45,0.97
18:24:41.220,38612,-0.09,-0.79,0.40,0.89
18:24:41.298,38626,0.09,-0.66,0.44,0.80
18:24:41.299,38640,0.08,-0.54,0.41,0.68
18:24:41.300,38654,0.11,-0.71,0.27,0.77
18:24:41.301,38668,0.20,-0.93,0.16,0.97
18:24:41.302,38682,0.33,-0.96,0.12,1.03
18:24:41.304,38696,0.17,-0.85,0.17,0.88
18:24:41.321,38710,0.04,-0.78,0.34,0.85
18:24:41.337,38724,-0.08,-0.74,0.51,0.90
18:24:41.347,38738,-0.13,-0.80,0.61,1.01
18:24:41.363,38752,-0.18,-0.85,0.48,0.99
18:24:41.383,38766,-0.18,-0.92,0.29,0.98
18:24:41.388,38780,-0.21,-0.97,0.08,1.00
18:24:41.410,38794,-0.19,-0.96,-0.09,0.99
18:24:41.419,38808,-0.36,-0.88,-0.13,0.96
18:24:41.436,38822,-0.70,-0.77,-0.08,1.04
18:24:41.446,38836,-0.75,-0.81,0.03,1.10
18:24:41.459,38850,-0.63,-0.92,-0.04,1.12
18:24:41.474,38864,-0.57,-0.72,-0.31,0.97
18:24:41.488,38878,-0.63,-0.40,-0.35,0.83
18:24:41.503,38892,-0.70,-0.27,-0.16,0.76
18:24:41.522,38906,-0.80,-0.22,-0.27,0.87
18:24:41.532,38920,-0.68,-0.26,-0.22,0.76
18:24:41.543,38934,-0.43,-0.53,-0.30,0.75
18:24:41.556,38948,-0.33,-0.69,-0.18,0.79
18:24:41.573,38962,-0.45,-1.04,-0.06,1.13
18:24:41.585,38976,-2.13,-1.12,-0.52,2.46
18:24:41.602,38990,-2.10,-1.18,-0.26,2.42
18:24:41.615,39004,-0.68,-0.59,0.31,0.95
18:24:41.632,39018,-0.63,-0.23,0.06,0.67
18:24:41.641,39032,-0.51,-0.63,-0.14,0.82
18:24:41.662,39046,-0.31,-1.28,0.12,1.32
18:24:41.672,39060,-0.20,-1.65,0.07,1.67
18:24:41.683,39074,-0.59,-1.38,-0.18,1.51
18:24:41.708,39088,-0.95,-0.61,0.17,1.14
18:24:41.709,39102,-0.99,-0.27,0.08,1.03
18:24:41.729,39116,-0.53,-0.81,-0.08,0.97
18:24:41.740,39130,-0.37,-1.44,-0.42,1.54
18:24:41.758,39144,-0.17,-1.51,-0.74,1.69
18:24:41.799,39158,-0.42,-1.06,-0.52,1.25
18:24:41.799,39172,-0.80,-0.72,-0.05,1.08
18:24:41.801,39186,-0.96,-0.57,0.03,1.11
18:24:41.841,39200,-0.72,-0.74,-0.10,1.04
18:24:41.843,39214,-0.63,-0.94,-0.29,1.17
18:24:41.843,39228,-0.66,-0.89,-0.22,1.13
18:24:41.876,39242,-0.70,-0.81,-0.16,1.09
18:24:41.876,39256,-0.73,-0.79,-0.15,1.09
18:24:41.879,39270,-0.75,-0.76,-0.13,1.07
18:24:41.907,39284,-0.77,-0.72,-0.15,1.06
18:24:41.909,39298,-0.76,-0.69,-0.22,1.05
18:24:41.948,39312,-0.75,-0.72,-0.28,1.07
18:24:41.950,39326,-0.74,-0.71,-0.30,1.07
18:24:41.951,39340,-0.76,-0.75,-0.30,1.11
18:24:41.990,39354,-0.72,-0.76,-0.30,1.09
18:24:41.991,39368,-0.67,-0.77,-0.27,1.06
18:24:41.993,39382,-0.73,-0.72,-0.20,1.04
18:24:42.006,39396,-0.76,-0.76,-0.16,1.09
18:24:42.025,39410,-0.78,-0.79,-0.19,1.13
18:24:42.032,39424,-0.73,-0.79,-0.27,1.11
18:24:42.049,39438,-0.76,-0.81,-0.33,1.16
18:24:42.060,39452,-0.79,-0.78,-0.34,1.16
18:24:42.076,39466,-0.80,-0.75,-0.26,1.13
18:24:42.091,39480,-0.84,-0.79,-0.25,1.17
