time,timestamps,ax,ay,az,mag
18:27:06.622,15305,-0.86,-0.61,-0.02,1.06
18:27:06.630,15315,-0.86,-0.61,-0.01,1.05
18:27:06.653,15325,-0.86,-0.59,-0.01,1.05
18:27:06.655,15335,-0.87,-0.58,-0.01,1.05
18:27:06.660,15345,-0.87,-0.58,-0.02,1.05
18:27:06.671,15355,-0.87,-0.58,-0.02,1.04
18:27:06.680,15365,-0.87,-0.58,-0.02,1.05
18:27:06.694,15375,-0.87,-0.58,-0.03,1.05
18:27:06.700,15385,-0.87,-0.58,-0.03,1.05
18:27:06.711,15395,-0.88,-0.58,-0.03,1.05
18:27:06.720,15405,-0.88,-0.59,-0.01,1.05
18:27:06.731,15415,-0.87,-0.59,-0.01,1.05
18:27:06.746,15425,-0.86,-0.59,-0.01,1.05
18:27:06.750,15435,-0.87,-0.59,-0.00,1.05
18:27:06.760,15445,-0.86,-0.59,-0.00,1.04
18:27:06.770,15455,-0.86,-0.59,-0.00,1.05
18:27:06.780,15465,-0.86,-0.60,-0.00,1.04
18:27:06.790,15475,-0.86,-0.60,-0.01,1.05
18:27:06.802,15485,-0.86,-0.59,-0.01,1.05
18:27:06.813,15495,-0.86,-0.59,-0.01,1.05
18:27:06.823,15505,-0.87,-0.58,0.00,1.05
18:27:06.830,15515,-0.86,-0.58,0.01,1.04
18:27:06.840,15525,-0.86,-0.59,-0.00,1.04
18:27:06.904,15535,-0.85,-0.59,-0.01,1.04
18:27:06.905,15545,-0.86,-0.59,-0.01,1.04
18:27:06.906,15555,-0.86,-0.60,-0.00,1.05
18:27:06.907,15565,-0.87,-0.60,0.01,1.05
18:27:06.945,15575,-0.87,-0.60,0.01,1.05
18:27:06.945,15585,-0.86,-0.60,0.00,1.05
18:27:06.945,15595,-0.86,-0.59,-0.01,1.04
18:27:06.946,15605,-0.85,-0.59,0.00,1.04
18:27:06.948,15615,-0.86,-0.58,0.00,1.04
18:27:06.948,15625,-0.86,-0.58,-0.01,1.04
18:27:06.985,15635,-0.86,-0.59,-0.01,1.04
18:27:06.987,15645,-0.87,-0.59,-0.00,1.05
18:27:06.987,15655,-0.88,-0.60,-0.01,1.06
18:27:06.988,15665,-0.87,-0.60,-0.01,1.06
18:27:06.991,15675,-0.87,-0.58,-0.02,1.05
18:27:07.026,15685,-0.88,-0.60,-0.03,1.06
18:27:07.027,15695,-0.88,-0.60,-0.02,1.07
18:27:07.028,15705,-0.87,-0.59,-0.04,1.05
18:27:07.031,15715,-0.87,-0.58,-0.03,1.05
18:27:07.064,15725,-0.88,-0.56,-0.03,1.04
18:27:07.065,15735,-0.88,-0.57,-0.02,1.05
18:27:07.067,15745,-0.87,-0.59,-0.03,1.05
18:27:07.090,15755,-0.87,-0.58,-0.04,1.05
18:27:07.090,15765,-0.87,-0.58,-0.02,1.05
18:27:07.092,15775,-0.88,-0.58,-0.02,1.06
18:27:07.102,15785,-0.88,-0.58,-0.02,1.05
18:27:07.111,15795,-0.88,-0.57,-0.03,1.04
18:27:07.122,15805,-0.88,-0.57,-0.03,1.05
18:27:07.131,15815,-0.90,-0.56,-0.05,1.06
18:27:07.142,15825,-0.91,-0.54,-0.06,1.06
18:27:07.151,15835,-0.92,-0.51,-0.11,1.06
18:27:07.160,15845,-0.93,-0.47,-0.15,1.06
18:27:07.170,15855,-0.96,-0.44,-0.19,1.07
18:27:07.186,15865,-0.99,-0.40,-0.21,1.09
18:27:07.192,15875,-1.02,-0.34,-0.24,1.10
18:27:07.200,15885,-1.03,-0.31,-0.27,1.11
18:27:07.213,15895,-1.03,-0.30,-0.31,1.12
18:27:07.225,15905,-1.06,-0.27,-0.30,1.13
18:27:07.230,15915,-1.06,-0.26,-0.30,1.13
18:27:07.240,15925,-1.06,-0.25,-0.29,1.12
18:27:07.251,15935,-1.07,-0.26,-0.28,1.13
18:27:07.262,15945,-1.05,-0.27,-0.23,1.11
18:27:07.275,15955,-1.05,-0.31,-0.16,1.10
18:27:07.280,15965,-1.05,-0.43,-0.05,1.13
18:27:07.291,15975,-1.04,-0.54,-0.01,1.17
18:27:07.300,15985,-1.06,-0.65,0.04,1.25
18:27:07.310,15995,-1.08,-0.72,0.08,1.30
18:27:07.323,16005,-1.08,-0.77,0.11,1.33
18:27:07.330,16015,-1.06,-0.78,0.12,1.32
18:27:07.344,16025,-1.01,-0.78,0.13,1.28
18:27:07.350,16035,-0.96,-0.78,0.16,1.25
18:27:07.361,16045,-0.94,-0.79,0.16,1.24
18:27:07.371,16055,-0.90,-0.83,0.10,1.23
18:27:07.384,16065,-0.83,-0.87,0.07,1.21
18:27:07.395,16075,-0.82,-0.86,0.05,1.19
18:27:07.401,16085,-0.80,-0.80,0.05,1.14
18:27:07.414,16095,-0.78,-0.73,0.08,1.08
18:27:07.421,16105,-0.77,-0.72,0.11,1.06
18:27:07.439,16115,-0.79,-0.61,0.15,1.01
18:27:07.440,16125,-0.80,-0.64,0.13,1.04
18:27:07.456,16135,-0.81,-0.66,0.10,1.05
18:27:07.460,16145,-0.81,-0.67,0.06,1.05
18:27:07.475,16155,-0.78,-0.67,0.06,1.03
18:27:07.480,16165,-0.76,-0.67,0.04,1.02
18:27:07.498,16175,-0.78,-0.67,0.04,1.03
18:27:07.501,16185,-0.79,-0.66,0.04,1.03
18:27:07.519,16195,-0.80,-0.67,0.04,1.04
18:27:07.520,16205,-0.81,-0.69,0.02,1.06
18:27:07.532,16215,-0.81,-0.69,0.01,1.06
18:27:07.542,16225,-0.82,-0.69,0.02,1.07
18:27:07.551,16235,-0.83,-0.67,0.01,1.07
18:27:07.562,16245,-0.84,-0.65,0.00,1.06
18:27:07.571,16255,-0.84,-0.64,0.01,1.06
18:27:07.581,16265,-0.86,-0.61,0.02,1.05
18:27:07.598,16275,-0.86,-0.58,0.02,1.04
18:27:07.603,16285,-0.81,-0.56,0.02,0.99
18:27:07.632,16295,-0.82,-0.55,0.01,0.98
18:27:07.640,16305,-0.81,-0.54,-0.01,0.97
18:27:07.640,16315,-0.82,-0.55,-0.01,0.98
18:27:07.675,16325,-0.84,-0.55,-0.04,1.01
18:27:07.676,16335,-0.85,-0.53,-0.02,1.01
18:27:07.678,16345,-0.87,-0.50,-0.02,1.00
18:27:07.678,16355,-0.89,-0.45,-0.02,1.00
18:27:07.714,16365,-0.90,-0.39,-0.03,0.98
18:27:07.717,16375,-0.91,-0.35,-0.04,0.98
18:27:07.717,16385,-0.92,-0.33,-0.07,0.98
18:27:07.717,16395,-0.91,-0.32,-0.11,0.97
18:27:07.755,16405,-0.87,-0.32,-0.18,0.95
18:27:07.758,16415,-0.84,-0.30,-0.22,0.92
18:27:07.758,16425,-0.86,-0.27,-0.26,0.94
18:27:07.760,16435,-0.93,-0.23,-0.24,0.99
18:27:07.766,16445,-0.98,-0.23,-0.21,1.02
18:27:07.795,16455,-0.98,-0.24,-0.21,1.03
18:27:07.796,16465,-0.95,-0.24,-0.22,1.01
18:27:07.798,16475,-0.91,-0.28,-0.26,0.99
18:27:07.802,16485,-0.88,-0.34,-0.29,0.99
18:27:07.834,16495,-0.87,-0.39,-0.28,0.99
18:27:07.834,16505,-0.86,-0.41,-0.27,0.98
18:27:07.836,16515,-0.82,-0.45,-0.26,0.97
18:27:07.866,16525,-0.81,-0.44,-0.21,0.95
18:27:07.867,16535,-0.79,-0.50,-0.18,0.95
18:27:07.871,16545,-0.76,-0.52,-0.14,0.93
18:27:07.871,16555,-0.70,-0.56,-0.13,0.91
18:27:07.882,16565,-0.63,-0.64,-0.14,0.91
18:27:07.893,16575,-0.62,-0.73,-0.12,0.96
18:27:07.901,16585,-0.84,-0.77,-0.10,1.14
18:27:07.910,16595,-1.83,-0.67,-0.18,1.96
18:27:07.925,16605,-2.13,-0.48,0.27,2.19
18:27:07.936,16615,-1.58,-0.40,0.28,1.65
18:27:07.945,16625,-0.95,-0.21,0.05,0.98
18:27:07.951,16635,-0.78,-0.08,-0.07,0.78
18:27:07.961,16645,-0.82,-0.21,-0.11,0.85
18:27:07.978,16655,-0.96,-0.56,-0.16,1.12
18:27:07.981,16665,-0.96,-0.86,0.09,1.29
18:27:07.991,16675,-0.78,-0.96,0.31,1.27
18:27:08.002,16685,-0.76,-0.81,0.12,1.11
18:27:08.019,16695,-0.83,-0.63,-0.06,1.04
18:27:08.020,16705,-0.91,-0.55,0.08,1.07
18:27:08.038,16715,-0.97,-0.50,0.10,1.09
18:27:08.040,16725,-0.89,-0.51,0.10,1.03
18:27:08.051,16735,-0.79,-0.65,-0.07,1.03
18:27:08.062,16745,-0.76,-0.76,-0.23,1.10
18:27:08.072,16755,-0.78,-0.84,-0.27,1.17
18:27:08.081,16765,-0.80,-0.81,-0.21,1.16
18:27:08.098,16775,-0.85,-0.66,-0.11,1.08
18:27:08.100,16785,-0.91,-0.55,-0.09,1.07
18:27:08.112,16795,-0.95,-0.45,-0.09,1.05
18:27:08.123,16805,-0.94,-0.46,-0.12,1.05
18:27:08.131,16815,-0.92,-0.58,-0.18,1.10
18:27:08.145,16825,-0.85,-0.78,-0.33,1.20
18:27:08.151,16835,-0.76,-0.83,-0.35,1.17
18:27:08.161,16845,-0.76,-0.84,-0.30,1.17
18:27:08.172,16855,-0.80,-0.76,-0.20,1.12
18:27:08.184,16865,-0.84,-0.67,-0.08,1.08
18:27:08.202,16875,-0.85,-0.63,-0.03,1.06
18:27:08.204,16885,-0.85,-0.62,-0.04,1.05
18:27:08.210,16895,-0.86,-0.62,-0.05,1.06
18:27:08.221,16905,-0.84,-0.64,-0.08,1.06
18:27:08.234,16915,-0.84,-0.64,-0.10,1.06
18:27:08.240,16925,-0.83,-0.63,-0.12,1.05
18:27:08.253,16935,-0.83,-0.62,-0.10,1.04
18:27:08.264,16945,-0.85,-0.61,-0.10,1.05
18:27:08.274,16955,-0.85,-0.60,-0.09,1.04
18:27:08.283,16965,-0.84,-0.61,-0.09,1.04
18:27:08.290,16975,-0.83,-0.62,-0.09,1.03
18:27:08.300,16985,-0.82,-0.63,-0.09,1.04
18:27:08.315,16995,-0.81,-0.66,-0.07,1.05
18:27:08.321,17005,-0.82,-0.62,-0.06,1.03
18:27:08.331,17015,-0.81,-0.61,-0.05,1.02
18:27:08.383,17025,-0.80,-0.63,-0.07,1.03
18:27:08.384,17035,-0.80,-0.67,-0.07,1.05
18:27:08.385,17045,-0.82,-0.69,-0.06,1.07
18:27:08.386,17055,-0.84,-0.70,-0.03,1.10
18:27:08.387,17065,-0.83,-0.68,-0.03,1.07
18:27:08.426,17075,-0.81,-0.63,-0.04,1.03
18:27:08.426,17085,-0.82,-0.60,-0.08,1.01
18:27:08.427,17095,-0.83,-0.62,-0.08,1.04
18:27:08.430,17105,-0.85,-0.63,-0.09,1.06
18:27:08.432,17115,-0.86,-0.63,-0.10,1.07
18:27:08.466,17125,-0.86,-0.69,-0.09,1.10
18:27:08.466,17135,-0.87,-0.74,-0.04,1.15
18:27:08.470,17145,-0.90,-0.76,-0.03,1.18
18:27:08.475,17155,-0.87,-0.74,-0.07,1.15
18:27:08.499,17165,-0.87,-0.72,-0.05,1.13
18:27:08.502,17175,-0.86,-0.72,-0.05,1.13
18:27:08.502,17185,-0.88,-0.73,-0.09,1.15
18:27:08.541,17195,-0.87,-0.71,-0.10,1.13
18:27:08.544,17205,-0.86,-0.69,-0.07,1.11
18:27:08.544,17215,-0.88,-0.69,-0.07,1.12
18:27:08.544,17225,-0.90,-0.71,-0.10,1.15
18:27:08.566,17235,-0.91,-0.71,-0.09,1.16
18:27:08.566,17245,-0.92,-0.68,-0.09,1.15
18:27:08.572,17255,-0.92,-0.64,-0.10,1.12
18:27:08.588,17265,-0.91,-0.63,-0.12,1.12
18:27:08.592,17275,-0.91,-0.67,-0.15,1.14
18:27:08.601,17285,-0.92,-0.79,-0.22,1.24
18:27:08.617,17295,-1.01,-0.73,-0.15,1.26
18:27:08.621,17305,-1.13,-0.55,-0.01,1.26
18:27:08.636,17315,-1.16,-0.38,0.06,1.22
18:27:08.641,17325,-1.15,-0.23,-0.01,1.17
18:27:08.650,17335,-1.15,-0.24,0.01,1.18
18:27:08.663,17345,-1.18,-0.34,-0.08,1.23
18:27:08.675,17355,-1.27,-0.46,-0.14,1.36
18:27:08.681,17365,-1.58,-0.42,-0.26,1.66
18:27:08.691,17375,-1.64,-0.28,-0.22,1.68
18:27:08.701,17385,-1.61,-0.34,-0.23,1.66
18:27:08.711,17395,-1.37,-0.48,-0.32,1.49
18:27:08.722,17405,-1.13,-0.60,-0.51,1.38
18:27:08.734,17415,-0.91,-0.79,-0.36,1.26
18:27:08.742,17425,-0.69,-0.99,0.25,1.24
18:27:08.751,17435,-0.63,-1.20,0.47,1.43
18:27:08.761,17445,-0.67,-1.47,0.51,1.69
18:27:08.772,17455,-0.65,-1.73,0.49,1.91
18:27:08.783,17465,-0.48,-2.00,0.27,2.08
18:27:08.792,17475,-0.28,-2.00,0.10,2.03
18:27:08.803,17485,-0.26,-1.41,0.13,1.44
18:27:08.815,17495,-0.24,-1.12,0.46,1.24
18:27:08.823,17505,-0.48,-0.80,0.63,1.12
18:27:08.832,17515,-0.62,-0.67,0.72,1.16
18:27:08.841,17525,-0.67,-0.51,0.78,1.15
18:27:08.850,17535,-0.56,-0.41,0.86,1.11
18:27:08.860,17545,-0.36,-0.42,0.81,0.98
18:27:08.872,17555,-0.26,-0.53,0.57,0.82
18:27:08.881,17565,-0.13,-0.51,0.53,0.75
18:27:08.910,17575,0.02,-0.49,0.53,0.72
