time,timestamps,ax,ay,az,mag
18:30:01.813,11908,-0.67,-0.79,-0.12,1.04
18:30:01.819,11916,-0.67,-0.78,-0.12,1.04
18:30:01.830,11924,-0.68,-0.76,-0.11,1.03
18:30:01.839,11932,-0.69,-0.76,-0.09,1.04
18:30:01.843,11940,-0.68,-0.79,-0.10,1.05
18:30:01.854,11948,-0.67,-0.83,-0.11,1.07
18:30:01.860,11956,-0.66,-0.84,-0.11,1.07
18:30:01.867,11964,-0.66,-0.82,-0.10,1.06
18:30:01.878,11972,-0.66,-0.82,-0.11,1.06
18:30:01.884,11980,-0.66,-0.83,-0.11,1.07
18:30:01.892,11988,-0.67,-0.84,-0.10,1.08
18:30:01.908,11996,-0.68,-0.83,-0.10,1.08
18:30:01.909,12004,-0.68,-0.82,-0.11,1.07
18:30:01.961,12012,-0.67,-0.81,-0.11,1.06
18:30:01.962,12020,-0.68,-0.81,-0.11,1.06
18:30:01.964,12028,-0.67,-0.81,-0.13,1.06
18:30:01.964,12036,-0.67,-0.81,-0.13,1.06
18:30:01.965,12044,-0.67,-0.81,-0.14,1.06
18:30:01.966,12052,-0.68,-0.82,-0.12,1.07
18:30:01.993,12060,-0.67,-0.81,-0.11,1.06
18:30:01.995,12068,-0.68,-0.80,-0.10,1.06
18:30:01.998,12076,-0.68,-0.80,-0.10,1.06
18:30:01.998,12084,-0.68,-0.81,-0.10,1.06
18:30:01.998,12092,-0.67,-0.81,-0.10,1.06
18:30:02.027,12100,-0.67,-0.81,-0.11,1.06
18:30:02.028,12108,-0.66,-0.81,-0.11,1.05
18:30:02.030,12116,-0.66,-0.81,-0.11,1.05
18:30:02.031,12124,-0.66,-0.80,-0.12,1.05
18:30:02.068,12132,-0.66,-0.80,-0.12,1.04
18:30:02.070,12140,-0.67,-0.79,-0.11,1.04
18:30:02.071,12148,-0.67,-0.79,-0.11,1.04
18:30:02.072,12156,-0.68,-0.79,-0.11,1.05
18:30:02.074,12164,-0.67,-0.81,-0.12,1.06
18:30:02.075,12172,-0.66,-0.83,-0.12,1.07
18:30:02.111,12180,-0.66,-0.84,-0.11,1.07
18:30:02.111,12188,-0.66,-0.82,-0.10,1.06
18:30:02.112,12196,-0.67,-0.80,-0.09,1.05
18:30:02.114,12204,-0.68,-0.80,-0.09,1.06
18:30:02.115,12212,-0.67,-0.80,-0.10,1.05
18:30:02.148,12220,-0.67,-0.81,-0.10,1.06
18:30:02.161,12228,-0.67,-0.81,-0.10,1.06
18:30:02.162,12236,-0.67,-0.81,-0.11,1.06
18:30:02.164,12244,-0.68,-0.80,-0.12,1.06
18:30:02.181,12252,-0.69,-0.80,-0.13,1.06
18:30:02.194,12260,-0.69,-0.79,-0.14,1.06
18:30:02.195,12268,-0.69,-0.78,-0.13,1.05
18:30:02.196,12276,-0.69,-0.78,-0.15,1.05
18:30:02.210,12284,-0.69,-0.78,-0.17,1.05
18:30:02.211,12292,-0.70,-0.78,-0.17,1.06
18:30:02.213,12300,-0.71,-0.77,-0.19,1.06
18:30:02.214,12308,-0.72,-0.76,-0.20,1.07
18:30:02.220,12316,-0.74,-0.74,-0.21,1.07
18:30:02.227,12324,-0.76,-0.72,-0.22,1.07
18:30:02.235,12332,-0.77,-0.69,-0.24,1.07
18:30:02.249,12340,-0.78,-0.68,-0.25,1.07
18:30:02.251,12348,-0.79,-0.68,-0.27,1.08
18:30:02.261,12356,-0.79,-0.67,-0.28,1.07
18:30:02.268,12364,-0.80,-0.66,-0.27,1.08
18:30:02.276,12372,-0.81,-0.65,-0.27,1.07
18:30:02.286,12380,-0.83,-0.63,-0.28,1.08
18:30:02.291,12388,-0.84,-0.63,-0.29,1.09
18:30:02.303,12396,-0.85,-0.62,-0.29,1.09
18:30:02.308,12404,-0.85,-0.62,-0.30,1.09
18:30:02.315,12412,-0.85,-0.62,-0.28,1.09
18:30:02.326,12420,-0.85,-0.65,-0.28,1.10
18:30:02.331,12428,-0.84,-0.65,-0.26,1.10
18:30:02.345,12436,-0.85,-0.68,-0.23,1.11
18:30:02.347,12444,-0.83,-0.72,-0.21,1.12
18:30:02.356,12452,-0.81,-0.77,-0.18,1.13
18:30:02.366,12460,-0.81,-0.81,-0.18,1.16
18:30:02.377,12468,-0.80,-0.84,-0.14,1.17
18:30:02.380,12476,-0.78,-0.88,-0.10,1.18
18:30:02.389,12484,-0.79,-0.89,-0.09,1.19
18:30:02.399,12492,-0.79,-0.91,-0.05,1.21
18:30:02.404,12500,-0.80,-0.93,-0.07,1.23
18:30:02.411,12508,-0.80,-0.93,-0.06,1.23
18:30:02.421,12516,-0.75,-0.94,-0.03,1.20
18:30:02.432,12524,-0.71,-0.91,-0.02,1.16
18:30:02.435,12532,-0.68,-0.91,-0.02,1.14
18:30:02.444,12540,-0.67,-0.91,-0.01,1.13
18:30:02.452,12548,-0.65,-0.92,-0.01,1.13
18:30:02.462,12556,-0.62,-0.95,-0.01,1.14
18:30:02.468,12564,-0.60,-0.97,-0.01,1.14
18:30:02.478,12572,-0.58,-0.99,-0.03,1.15
18:30:02.486,12580,-0.57,-0.99,-0.04,1.15
18:30:02.491,12588,-0.56,-1.00,-0.06,1.15
18:30:02.504,12596,-0.55,-1.00,-0.07,1.14
18:30:02.507,12604,-0.54,-0.97,-0.07,1.12
18:30:02.517,12612,-0.55,-0.96,-0.06,1.11
18:30:02.523,12620,-0.56,-0.94,-0.05,1.10
18:30:02.534,12628,-0.58,-0.89,-0.04,1.06
18:30:02.543,12636,-0.59,-0.87,-0.03,1.05
18:30:02.548,12644,-0.59,-0.85,-0.02,1.04
18:30:02.556,12652,-0.58,-0.86,0.00,1.03
18:30:02.566,12660,-0.60,-0.85,0.01,1.04
18:30:02.572,12668,-0.62,-0.83,0.02,1.04
18:30:02.589,12676,-0.60,-0.83,0.05,1.02
18:30:02.590,12684,-0.61,-0.82,0.04,1.02
18:30:02.595,12692,-0.61,-0.81,0.05,1.01
18:30:02.631,12700,-0.61,-0.82,0.03,1.02
18:30:02.633,12708,-0.61,-0.84,0.01,1.04
18:30:02.633,12716,-0.64,-0.84,-0.01,1.05
18:30:02.634,12724,-0.64,-0.84,-0.02,1.06
18:30:02.635,12732,-0.64,-0.83,-0.03,1.05
18:30:02.671,12740,-0.64,-0.83,-0.04,1.05
18:30:02.673,12748,-0.65,-0.84,-0.03,1.06
18:30:02.674,12756,-0.66,-0.84,-0.05,1.07
18:30:02.675,12764,-0.66,-0.86,-0.06,1.09
18:30:02.676,12772,-0.66,-0.86,-0.05,1.09
18:30:02.712,12780,-0.67,-0.86,-0.06,1.09
18:30:02.714,12788,-0.68,-0.86,-0.05,1.10
18:30:02.715,12796,-0.69,-0.85,-0.06,1.10
18:30:02.716,12804,-0.69,-0.84,-0.07,1.09
18:30:02.718,12812,-0.69,-0.82,-0.08,1.08
18:30:02.754,12820,-0.68,-0.80,-0.10,1.06
18:30:02.756,12828,-0.67,-0.77,-0.10,1.03
18:30:02.757,12836,-0.67,-0.75,-0.10,1.01
18:30:02.758,12844,-0.66,-0.74,-0.07,0.99
18:30:02.759,12852,-0.67,-0.72,-0.08,0.99
