time,timestamps,ax,ay,az,mag
18:34:35.332,28659,-0.99,-0.32,0.04,1.04
18:34:35.336,28653,-0.99,-0.33,0.03,1.05
18:34:35.339,28665,-0.99,-0.32,0.03,1.04
18:34:35.344,28671,-0.99,-0.31,0.03,1.04
18:34:35.350,28677,-0.99,-0.31,0.04,1.04
18:34:35.357,28683,-1.00,-0.32,0.04,1.05
18:34:35.365,28689,-0.99,-0.32,0.05,1.04
18:34:35.368,28695,-0.99,-0.32,0.05,1.04
18:34:35.378,28701,-0.99,-0.32,0.04,1.05
18:34:35.381,28707,-0.99,-0.33,0.05,1.05
18:34:35.387,28713,-1.00,-0.33,0.06,1.05
18:34:35.392,28719,-0.99,-0.33,0.06,1.05
18:34:35.399,28725,-0.99,-0.32,0.06,1.05
18:34:35.408,28731,-1.00,-0.33,0.07,1.05
18:34:35.411,28737,-0.99,-0.33,0.06,1.04
18:34:35.420,28743,-0.99,-0.33,0.06,1.04
18:34:35.431,28749,-0.99,-0.33,0.06,1.05
18:34:35.432,28755,-1.00,-0.32,0.06,1.05
18:34:35.437,28761,-1.00,-0.32,0.06,1.05
18:34:35.441,28767,-0.99,-0.32,0.05,1.04
18:34:35.445,28773,-0.99,-0.32,0.05,1.04
18:34:35.452,28779,-0.99,-0.31,0.05,1.04
18:34:35.458,28785,-0.98,-0.32,0.05,1.04
18:34:35.466,28791,-0.99,-0.32,0.05,1.04
18:34:35.470,28797,-1.00,-0.33,0.05,1.05
18:34:35.476,28803,-1.00,-0.33,0.06,1.05
18:34:35.485,28809,-0.99,-0.32,0.06,1.05
18:34:35.487,28815,-1.00,-0.32,0.06,1.05
18:34:35.499,28821,-0.99,-0.32,0.07,1.04
18:34:35.500,28827,-0.99,-0.31,0.05,1.04
18:34:35.510,28833,-0.99,-0.32,0.05,1.04
18:34:35.512,28839,-0.99,-0.31,0.06,1.04
18:34:35.518,28845,-0.99,-0.31,0.05,1.04
18:34:35.524,28851,-0.99,-0.33,0.06,1.05
18:34:35.532,28857,-0.99,-0.32,0.05,1.04
18:34:35.536,28863,-0.99,-0.31,0.05,1.04
18:34:35.571,28869,-0.99,-0.32,0.05,1.04
18:34:35.573,28875,-0.98,-0.31,0.05,1.03
18:34:35.574,28881,-0.98,-0.30,0.05,1.03
18:34:35.575,28887,-0.98,-0.31,0.04,1.03
18:34:35.578,28893,-0.98,-0.30,0.05,1.03
18:34:35.578,28899,-0.98,-0.31,0.05,1.03
18:34:35.664,28905,-0.99,-0.31,0.05,1.04
18:34:35.665,28911,-0.98,-0.30,0.04,1.03
18:34:35.666,28917,-0.99,-0.30,0.05,1.04
18:34:35.667,28923,-0.99,-0.30,0.04,1.04
18:34:35.705,28929,-1.00,-0.30,0.05,1.04
18:34:35.705,28935,-1.00,-0.30,0.04,1.04
18:34:35.707,28941,-0.99,-0.29,0.04,1.04
18:34:35.709,28947,-1.00,-0.28,0.03,1.04
18:34:35.712,28953,-1.00,-0.28,0.03,1.04
18:34:35.712,28959,-1.00,-0.26,0.02,1.04
18:34:35.712,28965,-1.01,-0.26,0.01,1.04
18:34:35.712,28971,-1.01,-0.26,-0.01,1.04
18:34:35.712,28977,-1.02,-0.26,-0.06,1.05
18:34:35.712,28983,-1.01,-0.25,-0.11,1.04
18:34:35.712,28989,-1.00,-0.24,-0.12,1.03
18:34:35.712,28995,-1.00,-0.22,-0.16,1.03
18:34:35.712,29001,-1.01,-0.21,-0.20,1.05
18:34:35.712,29007,-1.02,-0.19,-0.23,1.07
18:34:35.712,29013,-1.05,-0.16,-0.24,1.09
18:34:35.712,29019,-1.06,-0.17,-0.27,1.11
18:34:35.712,29025,-1.06,-0.20,-0.27,1.11
18:34:35.712,29031,-1.08,-0.10,-0.33,1.14
18:34:35.712,29037,-1.07,-0.15,-0.32,1.13
18:34:35.750,29043,-1.08,-0.12,-0.34,1.14
